#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T05:58:47 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T05:58:47	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=V/28/adjarea&-order=I&-out=ID&-out=X&-out=Y&-out=V&-out=B-V&-out=U-B&-out=pmX&-out=pmY&-out=Cl_mem&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_5028
#Name: V/28
#Title: Proper Motions, UBV Photometry, Four Open Clusters (Frolov 1980)
#INFO	ivoid=ivo://cds.vizier/v/28	    IVOID of underlying data collection
#INFO	creator=Frolov V.N.	    First author or institution
#INFO	cites=bibcode:1977IzPul.195...80F	    Article or Data origin sources
#INFO	original_date=1977	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/28	    Dataset landing page
#INFO	publication_date=1997-12-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	V_28_adjarea:
#Name: V/28/adjarea
#Title: Photometry and Proper Motions Data
#Column	ID	(I4)	Star Number	[ucd=meta.id;meta.main]
#Column	X	(F6.2)	X-Coordinate	[ucd=pos.cartesian.x;instr.det]
#Column	Y	(F6.2)	Y-Coordinate	[ucd=pos.cartesian.y;instr.det]
#Column	V	(F5.2)	*? V Magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F5.2)	? U-B color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	pmX	(I4)	X-annual proper motion	[ucd=pos.pm]
#Column	pmY	(I5)	Y-annual proper motion	[ucd=pos.pm]
#Column	Cl_mem	(I4)	*Cluster Membership	[ucd=meta.code.member]
ID;X;Y;V;B-V;U-B;pmX;pmY;Cl_mem
 692; 13.35; -4.68;15.36; 0.49;     ; -10;  -48;7790
 693; 13.41; -4.12;     ;     ;     ;  -8; -116;   0
 694; 14.26; -3.75;13.60; 1.65;     ;  68;  -19;   0
 695; 15.16; -4.01;13.20; 1.75;     ;   7;  -78;   0
 696; 15.72; -4.86;15.30; 0.46;-0.17; -24;   18;   0
 697; 16.04; -4.84;14.16; 1.75; 0.13; 548; -283;   0
 698; 20.50; -8.28;15.02; 1.01;     ; 180;  -62;   0
 699; 20.55; -7.99;13.39; 0.78; 0.38;-105;  -77;   0
 700; 21.39; -8.19;15.45; 0.72;     ;  14;  -26;   0
 701; 16.82; -5.66;14.45; 0.61;     ;  39;  -61;   0
 702; 19.05; -6.02;15.18; 0.80;     ;  30;  -62;   0
 703; 19.53; -5.89;14.18; 0.55;     ;  68;  -62;   0
 704; 17.17; -4.47;12.72; 0.78; 0.47;  12;  -32;   0
 705; 17.39; -4.42;15.56; 0.45;     ;  79;  -37;   0
 706; 17.29; -3.76;12.46; 1.92;     ;  26;  -54;   0
 707; 17.78; -4.74;15.18; 0.71;     ;  70;  -62;   0
 708; 18.10; -5.18;15.16; 0.85;     ;  33; -102;   0
 709; 19.52; -4.97;14.66; 0.58; 0.16;  14;  -11;   0
 710; 18.40; -4.35;15.26; 0.66;     ;  24;  -54;   0
 711; 19.13; -4.38;15.58; 0.54;     ; -70;  -18;   0
 712; 19.55; -4.51;15.22; 0.87;     ; -28;  -27;   0
 713; 19.50; -4.07;12.96; 0.82; 0.60;   5;   14;   0
 714; 20.43; -3.59;12.97; 0.82; 0.22; 224;   33;   0
 715; 21.02; -4.59;14.67; 1.33;     ;  65;  -22;   0
 716; 21.05; -4.15;13.87; 1.71;     ;  26;  -36;   0
 717; 22.32; -8.35;15.75; 0.63;     ;  43;   -3;   0
 718; 22.69; -8.35;15.62; 0.39;     ;  25;   -2;   0
 719; 24.02; -8.15;15.05; 0.61;-0.23; -44;  -78;   0
 720; 24.26; -7.79;14.43; 1.05;     ;  28; -140;   0
 721; 25.77; -7.80;12.51; 1.94;     ; -67;  -63;   0
 722; 26.13; -7.88;13.82; 1.16;     ; -42; -187;   0
 723; 26.28; -8.36;14.79; 0.72;     ;  17; -124;   0
 724; 22.29; -5.94;10.33; 0.80; 0.49; 417; -628;   0
 755; 22.71; -6.35;13.11; 0.88; 0.46;  98;  -49;   0
 726; 23.14; -5.60;15.41; 0.69;     ;-106;   52;   0
 727; 23.72; -6.28;14.06; 0.32;-0.72;  23;  -53;   0
 728; 23.78; -6.34;13.35; 0.70;     ;  23;  -94;   0
 729; 25.66; -6.77;14.95; 0.87;     ;  -1;    8;   0
 730; 25.87; -6.29;12.60; 0.43; 0.28;  55;  -67;   0
 731; 26.09; -5.82; 9.50; 0.61; 0.76;  -7;  -30;   0
 732; 22.81; -4.41;14.31; 0.79;-0.08;  41;  -26;   0
 733; 22.79; -3.69;12.58; 0.57; 0.43;  85;   -7;   0
 734; 23.11; -3.66;15.36; 0.78;     ; 149;   40;   0
 735; 23.09; -4.22;14.35; 1.11; 0.06; 146;   36;   0
 736; 23.90; -5.07;14.74; 0.82;-0.05;  14;  -52;   0
 737; 24.82; -3.65;15.27; 0.93;     ;  58;   11;   0
 738; 25.11; -4.46;14.41; 0.71;     ; -16;  -67;   0
 739; 29.34; -8.46;     ;     ;     ; -53;  -76;   0
 740; 31.06; -6.76;     ;     ;     ; -46;  -53;   0
 741; 31.25; -6.71;     ;     ;     ;-131; -149;   0
 742; 29.53; -6.10;15.04; 0.99;     ; -95;  -52;   0
 743; 27.06; -5.19;15.34; 0.86;     ;  10; -114;   0
 744; 27.29; -4.29;15.12; 0.94;     ;-105;  -40;   0
 745; 27.73; -4.42;14.23; 1.43;     ; -53;   33;   0
 746; 29.15; -5.35;14.98; 0.83;     ; -54;   52;   0
 747; 29.21; -5.05;14.20; 0.55;     ; -26;  -79;   0
 748; 30.19; -5.50;     ;     ;     ; -35;   42;   0
 749; 29.59; -3.51;14.98; 0.79;     ;  64;  -92;   0
 750; 29.78; -3.78;15.37; 0.95;     ;-150;  -63;   0
 751; 31.42; -4.89;     ;     ;     ;  87;  -71;   0
 752; 31.39; -4.62;     ;     ;     ;-100;   39;   0
 753;-28.17; -3.84;     ;     ;     ; 108;   44;   0
 754;-27.84; -3.50;15.45; 0.63;     ; 119;   22;   0
 755;-24.16; -4.21;15.16; 1.41;     ;  95;   36;   0
 756;-23.84; -4.05;15.11; 1.27;     ;  88;    4;   0
 757;-25.82; -2.30;15.01; 1.03;-0.39; 170;   18;   0
 758;-25.45; -2.91;15.05; 1.11;-0.41; 155;   10;   0
 759;-24.47; -2.99;15.58; 0.94;     ;   3;   25;   0
 760;-24.26; -2.48;14.13; 0.87; 0.06;  89;  -15;   0
 791;-23.40; -2.28;13.66; 1.10; 0.14; 136;   -3;   0
 762;-26.83; -1.66;12.53; 1.91; 0.85; 137;    9;   0
 763;-27.09; -1.44;12.74; 0.72;-0.22; 112;   19;   0
 764;-27.79; -1.01;13.52; 0.84; 0.05; 139;    9;   0
 765;-27.49; -0.80;14.77; 1.21;     ;  78;   64;   0
 766;-27.22; -0.03;12.73; 1.07; 0.17; 110;   82;   0
 767;-24.39; -0.19;14.14; 1.19; 0.05;  12;  -12;   0
 768;-23.87; -0.71;15.47; 0.67;-0.45;  86;   97;   0
 769;-22.95; -3.77;14.65; 1.12;     ;  70;  -28;   0
 770;-22.46; -3.51;13.77; 0.87;     ;  70;  -31;   0
 771;-22.11; -3.62;12.64; 2.64;     ; -28;   19;   0
 772;-20.70; -3.53;15.30; 0.94;     ; 144;  -81;   0
 773;-20.06; -2.94;12.84; 2.81;     ;  76;  -71;   0
 774;-19.64; -2.96;14.08; 1.31;     ;  98;   -5;   0
 775;-22.59; -1.46;13.38; 0.78;-0.27;  27;   30;   0
 776;-18.78; -2.10;15.56; 0.65;     ; 126;  -58;   0
 777;-21.37; -0.41;13.71; 0.91; 0.20; 114;   15;   0
 778;-18.76; -0.75;11.97; 0.99; 0.27; 133;   88;   0
 799;-17.16; -3.60;14.34; 1.03;     ;-147;  -84;   0
 780;-16.44; -3.94;14.58; 0.92;     ;  24;  -58;   0
 781;-15.62; -4.00;12.39; 2.73;     ; 123;   56;   0
 782;-13.85; -2.49;     ;     ;     ; 250;   52;   0
 783;-13.68; -2.41;11.17; 0.72;     ; 206;   -9;   0
 784;-18.04; -0.50;14.29; 1.14;     ;  27;  -24;   0
 785;-16.77; -1.14;13.80; 0.74; 0.42;  15;   23;   0
 786;-15.31; -0.57;12.72; 0.95;     ; 212;  102;   0
 787;-14.53; -1.30;14.00; 1.17;     ;-263;  -88;   0
 788;-14.37; -0.88;14.89; 0.76;     ; -26;   12;   0
 789;-12.20; -3.81;14.24; 1.02;     ; 132;   -4;   0
 790;-11.81; -3.52;15.15; 0.48;-0.16; -55;  -76;   0
 791;-12.55; -2.47;15.41; 0.73;     ;  42;    1;   0
 792;-12.33; -2.12;14.98; 0.96;     ; -40;    0;   0
 793;-11.40; -2.02;15.11; 0.78;     ; -18;  -28;   0
 794;-11.10; -1.75;15.04; 0.77;     ; -74;  -80;   0
 795; -9.09; -2.02;15.01; 1.03;     ; -88;   30;   0
 796;-13.31;  0.50;10.30; 1.68; 2.00;   1; -264;   0
 797;-12.75;  0.66;14.91; 1.10;     ; 124;  -38;   0
 798;-12.21;  0.19;13.30; 0.63;-0.06;  34;    0;   0
 799;-12.15; -0.87;13.78; 1.37;     ; 222; -282;   0
 800;-11.10; -0.10;14.84; 0.91;     ;  24;  100;   0
 801;-10.56; -0.24;13.40; 0.69; 0.51;   2;   -5;   0
 802; -9.97; -0.84;15.28; 0.55;-0.27;  25;  -52;   0
 803; -9.38; -0.73;14.19; 0.67;     ; -23;   -6;   0
 804; -8.88; -0.56;14.32; 0.60;     ; -17;    3;   0
 805; -8.90;  0.17;13.49; 0.65;     ; -50;   20;   0
 806; -6.67; -3.66;12.55; 0.57;     ;  76;    5;   0
 807; -6.80; -3.44;15.05; 0.43;     ; -35;    3;   0
 808; -7.57; -2.73;14.28; 1.17;     ; -15;  -87;   0
 809; -6.13; -3.14;11.64; 2.08; 1.97;  46;  -44;   0
 810; -6.02; -2.78;14.68; 0.75;     ;  14;  -36;   0
 811; -3.67; -3.27;14.29; 0.77; 0.20; -40;  -20;   0
 812; -4.19; -2.97;14.43; 0.83;-0.01;  67;  -32;   0
 813; -6.75; -2.03;13.28; 0.77; 0.21;  67;  -39;   0
 814; -6.01; -1.80;14.38; 1.19;     ;-279;  238;   0
 815; -3.79; -2.56;14.30; 1.37;     ; 248;  120;   0
 816; -3.82; -2.28;14.43; 0.97; 0.00; 292;  -60;   0
 817; -4.09; -1.84;13.62; 0.97; 0.29; -35;   59;   0
 818; -8.33; -0.71;14.25; 1.55;     ;  55;   25;   0
 819; -8.13; -0.71;14.10; 1.20;     ;-179;  -69;   0
 820; -7.87; -1.39;14.18; 1.08; 0.15; 154;    8;   0
 821; -7.47; -1.50;15.20; 0.68;     ; -12;   18;   0
 822; -6.61; -1.28;14.58; 0.51;-0.03; -17;   45;   0
 823; -6.50; -0.10;15.16; 0.68;     ; -48;  -14;   0
 824; -6.20; -1.05;14.01; 1.72;     ;   4;   -9;   0
 825; -5.88; -0.32;13.58; 0.51; 0.00;  11;   29;   0
 826; -5.95; -0.60;14.40; 0.77; 0.11; -58;  -32;   0
 827; -5.27; -0.88;13.16; 0.38;-0.26; -14;  -12;   0
 828; -5.29; -1.03;15.50; 0.36;     ; -25;   17;   0
 829; -5.26; -1.22;15.77; 0.59;     ; -26;   48;   0
 830; -4.26;  0.53;15.62; 0.61;     ;  14;   55;   0
 831; -1.15; -3.73;15.27; 0.65;     ;  24;  -62;   0
 832; -2.67; -2.51;13.38; 0.84; 0.29;  30;  -57;   0
 833; -1.67; -3.23;14.47; 0.73;     ; -17;  -26;   0
 834; -1.51; -2.66;14.80; 0.75;-0.11; -34; -116;   0
 835;  0.09; -3.24;11.39; 0.30;     ; -30;  -34;   0
 836; -2.95; -1.87;15.17; 0.46;     ; -96;  -18;   0
 837; -3.08; -1.28;15.61; 0.73;     ; -41;   64;   0
 838; -2.75; -0.74;15.49; 0.61;     ;  50; -187;   0
 839; -3.28;  0.20;14.22; 0.83;-0.03; -65;   30;   0
 840; -1.75; -2.00;15.54; 0.33;     ;  14;  -26;   0
 841; -1.32; -1.97;15.77; 0.61;     ; -21;  -49;   0
 842; -1.73; -1.42;14.95; 0.68;     ; -62;  -30;   0
 843; -1.80; -0.69;14.79; 0.70;     ; -16;    8;   0
 844;  0.07; -1.72;15.27; 0.56;     ; -10;  -34;   0
 845;  0.10; -1.28;13.84; 1.71;     ;  84;  -22;   0
 846;  0.72; -1.41;16.08; 0.54;     ; -20;  -29;   0
 847; -0.68;  0.61;14.52; 1.69;     ;  80;   32;   0
 848; -0.10; -0.13; 9.66; 9.99;     ; -12;  -66;   0
 849;  0.06;  0.18;15.35; 0.38;-0.36; -28; -117;   0
 850;  0.26; -0.12;14.26; 0.59;-0.41; -30;   -7;   0
 851;  3.73; -3.27;15.38; 0.75;     ; -46;  108;   0
 852;  3.49; -2.53;13.95; 0.70; 0.41;  76;   50;   0
 853;  3.77; -2.82;14.62; 0.56; 0.21;  -7;   18;   0
 854;  3.85; -2.01;13.77; 0.48; 0.42;  11;    9;   0
 855;  4.11; -2.59;15.03; 0.41; 0.05; -75;   89;   0
 856;  4.81; -2.73;10.79; 1.83; 2.15;  27;   84;7790
 857;  4.93; -2.11;15.44; 0.53;-0.19;  30;   96;   0
 858;  5.23; -3.63;15.25; 0.87;-0.24;  84;  111;   0
 859;  5.56; -3.29;14.98; 0.53; 0.05;  10;  -21;7790
 860;  5.51; -2.36;12.44; 1.97; 1.00; -24;   78;   0
 861;  6.60; -3.03;13.39; 1.82;     ;  83;   72;   0
 862;  6.55; -2.49;14.79; 0.64;     ;  15;  118;   0
 863;  2.30; -1.09;15.15; 0.51;     ;  12;   71;   0
 864;  2.29;  0.08;15.48; 0.68;     ;-106;   63;   0
 865;  3.16; -0.19;15.02; 0.88;     ;-153;  125;   0
 866;  3.36; -0.39;15.58; 0.54;     ; -78;   85;   0
 867;  3.59; -0.48;11.87; 2.41;     ;  -2;  -25;   0
 868;  4.28; -0.35;14.22; 0.42;     ; -52;   44;   0
 869;  4.59;  1.06;13.76; 1.82;     ; -37;  104;   0
 870;  4.83;  1.03;12.53; 0.59; 0.33;  26;  130;   0
 871;  5.11;  0.95;12.29; 0.40; 0.42; 124;   22;   0
 872;  6.02; -0.95;13.13; 2.40;     ; -33;  148;   0
 873;  6.63; -0.07;14.38; 0.67; 0.08; -68;   77;   0
 874;  6.42;  0.80;12.04; 1.64; 1.34; -58;   17;7790
 875;  6.87; -3.55;13.05; 0.70; 0.20; -62;   34;   0
 876;  7.36; -3.56;12.70; 1.50; 1.08;  45;  -14;   0
 877;  8.38; -2.30;12.47; 0.56; 0.29;  13;   23;7790
 878;  9.03; -2.03;11.02; 0.29;-0.31;  38;   -9;7790
 879;  9.24; -2.35;13.20; 0.55; 0.37;  -9;   56;   0
 880;  9.07; -3.21;15.32; 0.47;     ;  22;   27;7790
 881;  9.82; -3.19;12.62; 0.40; 0.31; -31;   57;7790
 882;  9.75; -2.36;13.03; 1.32; 0.66;  11;   -1;   0
 883;  9.62; -2.84;15.33; 0.42;-0.21;  10;   37;   0
 884; 10.26; -2.16;12.10; 0.45;-0.06;  18;   34;7790
 885; 10.70; -3.24;14.62; 0.44; 0.04;   1;   -5;7790
 886; 10.75; -2.10;15.30; 0.42;     ;  39;   13;   0
 887; 10.84; -1.97;15.82; 0.53;-0.73; 159;  124;   0
 888; 11.43; -3.38;15.74; 0.52;-0.28;  72;   67;   0
 889; 11.28; -2.96;15.13; 0.37; 0.03; -23;   33;7790
 890; 11.09; -2.76;15.61; 0.39;-0.36;  20;  -14;   0
 891; 11.36; -2.02;15.33; 0.49;     ; -37;   78;7790
 892;  9.11; -1.12;12.68; 2.47; 0.71; -32;   51;   0
 893;  9.26; -0.95;10.14; 1.01;     ;  52;   24;7790
 894;  9.37; -1.33;15.68; 0.70;     ; -46;   38;7790
 895;  9.78; -1.56;16.04; 0.60;     ;-320;   84;   0
 896;  9.75; -1.20;15.69; 0.58;     ; -24;   74;7790
 897;  9.89; -1.05;13.61; 1.79; 0.42;  38;   -7;   0
 898; 10.07; -1.53;14.57; 0.81; 0.01; -48;   54;   0
 899; 10.05; -1.14;14.85; 0.31;     ; -39;   36;   0
 900; 10.12; -1.23;13.25; 0.53;     ;  -2;   35;7790
 901; 10.33; -1.25;14.68; 0.33;     ; -26;   -3;   0
 902; 10.44; -1.15;15.51; 0.39;     ;  12;   63;7790
 903; 10.32; -0.49;     ;     ;     ; -27;   15;7790
 904; 10.64; -0.87;13.77; 0.45;-0.09;  16;   24;7790
 905; 10.81; -1.27;14.13; 1.47;     ; -26;   39;   0
 906; 10.88; -1.21;15.83; 0.27;     ; 124;   13;   0
 907; 10.96; -1.35;12.78; 0.33;-0.09;  21;   51;7790
 908; 11.17; -1.59;14.88; 0.83;-0.23; -38;   33;7790
 909; 11.10; -0.77;14.10; 0.43; 0.03;   7;   64;7790
 910; 11.39; -1.13;15.78; 0.44;-0.52;  18;  -28;   0
 911; 11.54; -0.93;15.37; 0.42;-0.31;-111;   89;   0
 912; 11.55; -1.71;12.66; 0.36;     ; -47;   -7;7790
 913; 11.67; -1.07;13.00; 0.39;-0.25;  27;   61;7790
 914; 11.67; -0.68;14.30; 0.26;     ;  35;   78;   0
 915; 11.66; -0.61;13.38; 0.30;     ;  34;   27;7790
 916;  6.95; -0.32;15.10; 0.57;-0.10;  34;   10;7790
 917;  8.17;  0.61;15.04; 0.30;-0.25;  62;   32;   0
 918;  9.29;  0.41;15.20; 0.45;-0.31;  52;   57;   0
 919;  8.95;  0.65;13.94; 0.52;-0.18;  45;   70;7790
 920;  9.11;  0.71;14.87; 0.66;     ; -38;   72;7790
 921;  9.08;  0.97;13.64; 0.43;-0.17; -30;   52;7790
 922;  9.28;  0.84;15.25; 0.87;     ;  34;   41;   0
 923; 10.28; -0.22;14.57; 1.64;     ;   4;  104;   0
 924; 10.05;  0.07;14.70; 1.40;     ; -49;  157;   0
 925; 10.15;  0.34;15.43; 0.49;     ; -24;  105;7790
 926; 10.88;  0.46;13.58; 0.82;-0.02;  15;  106;   0
 927; 10.67;  0.93;15.26; 0.41; 0.00; -44;   56;7790
 928; 11.75; -1.53;12.39; 0.29;     ;   3;   73;7790
 929; 11.84; -1.54;13.44; 0.22;     ; -81;   72;   0
 930; 11.87; -1.45;13.10; 0.41;     ; -37;   68;7790
 931; 12.04; -1.46;14.64; 0.39;-0.12;  38;   84;7790
 932; 11.83; -0.94;15.64; 0.26;     ;  30;   96;   0
 933; 11.94; -0.92;13.08; 0.36;     ; -17;   13;7790
 934; 12.05; -0.98;14.78; 0.32;     ; -46;  110;   0
 935; 11.93; -0.75;15.64; 0.55;     ;  18;   91;7790
 936; 12.10; -2.05;15.70; 0.43;     ;  41;  111;   0
 937; 12.42; -2.31;14.53; 0.41; 0.10;  53;   27;7790
 938; 12.38; -1.75;13.44; 0.48;-0.09;  37;   34;7790
 939; 12.39; -1.44;13.32; 0.41;-0.22;  24;   14;7790
 940; 12.80; -2.00;14.76; 0.42; 0.02;  55;   54;7790
 941; 12.74; -1.36;15.35; 0.55;     ;  13;   36;   0
 942; 12.90; -1.41;13.64; 0.42;-0.18;   2;   -4;7790
 943; 13.12; -0.71;15.28; 0.81;-0.33; -99;  130;   0
 944; 13.10; -1.52;15.68; 0.31;-0.73;  33;   32;   0
 945; 13.20; -1.66;14.34; 0.47;-0.19;  10;   36;7790
 946; 13.43; -2.62;15.49; 0.42;-0.07;  24;   -8;   0
 947; 13.52; -1.41;14.18; 0.52;-0.08;   9;   80;7790
 948; 14.07; -1.17;13.11; 0.54; 0.36; -12;   55;   0
 949; 14.17; -1.96;15.54; 0.53;-0.50;  46;   22;   0
 950; 14.67; -2.73;13.08; 1.75;     ;  70;   81;   0
 951; 14.96; -2.36;14.12; 0.83; 0.21;   8;   24;   0
 952; 15.54; -1.35;15.26; 0.52;     ;  43;    2;7790
 953; 16.18;  0.00;14.84; 0.56;-0.15; -32;   27;7790
 954; 11.81; -0.07;13.21; 0.73; 0.18;  53;   50;   0
 955; 12.45;  0.14;15.02; 0.80;-0.16; -17;   22;7790
 956; 12.92; -0.29;15.84; 0.43;     ; -77;  104;   0
 957; 13.21;  1.04;13.09; 0.52; 0.34;  17;   81;   0
 958; 13.41;  1.14;13.50; 0.45;-0.01;  27;    5;7790
 959; 14.06;  1.25;14.50; 0.58; 0.21;  59;   58;7790
 960; 14.96;  1.19;14.22; 0.59;-0.07;  -1;   49;7790
 961; 15.03; -1.22;14.40; 0.90;-0.08; 169;   48;   0
 962; 14.93;  0.24;15.63; 0.41;-0.13;  14;   34;   0
 963; 15.18; -0.07;14.44; 0.17;     ; -11;   62;   0
 964; 15.20; -0.04;14.36; 0.04;     ;  49;   63;   0
 965; 15.98;  1.14;14.33; 0.80;-0.11;  38;   32;   0
 966; 18.89; -2.95;15.10; 0.56;     ; -16;   12;   0
 967; 19.83; -3.03;14.85; 0.98;     ;  86;  -54;   0
 968; 19.97; -3.13;15.53; 0.46;     ;  44;  -20;   0
 969; 21.62; -3.03;11.13; 1.15;-0.03; 173;  -63;   0
 970; 21.39; -2.84;15.50; 0.51;     ; -32;   90;   0
 971; 20.84; -2.36;14.79; 1.08;     ;  46;  -44;   0
 972; 19.15; -2.02;15.43; 0.61;     ;  -2;  -22;   0
 973; 19.62; -1.10;13.50; 0.48;-0.12;   3;   53;   0
 974; 21.51; -1.09;14.80; 0.95;     ;  10;  -53;   0
 975; 20.80; -0.71;11.56; 0.26;     ;  48;  -13;   0
 976; 21.03; -0.62;10.41; 0.52;-0.47;  74;   -9;   0
 977; 16.93; -0.37;13.76; 2.08;     ;  26;   52;   0
 978; 16.86; -0.13;15.14; 0.99;     ;-119;   36;   0
 979; 17.81;  1.29;15.02; 1.08;     ; -64;   20;   0
 980; 19.51;  1.19;13.97; 0.77; 0.03;  79;   94;   0
 981; 19.67; -0.26;15.30; 0.93;     ; -11;  -47;   0
 982; 19.93;  0.54;15.25; 0.87;     ;   8;   78;   0
 983; 20.60;  0.30;13.33; 1.05; 0.51; -30;  -88;   0
 984; 20.62;  0.69;15.68; 0.60;     ; 127;   60;   0
 985; 20.51;  1.17;14.86; 1.04;     ;  68;    4;   0
 986; 22.47; -3.43;12.90; 2.21;     ;  -3;    4;   0
 987; 22.49; -2.84;15.66; 0.52;     ;  29;  -26;   0
 988; 24.01; -2.45;15.22; 0.88;     ;  26;  -64;   0
 989; 25.49; -2.94;15.08; 0.81;     ;  19;   25;   0
 990; 26.13; -2.71;15.07; 0.88;     ; -10;  -43;   0
 991; 25.95; -2.48;14.42; 0.88;     ;  11;   12;   0
 992; 25.53; -2.28;15.65; 0.76;     ; -94;   17;   0
 993; 22.05; -1.66;15.22; 0.77;     ;  30;  -66;   0
 994; 22.74; -1.63;14.39; 0.60; 0.17; -30;  -14;   0
 995; 22.75; -1.49;14.77; 0.80;     ; -16;   28;   0
 996; 24.72; -1.70;15.08; 0.95;     ; 103;   86;   0
 997; 23.70; -1.07;15.41; 0.45;     ; -86;    8;   0
 998; 25.39; -1.18;11.86; 0.49;     ; -25;   72;   0
 999; 25.53; -1.06;14.75; 0.90;     ;-116;   -6;   0
1000; 21.70; -0.54;13.68; 0.90; 0.15;  18;  140;   0
1001; 21.87; -0.32;14.87; 0.97;     ;  86;   28;   0
1002; 22.57; -0.53;13.00; 0.64; 0.31;  89;   28;   0
1003; 24.28; -0.52;13.27; 0.80; 0.20; -36; -169;   0
1004; 24.03;  0.74;14.32; 0.92;     ;  37;   17;   0
1005; 24.18; -0.58;13.27; 1.55;     ;  -1;   38;   0
1006; 24.60;  1.04;12.51; 0.62; 0.34; -13;   16;   0
1007; 24.93;  1.42;11.16; 0.85;     ; 174;  240;   0
1008; 24.74;  0.07;14.73; 1.26;     ; -81; -123;   0
1009; 25.33;  0.03;15.25; 0.62;     ; -45;  -31;   0
1010; 25.93; -0.02;15.17; 0.79;     ; -63;   78;   0
1011; 25.53;  0.50;14.82; 0.53;-0.01;  84;  -24;   0
1012; 26.40;  1.10;15.17; 0.66;     ;  10;  -18;   0
1013; 29.16; -3.24;15.28; 0.90;     ;  30;   12;   0
1014; 30.27; -3.16;     ;     ;     ;-214;   22;   0
1015; 29.25; -2.58;13.64; 0.47; 0.00; -44;  -46;   0
1016; 31.34; -2.72;     ;     ;     ;-139;   67;   0
1017; 27.75; -1.38;14.30; 0.87;-0.07;  44;   -7;   0
1018; 28.66; -0.97;13.77; 0.53; 0.35; -28;  -11;   0
1019; 29.32; -1.30;14.57; 1.35;     ;-218;   67;   0
1020; 29.56; -1.72;13.22; 0.74; 0.22;  23;  -79;   0
1021; 29.34;  1.59;     ;     ;     ;  -5; -109;   0
1022; 29.58;  1.27;     ;     ;     ; -32;  -18;   0
1023; 30.10;  0.36;     ;     ;     ; -58;   12;   0
1024; 30.29;  1.45;     ;     ;     ; -14;  -34;   0
1025; 30.65;  0.44;     ;     ;     ; -34;   49;   0
1026; 31.04;  0.01;     ;     ;     ; -27;  -46;   0
1027; 31.63; -0.20;     ;     ;     ;  -6;   16;   0
1028; 31.10;  1.65;     ;     ;     ;-120;  -42;   0
1029;-26.65;  0.76;15.36; 0.86;     ; 115;   16;   0
1030;-27.19;  1.43;15.13; 0.94;     ; 179;    9;   0
1031;-25.28;  1.37;14.25; 0.87;     ;  82;  168;   0
1032;-28.20;  5.06;     ;     ;     ; 124;  -23;   0
1033;-26.08;  3.91;12.24; 2.54;     ;   2;   82;   0
1034;-25.42;  5.19;14.04; 0.92; 0.27;  77;   80;   0
1035;-25.11;  4.85;14.52; 0.60;     ; 137;   94;   0
1036;-24.10;  3.15;15.45; 0.71;     ; 108;   32;   0
1037;-23.68;  3.08;13.45; 0.83; 0.46; 117;   29;   0
1038;-20.12;  0.75;11.36; 0.59;-0.07;  58;   33;   0
1039;-22.13;  1.49;15.25; 0.81;     ;  82;   52;   0
1040;-21.19;  2.12;14.08; 1.82;     ;  32;   14;   0
1041;-19.57;  2.42;14.46; 1.49;     ; 368;  -38;   0
1042;-19.24;  2.09;15.27; 0.74;     ; -14;   39;   0
1043;-22.97;  4.45;15.31; 0.66;     ;  40;   -4;   0
1044;-22.26;  4.30;13.75; 0.83; 0.30;  38;   58;   0
1045;-19.45;  4.02;14.70; 0.69;     ;  64;   56;   0
1046;-19.43;  4.98;14.36; 1.83;     ; -58;   49;   0
1047;-18.82;  5.21;12.92; 1.88;     ; -24;   63;   0
1048;-16.42;  0.86;14.79; 0.94;     ;-108;   83;   0
1049;-17.04;  1.59;13.84; 0.57; 0.38;  27;   75;   0
1050;-14.34;  1.23;11.83; 0.63; 0.37; 106;  -17;   0
1051;-15.70;  2.58;14.73; 1.25;     ;  44;   38;   0
1052;-15.05;  3.12;13.19; 0.53; 0.12; -13;   45;   0
1053;-16.21;  3.74;15.31; 0.47;-0.31; -32;   12;   0
1054;-14.88;  3.51;15.37; 0.43;     ; -37;  -56;   0
1055;-14.60;  3.56;14.51; 1.89;     ; -82;   94;   0
1056;-18.02;  4.14;15.33; 0.66;     ;   4;   46;   0
1057;-15.85;  4.78;14.59; 1.58;     ;-142;    0;   0
1058;-13.71;  4.46;14.42; 0.94; 0.07; -45;   60;   0
