#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T04:32:53 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T04:32:53	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/203/catalog&-order=I&-out=SeqNo&-out=IDs&-out=pmX&-out=pmY&-out=e_pm&-out=Pr&-out=V&-out=B-V&-out=U-B&-out=RAJ2000&-out=DEJ2000&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1203
#Name: I/203
#Title: Proper Motions, UBV-Phot. & Spectral Class Region 7092 (Platais 1994)
#INFO	ivoid=ivo://cds.vizier/i/203	    IVOID of underlying data collection
#INFO	creator=Platais I.	    First author or institution
#INFO	cites=bibcode:1994BICDS..44....9P	    Article or Data origin sources
#INFO	original_date=1994	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/203	    Dataset landing page
#INFO	publication_date=2017-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	I_203_catalog:
#Name: I/203/catalog
#Title: The Catalogue in the region of NGC 7092
#Column	SeqNo	(I4)	[1/7931]+ Sequential number of the star.	[ucd=meta.id;meta.main]
#Column	IDs	(A1)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	pmX	(F6.1)	Relative proper motions in X (2)	[ucd=pos.pm]
#Column	pmY	(F6.1)	Relative proper motions in Y (2)	[ucd=pos.pm]
#Column	e_pm	(F4.1)	Mean standard error of proper motions (6)	[ucd=stat.error]
#Column	Pr	(I3)	Calculated membership probabilities (7)	[ucd=stat.fit.goodness]
#Column	V	(F5.2)	Photographic UBV-photometry data. (see also n_UBV in byte 89)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	Photographic UBV-photometry data. (see also n_UBV in byte 89)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-B	(F5.2)	Photographic UBV-photometry data. (see also n_UBV in byte 89)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	RAJ2000	(A11)	Right Ascension (hours), Equinox=J2000 and Epoch=J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination J2000 (degrees)	[ucd=pos.eq.dec;meta.main]
SeqNo;IDs;pmX;pmY;e_pm;Pr;V;B-V;U-B;RAJ2000;DEJ2000
3377; ;   8.6;   4.1; 2.6;  0;14.39; 0.98; 0.64;21 31 13.20;+49 03 25.0
3378; ;  -2.2; -16.0; 2.6;  3;14.30; 1.11; 0.85;21 31 15.08;+48 19 28.9
3379; ;  14.9;   7.9; 3.0;  0;14.87; 1.01; 0.55;21 31 16.15;+48 00 56.1
3380; ;   0.1;   0.0; 1.7;  0;14.26; 0.65; 0.56;21 31 15.63;+48 15 48.4
3381; ;  -0.5;  -4.5; 1.9;  0;14.80; 0.70; 0.24;21 31 14.30;+48 50 12.5
3382; ;  -0.7;   1.2; 1.5;  0;13.68; 0.64; 0.41;21 31 14.95;+48 36 25.3
3383;*;   3.4;  -3.3; 1.4;  0; 9.93; 0.18; 0.05;21 31 16.33;+48 03 36.7
3384; ;   2.1;   0.9; 1.6;  0;13.46; 1.43; 0.81;21 31 15.94;+48 13 14.7
3385; ;  -0.9;   0.3; 1.4;  0;13.09; 0.48; 0.47;21 31 15.83;+48 15 43.9
3386; ;  -3.2;  -0.9; 1.6;  0;13.29; 0.75; 0.21;21 31 13.47;+49 13 46.4
3387; ;  -0.6;   2.6; 2.4;  0;15.09; 0.51; 0.37;21 31 14.48;+48 54 15.4
3388; ;  -1.1;   1.4; 1.7;  0;14.60; 0.44; 0.48;21 31 16.53;+48 04 16.8
3389; ;  -2.2;  -6.1; 1.7;  0;13.84; 0.80; 0.32;21 31 14.33;+48 58 15.1
3390; ;  -1.4;   0.9; 1.6;  0;13.11; 0.50; 0.08;21 31 17.36;+47 46 25.1
3391; ;  -0.2;   5.2; 2.1;  0;14.36; 0.94; 0.29;21 31 16.06;+48 23 48.6
3392; ;   3.7;  -5.3; 2.7;  0;14.13; 1.67; 1.31;21 31 15.80;+48 31 28.7
3393; ;  -0.6;   0.7; 1.6;  0;13.08; 0.26;-0.24;21 31 15.02;+48 50 20.4
3394; ;   5.1;   4.1; 1.6;  0;13.71; 0.74; 0.39;21 31 14.96;+48 56 05.4
3395; ;  10.2;  23.4; 2.8;  0;14.89; 0.89; 0.52;21 31 16.01;+48 32 40.9
3396; ;  -5.5;  -1.1; 1.7;  0;14.25; 0.89; 0.29;21 31 16.00;+48 30 44.7
3397; ;  -0.7;  -5.4; 2.5;  0;15.28; 0.69; 0.37;21 31 15.46;+48 45 19.5
3398; ;  -1.4;  -3.6; 2.6;  0;15.24; 0.46; 0.32;21 31 14.88;+49 00 10.0
3399; ;  -5.5;   0.2; 2.2;  0;14.98; 0.53; 0.50;21 31 17.18;+48 02 49.5
3400; ;  -1.4;   3.4; 1.8;  0;14.62; 0.53; 0.33;21 31 15.52;+48 53 22.6
3401; ;   1.9;  -6.4; 2.5;  0;15.00; 1.07; 0.37;21 31 16.40;+48 33 59.9
3402; ;  -0.7;   1.5; 2.2;  0;14.81; 0.81; 0.26;21 31 16.88;+48 24 09.1
3403; ;  -0.3;   3.9; 2.4;  0;14.22; 0.52; 0.32;21 31 18.96;+47 32 43.1
3404; ;   2.5;  -3.1; 2.7;  0;14.34; 1.23; 0.80;21 31 17.09;+48 30 45.9
3405; ;  -1.9;   0.2; 1.5;  0;13.79; 0.55; 0.62;21 31 16.51;+48 45 57.9
3406; ;  -0.4;   1.6; 3.0;  0;15.23; 0.71; 0.36;21 31 18.28;+48 03 40.2
3407; ;  11.5; -22.5; 3.0;  0;14.70; 0.93; 0.21;21 31 17.32;+48 32 20.5
3408; ;   1.7;  17.5; 3.5;  0;14.87; 0.85; 0.20;21 31 19.63;+47 33 03.7
3409;*;  -8.1;   4.7; 1.4;  0;12.31; 0.52; 0.00;21 31 17.60;+48 28 57.5
3410; ;  -0.9;   5.0; 2.2;  0;14.62; 0.90; 0.29;21 31 17.13;+48 44 16.8
3411; ;  -2.1;   2.2; 3.0;  0;15.51; 1.03; 0.50;21 31 18.35;+48 15 22.5
3412; ;  -5.3;  -6.0; 1.7;  0;12.66; 0.48; 0.25;21 31 19.74;+47 40 32.0
3413; ;  -0.7;  -0.3; 1.8;  0;14.68; 0.53; 0.20;21 31 17.10;+48 49 26.0
3414; ;  10.1;   8.8; 3.0;  0;15.35; 1.06; 0.37;21 31 18.30;+48 24 27.4
3415; ;   0.5;  -0.2; 2.9;  0;14.11; 0.46; 0.36;21 31 20.39;+47 29 54.6
3416; ;   1.9;   5.6; 2.0;  0;13.86; 1.34; 0.91;21 31 18.39;+48 22 34.3
3417; ;  -2.5;  -1.6; 1.4;  0;13.48; 0.63; 0.47;21 31 19.66;+47 50 02.6
3418; ;   8.2;   7.9; 3.1;  0;15.22; 0.76; 0.32;21 31 17.34;+48 53 51.9
3419; ;   7.1;   7.0; 2.9;  0;14.88; 0.84; 0.16;21 31 17.55;+48 50 57.5
3420; ;  -4.1;  -1.3; 2.4;  0;15.07; 0.49; 0.33;21 31 17.25;+48 56 14.5
3421; ;   1.2;  12.0; 3.2;  0;15.55; 0.73; 0.08;21 31 17.36;+48 55 38.5
3422; ;  -1.0;  -2.1; 3.0;  0;15.29; 0.75; 0.09;21 31 17.59;+48 50 34.0
3423;*;  -3.5; -14.6; 1.3; 72;10.95; 0.46; 0.03;21 31 18.15;+48 37 22.7
3424;*;   1.4;  -1.6; 1.4;  0;11.69; 0.21; 0.08;21 31 17.90;+48 48 32.2
3425; ;   1.4;   1.4; 2.5;  0;14.76; 0.75; 0.17;21 31 17.00;+49 11 00.7
3426; ;   5.4;   5.8; 1.6;  0;12.20; 0.50; 0.44;21 31 17.84;+48 54 45.8
3427; ;  -4.7;  -2.4; 2.8;  0;14.70; 1.26; 0.92;21 31 17.93;+48 52 16.4
3428;*;  15.0;  13.4; 1.6;  0;10.10; 0.65; 0.06;21 31 20.99;+47 40 56.8
3429; ;  10.4;   6.2; 2.0;  0;10.94; 0.35; 0.25;21 31 17.12;+49 19 24.8
3430; ;  -5.8;   1.2; 3.3;  0;15.79; 0.55; 0.39;21 31 17.88;+48 58 17.7
3431;*;   9.2;  -7.2; 1.3;  0;11.17; 0.60;-0.14;21 31 19.84;+48 14 30.7
3432; ;  -0.4;  -1.9; 1.6;  0;12.79; 1.81; 1.73;21 31 19.34;+48 25 49.1
3433; ;  -0.7;   6.5; 2.9;  0;14.19; 1.35; 0.88;21 31 18.05;+49 00 40.2
3434; ; -12.4;  -4.4; 2.2;  0;14.47; 1.07; 0.42;21 31 20.80;+47 48 36.5
3435; ;   0.4;  -6.7; 2.3;  0;14.84; 0.35; 0.29;21 31 17.62;+49 12 28.4
3436; ;   5.3;   2.4; 2.2;  0;13.62; 1.73; 1.08;21 31 21.20;+47 44 16.6
3437; ;   2.2;   3.0; 3.0;  0;15.45; 0.92; 0.46;21 31 19.99;+48 14 56.4
3438; ;   2.0;   5.6; 1.6;  0;13.72; 0.77; 0.38;21 31 21.20;+47 44 38.1
3439; ;  -4.1;  -1.7; 2.2;  0;14.31; 0.73; 0.20;21 31 17.73;+49 12 51.0
3440; ;  -6.3;  -1.7; 1.6;  0;13.27; 1.56; 1.23;21 31 19.42;+48 30 20.4
3441; ;  -1.0;  -0.5; 1.6;  0;13.42; 0.43; 0.44;21 31 18.44;+48 56 12.0
3442; ;  -2.9;   0.1; 1.5;  0;13.87; 0.59; 0.42;21 31 20.31;+48 09 03.9
3443; ;  -1.1;  -9.0; 2.8;  0;14.75; 0.95; 0.30;21 31 19.89;+48 20 31.2
3444; ;  -2.8;   3.4; 3.0;  0;14.47; 1.46; 0.84;21 31 21.23;+47 50 22.3
3445; ;   2.7;   3.0; 2.6;  0;14.60; 1.24; 1.03;21 31 18.94;+48 50 44.1
3446; ;  -1.2;  -0.7; 2.3;  0;14.55; 0.87; 0.26;21 31 20.74;+48 06 33.6
3447; ;   7.9; -10.8; 2.2;  0;13.71; 1.38; 0.86;21 31 18.26;+49 11 47.0
3448; ;  17.4;  -3.1; 1.7;  0;13.54; 0.87; 0.30;21 31 18.67;+49 03 56.8
3449; ;   3.3;   2.0; 2.9;  0;15.12; 0.76; 0.38;21 31 19.68;+48 36 16.4
3450; ;  -0.2;   2.1; 2.0;  0;13.53; 0.61; 0.36;21 31 18.07;+49 17 04.9
3451; ;   1.0;   5.5; 1.7;  0;14.53; 0.59; 0.59;21 31 20.70;+48 11 09.7
3452; ;  -2.0;  -2.0; 1.4;  0;12.05; 0.70; 0.56;21 31 21.38;+47 54 46.4
3453; ;  -9.6;   9.8; 1.7;  0;12.01; 0.58; 0.13;21 31 18.70;+49 02 33.0
3454; ;  -1.2;   1.6; 1.6;  0;12.49; 0.41; 0.05;21 31 21.99;+47 42 09.1
3455; ;   3.1;  -4.4; 2.7;  0;14.66; 0.93; 0.45;21 31 21.38;+48 02 43.8
3456; ;  -9.3;  -4.7; 1.6;  0;13.61; 0.50; 0.46;21 31 19.06;+48 59 21.8
3457;*;  -4.2; -18.8; 1.3; 88; 9.94; 0.27; 0.11;21 31 20.38;+48 27 11.8
3458; ;   2.2;   1.4; 1.4;  0;13.50; 0.51; 0.53;21 31 20.83;+48 19 22.9
3459;*;  -1.3;   0.9; 1.7;  0; 9.57; 1.80; 2.12;21 31 18.64;+49 14 12.4
3460; ;  -4.4;   0.0; 2.6;  0;14.86; 0.84; 0.13;21 31 18.87;+49 07 57.1
3461; ;  -0.2;  -3.5; 2.2;  0;14.48; 0.60; 0.33;21 31 19.14;+49 05 31.0
3462; ;   1.9;  -0.1; 2.5;  0;14.95; 0.80; 0.34;21 31 20.07;+48 45 11.5
3463; ;   0.7;   2.2; 2.7;  0;15.21; 0.67; 0.15;21 31 21.53;+48 07 36.0
3464; ;   1.1;   7.5; 3.0;  0;15.33; 0.85; 0.12;21 31 20.07;+48 45 17.6
3465; ;   1.6;   4.7; 1.4;  0;13.46; 0.53; 0.48;21 31 21.75;+48 02 31.6
3466; ;   8.7;  -3.4; 1.6;  0;13.84; 0.98; 0.52;21 31 21.86;+48 02 20.1
3467; ; -10.4;  -9.3; 2.1;  0;14.16; 1.06; 0.43;21 31 22.22;+47 48 45.7
3468; ;   3.4;  -1.2; 2.3;  0;15.46; 0.46; 0.42;21 31 20.67;+48 33 16.9
3469; ;  -0.3;   1.2; 1.7;  0;13.15; 0.37; 0.22;21 31 19.51;+49 03 01.5
3470; ;  -8.3;  -4.4; 2.2;  0;14.69; 0.90; 0.27;21 31 21.19;+48 20 09.2
3471;*;  -2.4;  -4.6; 1.4;  0;11.57; 1.61; 1.50;21 31 21.03;+48 26 45.5
3472; ;   0.1;  -3.7; 2.3;  0;14.01; 1.28; 0.58;21 31 19.38;+49 10 44.6
3473; ;  -2.2;  -4.4; 2.2;  0;14.76; 0.85; 0.29;21 31 22.12;+48 01 26.6
3474; ;   0.0;   0.4; 2.2;  0;12.43; 1.49; 1.16;21 31 19.21;+49 17 00.5
3475; ;   7.3;   5.9; 4.6;  0;15.54; 0.49; 0.16;21 31 20.31;+48 58 50.1
3476; ; -11.5; -10.9; 3.3;  0;14.98; 1.07; 0.40;21 31 20.03;+49 02 03.4
3477; ;  -2.0;   9.2; 3.3;  0;15.46; 0.78; 0.15;21 31 20.10;+49 07 43.7
3478; ;   0.7;   0.9; 1.7;  0;14.07; 0.51; 0.37;21 31 20.47;+49 04 03.2
3479;*;   6.2;   0.7; 1.3;  0;11.94; 0.57; 0.05;21 31 21.72;+48 33 38.3
3480; ;  -3.2;  -2.8; 2.4;  0;14.22; 1.32; 0.78;21 31 20.44;+49 04 35.7
3481; ;   0.2;  -4.1; 1.8;  0;12.92; 0.66; 0.16;21 31 20.41;+49 10 04.4
3482; ;   8.3;   5.5; 1.6;  0;12.13; 0.98; 0.76;21 31 21.29;+48 53 03.7
3483; ;   3.8;   0.1; 3.0;  0;14.97; 1.00; 0.33;21 31 22.18;+48 29 12.1
3484; ;   0.8;  -1.6; 2.3;  0;15.33; 0.57; 0.21;21 31 23.25;+48 00 46.6
3485; ;  -2.4;  -1.0; 1.6;  0;14.26; 0.57; 0.50;21 31 22.66;+48 16 28.0
3486; ;  -2.9;   0.0; 1.7;  0;14.15; 0.69; 0.29;21 31 21.30;+48 51 47.5
3487; ;  -1.0;   1.3; 1.7;  0;13.67; 1.32; 0.97;21 31 22.20;+48 32 32.0
3488; ; -10.5;  -4.3; 2.8;  0;15.20; 0.92; 0.18;21 31 20.73;+49 09 19.4
3489; ;   1.2;   2.1; 2.7;  0;14.97; 0.64; 0.26;21 31 21.42;+48 56 50.9
3490; ;   0.2;  -1.2; 1.8;  0;14.86; 0.48; 0.37;21 31 21.85;+48 50 04.4
3491; ;  -1.8;   0.1; 1.9;  0;13.13; 0.37; 0.38;21 31 21.05;+49 11 15.5
3492; ;   4.3;   7.6; 2.9;  0;14.93; 0.78; 0.18;21 31 21.84;+48 52 50.3
3493; ;  -9.4;   0.8; 2.7;  0;14.92; 0.62; 0.53;21 31 21.87;+48 49 35.8
3494;*;  -2.6; -16.7; 1.5; 94; 7.84; 0.08;-0.06;21 31 23.18;+48 21 23.3
3495; ;   8.5;  -3.0; 2.6;  0;14.30; 1.03; 0.61;21 31 23.33;+48 20 45.6
3496; ;  -1.4;  -1.1; 1.4;  0;13.66; 0.49; 0.34;21 31 23.16;+48 24 57.5
3497; ;   1.3;  -0.8; 2.9;  0;15.32; 0.62; 0.40;21 31 23.72;+48 12 19.2
3498; ;   2.4;   1.9; 2.6;  0;14.94; 0.48; 0.40;21 31 21.52;+49 09 45.9
3499; ;  -1.6;   1.0; 1.4;  0;12.36; 0.99; 0.81;21 31 23.41;+48 20 40.0
3500; ;  -1.3;   1.2; 2.2;  0;14.84; 0.58; 0.36;21 31 22.35;+48 49 25.0
3501; ;   1.6;   1.6; 1.9;  0;14.65; 0.69; 0.25;21 31 22.32;+48 52 27.6
3502; ;  -4.2;  -4.9; 1.8;  0;14.52; 0.72; 0.27;21 31 22.93;+48 39 43.0
3503; ;   3.7;   4.0; 1.4;  0;13.43; 0.66; 0.41;21 31 23.33;+48 32 13.2
3504; ;   4.1;   2.1; 2.1;  0;13.89; 1.44; 0.86;21 31 24.26;+48 11 54.0
3505; ;   3.1;   4.7; 3.0;  0;15.29; 1.00; 0.32;21 31 23.60;+48 29 00.3
3506; ;  11.1;   1.0; 2.5;  0;15.19; 0.88; 0.27;21 31 23.36;+48 40 22.0
3507; ;   4.2;  22.7; 2.7;  0;14.90; 0.92; 0.25;21 31 22.73;+48 55 22.4
3508; ;  -0.2;  -1.1; 3.2;  0;15.71; 0.83; 0.19;21 31 24.87;+48 02 32.9
3509; ;   3.9;  -2.9; 3.0;  0;14.85; 1.28; 0.44;21 31 24.28;+48 20 13.6
3510; ;   6.6;   9.8; 2.5;  0;14.32; 1.51; 0.83;21 31 25.25;+47 55 45.2
3511; ;  20.4;  16.3; 1.5;  0;13.16; 0.78; 0.49;21 31 23.65;+48 43 49.3
3512; ; -11.6;  -2.5; 2.5;  0;15.26; 0.71; 0.15;21 31 23.06;+48 53 36.2
3513; ;   3.3;  -5.1; 2.2;  0;14.57; 0.89; 0.20;21 31 24.26;+48 31 49.0
3514; ;  -2.4; -13.8; 3.3;  2;14.64; 0.95; 0.56;21 31 22.81;+49 09 27.4
3515; ;   2.8;   5.0; 3.0;  0;15.07; 0.90; 0.65;21 31 25.78;+47 53 47.6
3516; ;   2.6;  -0.6; 1.6;  0;13.87; 0.68; 0.42;21 31 24.25;+48 34 52.8
3517; ;   3.7;  -1.9; 3.6;  0;14.27; 1.64; 1.17;21 31 22.84;+49 12 13.4
3518; ;  20.5;  13.1; 2.6;  0;14.68; 0.95; 0.22;21 31 23.05;+49 11 08.0
3519; ;   7.2;  -6.2; 1.6;  0;13.76; 0.66; 0.16;21 31 23.62;+48 56 10.0
3520; ;   7.3;   5.9; 3.0;  0;13.78; 0.97; 0.30;21 31 26.88;+47 29 26.0
3521; ;   1.2;   1.3; 3.1;  0;15.42; 0.83; 0.16;21 31 23.77;+48 52 28.9
3522; ;  -0.1;   2.9; 1.9;  0;13.91; 1.26; 0.80;21 31 23.14;+49 08 29.7
3523; ;   2.0;   1.0; 1.5;  0;11.23; 2.15; 2.33;21 31 26.01;+47 56 39.5
3524; ;  -1.1;  -1.7; 1.5;  0;13.97; 0.53; 0.31;21 31 24.33;+48 42 05.4
3525; ;   4.3;   4.9; 3.2;  0;15.58; 1.18; 0.54;21 31 25.47;+48 13 17.2
3526; ;   2.7;  -3.3; 2.3;  0;14.64; 0.98; 0.42;21 31 25.64;+48 08 29.5
3527; ;  -0.8;  -1.3; 2.6;  0;15.05; 0.75; 0.02;21 31 23.73;+48 58 44.3
3528; ;  -2.2;   1.5; 1.9;  0;12.80; 2.05; 2.14;21 31 25.12;+48 24 42.4
3529; ;  -7.1;  -2.0; 2.7;  0;14.70; 0.84; 0.53;21 31 25.02;+48 30 23.4
3530; ;  15.9;   3.7; 1.7;  0;11.29; 0.54;-0.08;21 31 27.37;+47 33 03.8
3531; ;  10.8;  -6.7; 3.0;  0;15.46; 1.18; 0.13;21 31 25.59;+48 25 15.0
3532; ;   0.6;   0.0; 1.8;  0;11.74; 1.97; 2.27;21 31 24.09;+49 08 35.6
3533; ;  -5.2;  -0.4; 2.4;  0;14.73; 0.65; 0.39;21 31 23.96;+49 12 30.4
3534; ;  -0.4;   0.3; 1.6;  0;14.21; 0.66; 0.51;21 31 26.76;+47 59 51.0
3535; ;   2.2;  -2.3; 2.7;  0;13.94; 0.75; 0.35;21 31 23.90;+49 16 56.8
3536; ;  -8.3;   2.6; 2.3;  0;14.94; 0.80; 0.32;21 31 25.08;+48 43 36.7
3537; ;  -3.2;  -3.6; 1.7;  0;13.83; 0.68; 0.21;21 31 24.57;+48 58 29.5
3538; ;  -8.8;   0.6; 2.9;  0;14.69; 0.83; 0.18;21 31 27.88;+47 29 51.1
3539; ;  22.2;  47.6; 2.1;  0;13.96; 0.79; 0.55;21 31 24.42;+49 13 31.9
3540; ;  51.8;  48.7; 2.2;  0;12.02; 0.60; 0.19;21 31 24.47;+49 20 27.8
3541; ;   0.4; -10.4; 3.0;  0;15.79; 0.85; 0.34;21 31 26.05;+48 31 43.5
3542; ;   5.9;   7.8; 2.6;  0;13.98; 1.58; 1.38;21 31 25.06;+49 00 43.2
3543; ;  -1.1;  -1.1; 1.6;  0;12.38; 0.84; 0.63;21 31 25.39;+48 50 19.9
3544; ;   0.7;   2.0; 1.8;  0;14.29; 0.62; 0.25;21 31 25.06;+48 59 58.4
3545; ;  -1.9;  -2.9; 2.3;  0;15.16; 0.69; 0.42;21 31 26.80;+48 18 51.2
3546; ;  -6.4; -15.8; 1.4; 77;13.06; 1.00; 0.65;21 31 27.23;+48 08 55.9
3547; ;   1.1;   2.0; 1.6;  0;12.29; 2.02; 2.00;21 31 25.17;+49 06 50.8
3548; ;   0.7;   1.1; 1.8;  0;14.91; 0.43; 0.38;21 31 25.99;+48 46 30.3
3549; ;  -0.8;  -0.9; 2.3;  0;15.43; 0.55; 0.43;21 31 27.44;+48 07 27.9
3550; ;  -7.0;   9.8; 2.8;  0;14.56; 1.15; 0.64;21 31 27.92;+47 56 20.2
3551; ;   3.9;  -1.3; 3.0;  0;15.49; 0.75; 0.30;21 31 27.83;+48 02 10.0
3552; ;  -0.4;   1.1; 1.9;  0;14.92; 0.41; 0.42;21 31 26.05;+48 50 35.4
3553; ;   2.6;   4.2; 1.9;  0;12.84; 0.54; 0.43;21 31 25.33;+49 13 19.3
3554; ;   7.4;   0.9; 2.2;  0;14.67; 0.77; 0.39;21 31 27.96;+48 05 44.3
3555; ;  -2.8;   0.4; 3.0;  0;14.50; 0.56; 0.46;21 31 29.32;+47 29 38.2
3556; ;   1.1;   1.7; 2.3;  0;14.93; 1.05; 0.41;21 31 27.74;+48 14 50.6
3557; ;  -0.6;   3.7; 2.8;  0;15.72; 0.45; 0.18;21 31 26.23;+48 57 48.5
3558; ;  -1.6;  -1.5; 2.7;  0;14.29; 1.13; 0.49;21 31 29.35;+47 32 48.7
3559; ; -14.7;  -9.2; 1.4;  0;12.99; 0.65; 0.11;21 31 27.73;+48 19 52.1
3560; ;   6.6; -11.0; 1.6;  0;13.92; 0.92; 0.57;21 31 28.20;+48 14 07.6
3561;*;  -1.9;  -1.8; 1.4;  0;12.45; 0.45; 0.40;21 31 27.70;+48 31 36.0
3562; ;  -9.1;   5.2; 2.1;  0;14.28; 1.04; 0.40;21 31 28.90;+47 57 57.7
3563; ;  -2.8;   1.9; 3.0;  0;15.12; 0.88; 0.55;21 31 28.97;+47 58 05.8
3564; ;  -2.0;   2.1; 2.2;  0;14.96; 0.62; 0.26;21 31 27.26;+48 46 25.4
3565; ;   1.8;   2.0; 1.5;  0;13.87; 0.62; 0.43;21 31 28.41;+48 16 55.8
3566; ;  -6.2;  -0.3; 3.0;  0;15.27; 0.78; 0.49;21 31 28.98;+47 59 50.5
3567; ;   1.1;  -3.5; 1.5;  0;12.42; 1.23; 0.96;21 31 29.41;+47 50 51.9
3568; ;  -1.4;  -2.0; 1.9;  0;13.86; 1.40; 0.89;21 31 27.02;+48 55 43.3
3569; ;   0.0;   1.2; 1.4;  0;13.13; 0.76; 0.50;21 31 28.64;+48 12 57.6
3570; ;  -2.0;   0.0; 1.6;  0;14.24; 0.44; 0.33;21 31 28.83;+48 08 37.6
3571; ;  -2.1;  -1.3; 3.0;  0;15.16; 0.92; 0.26;21 31 29.08;+48 02 20.8
3572; ;   4.9;   5.2; 3.0;  0;15.11; 1.00; 0.21;21 31 28.61;+48 18 07.6
3573; ;  -1.2;   2.0; 1.8;  0;15.06; 0.13; 0.35;21 31 27.56;+48 45 40.9
3574; ;   0.2;  -2.2; 2.5;  0;14.97; 0.82; 0.25;21 31 29.84;+47 43 22.9
3575;*;  -5.0;  -2.7; 1.4;  0;12.51; 0.63; 0.18;21 31 28.79;+48 15 04.2
3576; ;  -2.3;   0.5; 2.2;  0;14.93; 0.62; 0.44;21 31 29.01;+48 17 05.7
3577; ;  -2.0;  -2.4; 2.9;  0;15.10; 0.61; 0.31;21 31 27.71;+48 58 05.8
3578; ;  -0.3;  -0.3; 2.5;  0;11.50; 0.42; 0.19;21 31 31.03;+47 27 28.4
3579; ;  -0.4;   0.3; 1.5;  0;12.55; 0.21; 0.20;21 31 28.13;+48 49 30.6
3580; ;  -2.2;  -1.7; 1.7;  0;12.84; 0.71; 0.39;21 31 30.63;+47 39 57.9
3581; ;  -4.3;  -7.8; 2.9;  0;14.87; 0.96; 0.47;21 31 30.06;+47 56 37.1
3582; ;   3.3;   0.6; 2.0;  0;14.77; 0.56; 0.30;21 31 28.03;+48 57 08.3
3583; ;   0.4;   2.6; 2.9;  0;15.21; 0.69; 0.24;21 31 29.80;+48 08 00.0
3584; ;   0.8;  -4.2; 1.6;  0;13.86; 0.33; 0.26;21 31 27.50;+49 11 35.0
3585; ;  -7.2; -21.6; 3.0;  0;14.68; 1.19; 0.85;21 31 29.13;+48 26 52.8
3586; ;   1.6;   0.2; 2.3;  0;14.95; 0.80; 0.22;21 31 30.03;+48 08 27.2
3587; ;  -4.0;   0.4; 1.6;  0;13.07; 1.72; 1.81;21 31 29.64;+48 22 08.5
3588; ;  -0.3;  -5.0; 1.7;  0;11.28; 1.37; 1.13;21 31 28.04;+49 07 03.5
3589; ;  -0.6;  -3.2; 1.9;  0;13.33; 0.35; 0.23;21 31 27.86;+49 11 56.2
3590; ;  -5.3;   2.6; 2.3;  0;13.77; 1.84; 1.53;21 31 30.39;+48 01 46.0
3591; ;   0.9;   4.9; 1.5;  0;13.75; 0.71; 0.29;21 31 29.95;+48 16 28.8
3592;*;  -3.2; -16.3; 1.3; 96;10.12; 0.29; 0.08;21 31 29.97;+48 15 52.7
3593; ;  -1.9;   4.9; 2.5;  0;14.64; 1.06; 0.57;21 31 29.50;+48 29 22.3
3594; ;   0.0;   7.6; 2.3;  0;13.58; 1.70; 1.32;21 31 28.46;+49 00 43.0
3595; ;  -9.1;  -9.9; 1.5;  0;13.42; 0.90; 0.34;21 31 29.65;+48 26 05.3
3596;*;   2.1;  -0.2; 1.4;  0;12.10; 0.55; 0.30;21 31 30.15;+48 15 19.8
3597; ;   1.7;   6.7; 1.8;  0;14.35; 0.81; 0.41;21 31 28.83;+48 53 15.3
3598;*;  -7.3; -17.0; 1.5; 56;12.81; 0.73; 0.24;21 31 30.84;+47 55 14.8
3599; ;   5.2;   1.8; 2.3;  0;13.85; 1.53; 1.49;21 31 29.43;+48 38 18.4
3600; ;   0.8;   1.3; 1.6;  0;12.73; 1.25; 0.99;21 31 28.80;+48 55 52.7
3601; ;  -2.1;   6.3; 2.9;  0;14.21; 1.41; 1.20;21 31 28.59;+49 00 51.6
3602; ;   2.3;   1.4; 2.3;  0;14.63; 0.70; 0.47;21 31 29.20;+48 47 10.8
3603; ;   2.3;   7.3; 2.0;  0;14.33; 0.82; 0.36;21 31 28.62;+49 10 59.4
3604; ;   2.9;   9.2; 2.9;  0;15.19; 0.71; 0.21;21 31 29.03;+49 00 13.0
