#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:53:25 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:53:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/other/ASpR/58.1900/table3&-order=I&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=U-B&-out=e_U-B&-out=B-V&-out=e_B-V&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Pmemb&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1057005801
#Name: J/other/ASpR/58.1900
#Title: NGC 225 CCD UBV photometry (Bilir+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/other/aspr/58.1900	    IVOID of underlying data collection
#INFO	creator=Bilir S.	    First author or institution
#INFO	cites=bibcode:2016AdSpR..58.1900B	    Article or Data origin sources
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/other/ASpR/58.1900	    Dataset landing page
#INFO	publication_date=2016-11-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_other_ASpR_58_1900_table3:
#Name: J/other/ASpR/58.1900/table3
#Title: Photometric and astrometric catalogue NGC 225
#Column	ID	(I4)	Sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	pmRA	(F5.1)	? Proper motion component (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	? rms uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F5.1)	? Proper motion component	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	? rms uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Pmemb	(I3)	? Membership probability	[ucd=stat]
ID;RAJ2000;DEJ2000;Vmag;e_Vmag;U-B;e_U-B;B-V;e_B-V;pmRA;e_pmRA;pmDE;e_pmDE;Pmemb
 323;00 43 18.12;+61 55 44.14;18.861; 0.064; 0.158; 0.248; 1.588; 0.132; -2.0; 3.9;  0.4; 3.9; 90
 324;00 43 18.23;+61 45 37.56; 9.713; 0.001; 1.087; 0.005; 1.668; 0.002; -2.3; 2.0;  0.4; 2.0; 72
 325;00 43 18.28;+61 54 40.32;10.572; 0.002;-0.277; 0.001; 0.558; 0.002;  3.0; 1.4; -3.4; 1.2;  0
 326;00 43 18.41;+61 37 18.24;18.487; 0.046;      ;      ; 1.775; 0.105; -2.5; 5.3;-11.1; 5.3; 35
 327;00 43 18.49;+61 46 04.67;18.819; 0.056;-0.482; 0.322; 2.473; 0.206;  0.6; 6.7;  1.2; 6.7; 87
 328;00 43 18.51;+61 47 13.56;18.665; 0.048; 0.630; 0.227; 1.500; 0.096;  0.2; 3.9; -3.5; 3.9; 58
 329;00 43 18.56;+61 42 25.66;17.455; 0.021; 1.425; 0.127; 1.331; 0.036; -5.1; 3.8; -7.7; 3.8; 38
 330;00 43 18.58;+61 38 00.54;17.175; 0.018; 0.866; 0.078; 1.372; 0.031; -8.8; 3.8; -0.5; 3.8; 77
 331;00 43 18.60;+61 43 33.32;16.245; 0.010; 1.174; 0.036; 1.097; 0.016;-11.7; 3.8;  0.1; 3.8; 47
 332;00 43 18.77;+61 41 45.68;18.018; 0.031; 0.930; 0.143; 1.314; 0.054; -7.2; 4.0; -2.2; 4.0; 85
 333;00 43 18.84;+61 37 12.12;19.334; 0.092;      ;      ; 1.437; 0.179; -1.3; 4.0;  1.8; 4.0; 82
 334;00 43 18.89;+61 41 14.59;13.277; 0.002; 0.118; 0.004; 0.652; 0.003;-11.6; 3.8;  1.0; 3.8; 48
 335;00 43 19.07;+61 52 40.43;15.608; 0.007; 0.587; 0.020; 1.208; 0.011;  4.5; 3.8; -1.3; 3.8; 26
 336;00 43 19.11;+61 48 54.22;19.349; 0.085;      ;      ; 2.046; 0.241; -8.3; 5.3; -0.7; 5.3; 90
 337;00 43 19.11;+61 38 16.64;13.088; 0.002; 0.127; 0.003; 0.580; 0.003;  4.8; 2.8; -4.0; 2.8;  5
 338;00 43 20.68;+61 43 44.60;18.263; 0.036; 0.763; 0.178; 1.512; 0.071; -5.4; 3.8; -1.1; 3.8; 97
 339;00 43 20.95;+61 47 22.88;18.851; 0.055;      ;      ; 1.520; 0.113; -0.8; 3.9; -2.2; 3.9; 74
 340;00 43 21.01;+61 37 20.82;17.718; 0.026; 0.637; 0.103; 1.374; 0.046;  1.1; 3.8;  0.4; 3.8; 60
 341;00 43 21.14;+61 55 26.75;18.784; 0.061;      ;      ; 1.633; 0.127;-20.5;19.5; 48.7;19.5; 22
 342;00 43 21.35;+61 48 26.31;15.671; 0.007; 0.538; 0.021; 1.336; 0.012; -1.1; 3.8;  1.6; 3.8; 79
 343;00 43 21.58;+61 46 41.28;18.110; 0.032;      ;      ; 1.387; 0.058; -2.1; 3.8;  0.4; 3.8; 90
 344;00 43 21.80;+61 54 50.44;15.377; 0.006; 0.920; 0.025; 1.596; 0.011;  3.0; 4.7; -0.8; 4.7; 55
 345;00 43 21.94;+61 51 13.25;18.836; 0.056; 0.619; 0.228; 1.315; 0.101; -3.7; 3.9;  0.1; 3.9; 99
 346;00 43 22.05;+61 41 21.90;18.947; 0.063; 0.170; 0.270; 1.705; 0.141;  2.9; 3.9;-17.2; 3.9;  1
 347;00 43 22.06;+61 51 47.97;18.940; 0.062;      ;      ; 1.314; 0.111; -0.5; 4.3;  1.9; 4.3; 78
 348;00 43 22.12;+61 56 28.22;16.862; 0.015; 1.405; 0.080; 1.287; 0.025; 20.0; 5.1;-20.8; 5.1;  0
 349;00 43 22.17;+61 38 09.67;18.558; 0.047; 1.001; 0.257; 1.339; 0.084;  0.5; 3.9; -2.5; 3.9; 61
 350;00 43 22.29;+61 37 45.92;17.552; 0.023; 1.300; 0.207; 1.860; 0.052; -4.5; 3.8;  0.2; 3.8;100
 351;00 43 22.31;+61 41 45.22;17.482; 0.022; 1.912; 0.209; 1.523; 0.041;  3.5; 3.8;  0.0; 3.8; 36
 352;00 43 22.61;+61 47 05.59;18.947; 0.060; 0.379; 0.308; 1.767; 0.142;  5.3; 4.0; -0.7; 4.0; 25
 353;00 43 22.93;+61 43 04.13;18.671; 0.049;      ;      ; 1.782; 0.114; -6.8; 5.1; -0.7; 5.1; 96
 354;00 43 23.27;+61 39 33.97;18.216; 0.036; 1.016; 0.234; 1.605; 0.073;  0.3; 3.8;  8.8; 3.8; 22
 355;00 43 23.45;+61 56 14.55;18.726; 0.058; 0.729; 0.263; 1.387; 0.106; -5.4; 5.2;  1.6; 5.2; 98
 356;00 43 23.58;+61 45 55.32;15.868; 0.008; 0.596; 0.021; 1.015; 0.012;-21.0; 3.8;  4.2; 3.8;  1
 357;00 43 23.70;+61 47 16.63;17.897; 0.028; 0.746; 0.269; 2.397; 0.090;  0.9; 3.8; -4.7; 3.8; 43
 358;00 43 24.34;+61 40 40.09;18.073; 0.032; 1.301; 0.232; 1.533; 0.064;-15.0; 3.9; -4.0; 3.9; 16
 359;00 43 25.00;+61 37 50.64;14.611; 0.004; 0.478; 0.009; 0.921; 0.006; 10.0; 3.8; -5.6; 3.8;  2
 360;00 43 25.10;+61 36 41.40;17.808; 0.028; 0.628; 0.149; 1.714; 0.059; -0.9; 3.8; -0.6; 3.8; 79
 361;00 43 25.28;+61 41 48.65;19.078; 0.069;-0.140; 0.267; 1.794; 0.165; -6.8; 5.1; -0.8; 5.1; 95
 362;00 43 25.35;+61 47 30.68;17.620; 0.024; 0.652; 0.290; 2.832; 0.095; -8.2; 6.1;  1.4; 6.1; 92
 363;00 43 25.35;+61 38 23.47;13.621; 0.002; 0.036; 0.005; 1.182; 0.004;  1.0; 4.7; -1.5; 4.7;  0
 364;00 43 25.39;+61 40 18.52;18.224; 0.037; 0.775; 0.224; 1.758; 0.081; -9.9; 3.8;  0.3; 3.8; 66
 365;00 43 25.63;+61 48 51.78;11.560; 0.004; 0.120; 0.003; 0.420; 0.004; -1.9; 2.0;  2.9; 2.0; 43
 366;00 43 25.74;+61 40 31.95;13.593; 0.002; 0.178; 0.004; 0.771; 0.004; -7.0; 3.8;  2.7; 3.8; 84
 367;00 43 25.80;+61 52 44.53;19.227; 0.079;      ;      ; 1.046; 0.125; -0.3; 5.2;-13.3; 5.2; 19
 368;00 43 25.87;+61 39 56.84;18.798; 0.055; 0.364; 0.309; 1.623; 0.119; -3.4; 3.9; -1.3; 3.9; 94
 369;00 43 26.45;+61 44 31.45;15.024; 0.005; 0.477; 0.012; 1.023; 0.008;-18.0; 3.8; -8.6; 3.8;  2
 370;00 43 26.45;+61 40 57.46;18.573; 0.046; 0.678; 0.194; 1.327; 0.083; -3.1; 4.0; -0.5; 4.0; 96
 371;00 43 26.46;+61 42 09.06;18.464; 0.042; 1.138; 0.239; 1.339; 0.075; -0.7; 3.8; -5.2; 3.8; 50
 372;00 43 26.58;+61 45 55.89;10.338; 0.002; 0.071; 0.001; 0.550; 0.002; -4.0; 2.0;  0.6; 2.0; 96
 373;00 43 27.13;+61 54 42.07;18.397; 0.043; 0.641; 0.210; 1.576; 0.086;  8.4; 3.8; -3.0; 3.8;  6
 374;00 43 28.23;+61 55 39.91;17.477; 0.022; 0.798; 0.078; 1.143; 0.035;  2.0; 3.9;  1.3; 3.9; 51
 375;00 43 28.68;+61 49 18.62;18.574; 0.046;      ;      ; 1.877; 0.112;  1.3; 3.8; -3.1; 3.8; 49
 376;00 43 28.88;+61 41 48.20;19.223; 0.076;      ;      ; 1.442; 0.150;  4.1; 3.9; -3.9; 3.9; 25
 377;00 43 28.88;+61 48 04.15;10.940; 0.002; 0.135; 0.003; 0.250; 0.003; -8.1; 2.0;  2.2; 2.0; 42
 378;00 43 28.98;+61 55 47.65;19.081; 0.076;      ;      ; 1.236; 0.130; -0.2; 4.0; -2.4; 4.0; 69
 379;00 43 29.48;+61 42 09.90;17.707; 0.025; 1.023; 0.117; 1.343; 0.043; 11.6; 3.8; -7.4; 3.8;  1
 380;00 43 29.55;+61 42 29.51;16.296; 0.011; 1.553; 0.094; 2.059; 0.023;  4.1; 3.8; -1.8; 3.8; 29
 381;00 43 29.60;+61 48 49.58;17.030; 0.016; 1.102; 0.180; 2.534; 0.050;  2.0; 4.7; -0.2; 4.7; 64
 382;00 43 29.76;+61 42 18.46;17.764; 0.026; 0.879; 0.124; 1.489; 0.048; 12.4; 3.8; -7.2; 3.8;  0
 383;00 43 29.86;+61 41 09.77;19.250; 0.080;      ;      ; 1.919; 0.208;-11.5; 5.1; -6.1; 5.1; 48
 384;00 43 30.08;+61 53 49.12;14.813; 0.005; 1.687; 0.038; 2.157; 0.010; -0.1; 4.7;  2.7; 4.7; 76
 385;00 43 30.39;+61 54 30.40;17.215; 0.018; 1.629; 0.133; 1.420; 0.032;  9.1; 3.8; -9.2; 3.8;  1
 386;00 43 30.70;+61 56 24.47;16.123; 0.009; 0.590; 0.029; 1.296; 0.015; -2.7; 3.8;  0.7; 3.8; 94
 387;00 43 30.81;+61 40 42.46;17.624; 0.024; 1.570; 0.231; 1.760; 0.051;  2.8; 3.8; -3.2; 3.8; 35
 388;00 43 31.00;+61 48 10.29;12.172; 0.001; 0.090; 0.002; 0.551; 0.002; -4.8; 2.0; -1.0; 2.0; 92
 389;00 43 31.24;+61 55 27.54;17.404; 0.022; 1.320; 0.240; 2.164; 0.056; -1.6; 3.8;  4.1; 3.8; 68
 390;00 43 31.55;+61 38 31.54;13.315; 0.002; 0.189; 0.004; 0.728; 0.003; -2.1; 3.8; -4.2; 3.8; 67
 391;00 43 31.58;+61 55 14.21;18.790; 0.061;      ;      ; 2.243; 0.188;  1.7; 3.9;  3.9; 3.9; 45
 392;00 43 32.66;+61 50 44.50;18.707; 0.050;      ;      ; 2.188; 0.155;  5.0; 3.8;  0.3; 3.8; 24
 393;00 43 32.85;+61 53 40.23;16.450; 0.012; 1.971; 0.159; 2.127; 0.027;  0.4; 3.8; -3.2; 3.8; 56
 394;00 43 33.18;+61 55 00.97;17.808; 0.028; 0.710; 0.154; 1.750; 0.060;  3.5; 3.8; -1.7; 3.8; 34
 395;00 43 33.19;+61 44 47.10;17.447; 0.021; 0.600; 0.076; 1.413; 0.037; -2.0; 3.8; -0.3; 3.8; 89
 396;00 43 33.74;+61 55 26.72;17.909; 0.030; 0.573; 0.128; 1.516; 0.056;  2.0; 3.8; -1.7; 3.8; 47
 397;00 43 34.38;+61 54 21.84;18.838; 0.060;      ;      ; 1.765; 0.136; -1.1; 5.1;  0.5; 5.1; 89
 398;00 43 34.53;+61 51 47.62;17.813; 0.027; 0.987; 0.157; 1.626; 0.054; 10.7; 3.8; -2.2; 3.8;  2
 399;00 43 35.15;+61 42 25.60;17.792; 0.026; 0.945; 0.109; 1.265; 0.044;  0.4; 3.9; -3.3; 3.9; 57
 400;00 43 35.22;+61 52 48.57;18.316; 0.039; 0.981; 0.218; 1.479; 0.074; -3.1; 3.8; -4.3; 3.8; 70
 401;00 43 35.28;+61 40 50.40;16.017; 0.009; 0.657; 0.028; 1.327; 0.015;  2.8; 3.8; -3.0; 3.8; 36
 402;00 43 35.30;+61 48 16.22;16.186; 0.010; 0.972; 0.031; 1.122; 0.015;  9.8; 3.8; 19.8; 3.8;  0
 403;00 43 35.37;+61 44 31.59;16.489; 0.012; 0.721; 0.036; 1.229; 0.019; -1.9; 3.8;  2.0; 3.8; 84
 404;00 43 35.48;+61 50 17.48;17.564; 0.022; 0.523; 0.083; 1.470; 0.041;  1.7; 3.8; -2.6; 3.8; 47
 405;00 43 35.60;+61 43 33.79;19.426; 0.088;      ;      ; 1.629; 0.194;  1.7; 5.3; -2.8; 5.3; 67
 406;00 43 35.68;+61 49 26.54;18.115; 0.032; 1.066; 0.171; 1.393; 0.058; -3.7; 3.9; -2.1; 3.9; 91
 407;00 43 35.81;+61 46 14.23;19.008; 0.061; 0.488; 0.257; 1.464; 0.120;  1.1; 3.9; -5.5; 3.9; 38
 408;00 43 36.63;+61 54 04.51;18.361; 0.041; 0.329; 0.161; 1.564; 0.081; -0.6; 3.9;  5.8; 3.9; 49
 409;00 43 36.94;+61 53 40.23;11.982; 0.005; 0.156; 0.004; 0.347; 0.006; -6.2; 2.0;  2.4; 2.0; 67
 410;00 43 36.98;+61 56 48.13;17.449; 0.022; 0.882; 0.106; 1.515; 0.041; -1.5; 3.8; -0.9; 3.8; 84
 411;00 43 37.21;+61 42 28.67;18.560; 0.045; 0.920; 0.271; 1.595; 0.092;  1.7; 3.9; -7.1; 3.9; 25
 412;00 43 37.61;+61 48 31.35;17.788; 0.026; 1.455; 0.218; 1.713; 0.055;  2.8; 3.8;  0.2; 3.8; 42
 413;00 43 37.62;+61 56 01.42;17.999; 0.032; 0.797; 0.184; 1.681; 0.067;  2.2; 3.8;  2.1; 3.8; 45
 414;00 43 37.64;+61 54 17.47;17.753; 0.026; 0.561; 0.107; 1.489; 0.050;  0.3; 3.8;  3.1; 3.8; 60
 415;00 43 37.68;+61 36 47.53;18.957; 0.067;      ;      ; 1.115; 0.108; -0.6; 3.9; -4.4; 3.9; 57
 416;00 43 37.91;+61 45 37.77;16.971; 0.015; 1.187; 0.068; 1.297; 0.026; -6.2; 3.8;-10.4; 3.8; 17
 417;00 43 38.16;+61 42 11.40;15.092; 0.005; 1.289; 0.022; 1.388; 0.009;-56.6; 3.8; -8.1; 3.8;  0
 418;00 43 38.28;+61 43 06.89;19.399; 0.085;      ;      ; 1.560; 0.183;  1.4; 4.1; -1.8; 4.1; 58
 419;00 43 38.35;+61 53 48.77;17.793; 0.028;      ;      ; 2.307; 0.081;  1.9; 3.8;  6.6; 3.8; 27
 420;00 43 38.58;+61 55 24.72;14.906; 0.005; 1.143; 0.019; 1.460; 0.008;  6.1; 3.8; -0.7; 3.8; 16
 421;00 43 38.90;+61 46 58.42;18.089; 0.032;      ;      ; 1.822; 0.072;  4.0; 3.8; -7.6; 3.8; 12
 422;00 43 39.76;+61 46 07.59;17.531; 0.022; 1.815; 0.286; 1.986; 0.052; -5.3; 3.8; -2.5; 3.8; 89
 423;00 43 39.93;+61 43 43.76;10.920; 0.002; 0.060; 0.003; 0.600; 0.003; 33.6; 2.0;  0.3; 2.0;  0
 424;00 43 40.07;+61 56 17.24;15.988; 0.009; 0.720; 0.027; 1.278; 0.014; -1.4; 3.8; -0.8; 3.8; 83
 425;00 43 40.48;+61 50 52.17;17.743; 0.025; 0.884; 0.113; 1.364; 0.045; -1.7; 3.9; -2.8; 3.9; 77
 426;00 43 40.50;+61 38 43.80;18.267; 0.038; 0.720; 0.253; 1.877; 0.091; -1.5; 3.8; -4.9; 3.8; 57
 427;00 43 40.56;+61 37 18.07;17.555; 0.023; 0.813; 0.095; 1.303; 0.040;  6.8; 5.3;  0.1; 5.3; 35
 428;00 43 40.64;+61 43 33.64;18.782; 0.054;-0.163; 0.215; 1.753; 0.127; 17.4; 5.1;-25.1; 5.2;  0
 429;00 43 40.73;+61 52 18.50;18.771; 0.056;-0.562; 0.332; 2.597; 0.223; -6.7; 3.8; -2.4; 3.8; 85
 430;00 43 40.98;+61 37 14.61;17.463; 0.022; 0.723; 0.106; 1.621; 0.043;  6.8; 5.3;  0.1; 5.3; 35
 431;00 43 41.06;+61 44 42.90;18.903; 0.059;      ;      ; 2.207; 0.178; -0.4; 5.1; -9.3; 5.1; 39
 432;00 43 41.85;+61 48 47.87;13.786; 0.003; 0.429; 0.006; 1.033; 0.004;  4.5; 3.8;  1.2; 3.8; 27
 433;00 43 41.92;+61 53 41.63;18.534; 0.047;      ;      ; 1.446; 0.087; -4.4; 3.8;-12.4; 3.8;  9
 434;00 43 42.07;+61 48 32.55;18.858; 0.058;      ;      ; 2.591; 0.226;  3.7; 6.1;  0.3; 6.1; 66
 435;00 43 42.10;+61 44 56.39;18.335; 0.037; 1.003; 0.222; 1.560; 0.075;  3.6; 3.8; -0.6; 3.8; 34
 436;00 43 42.16;+61 51 47.23;17.075; 0.016; 0.878; 0.060; 1.233; 0.027;  0.7; 3.8;  2.9; 3.8; 57
 437;00 43 42.33;+61 41 21.30;18.796; 0.056;-0.622; 0.290; 2.453; 0.203; -3.2; 3.8; -1.9; 3.8; 90
 438;00 43 42.50;+61 38 42.73;17.347; 0.020; 1.489; 0.111; 1.199; 0.032;  3.0; 3.8; -4.2; 3.8; 30
 439;00 43 42.56;+61 46 06.68;11.020; 0.003; 0.540; 0.004; 0.940; 0.004;-23.2; 2.0; -6.5; 2.0;  0
 440;00 43 42.63;+61 49 57.90;19.045; 0.064;      ;      ; 1.381; 0.122;  3.0; 5.3;  9.2; 5.3; 33
 441;00 43 42.65;+61 42 29.55;17.086; 0.017; 0.946; 0.078; 1.548; 0.031;  1.0; 3.8; -2.0; 3.8; 56
 442;00 43 42.97;+61 56 04.21;16.872; 0.015; 0.557; 0.042; 1.123; 0.023; -2.8; 3.8;  1.1; 3.8; 93
 443;00 43 43.10;+61 37 07.55;18.356; 0.042;      ;      ; 1.641; 0.087; 27.6; 5.2;  7.7; 5.2;  0
 444;00 43 43.21;+61 54 13.36;18.872; 0.063;-0.135; 0.236; 1.693; 0.138;-21.7; 5.2; 13.7; 5.2;  2
 445;00 43 43.35;+61 43 04.74;14.316; 0.004; 0.238; 0.007; 0.795; 0.005;  1.1; 3.8; -2.0; 3.8; 55
 446;00 43 43.51;+61 42 02.89;15.748; 0.008; 0.614; 0.022; 1.240; 0.012;  0.7; 3.8; -2.8; 3.8; 56
 447;00 43 43.57;+61 44 59.16;18.872; 0.055; 0.598; 0.251; 1.431; 0.106;  2.6; 3.9; -3.3; 3.9; 38
 448;00 43 43.87;+61 53 56.89;10.910; 0.002; 0.165; 0.003; 0.410; 0.003; 15.0; 2.0; -8.5; 2.0;  0
 449;00 43 44.22;+61 49 13.77;15.854; 0.008; 1.484; 0.062; 2.066; 0.018; -5.5; 3.8;  1.2; 3.8; 98
 450;00 43 44.23;+61 51 50.35;15.599; 0.007; 0.478; 0.016; 0.936; 0.010;-14.6; 3.8;  6.9; 3.8; 11
 451;00 43 44.58;+61 39 13.18;15.613; 0.007; 0.444; 0.016; 0.966; 0.011; -0.2; 3.8;  0.7; 3.8; 73
 452;00 43 44.60;+61 44 39.36;18.467; 0.042; 0.389; 0.300; 2.248; 0.127;  1.1; 5.1; -1.0; 5.1; 74
 453;00 43 45.15;+61 41 40.98;16.146; 0.010; 1.243; 0.043; 1.405; 0.016;  8.3; 3.8;  8.6; 3.8;  3
 454;00 43 45.53;+61 46 14.95;13.677; 0.003; 1.424; 0.013; 1.844; 0.005;  1.3; 4.7;  0.6; 4.7; 70
 455;00 43 46.13;+61 43 42.56;16.344; 0.011; 1.184; 0.053; 1.578; 0.020; 18.7; 3.8;  2.5; 3.8;  0
 456;00 43 46.28;+61 56 25.27;18.974; 0.070; 0.131; 0.501; 1.540; 0.141; -2.4; 3.9; -3.8; 3.9; 73
 457;00 43 46.89;+61 47 36.14;18.965; 0.059;      ;      ; 1.065; 0.095;  2.1; 4.0;  1.4; 4.0; 52
 458;00 43 47.22;+61 52 17.75;18.572; 0.047;      ;      ; 1.843; 0.111;  4.5; 5.2; -3.5; 5.2; 45
 459;00 43 47.54;+61 45 57.37;18.937; 0.058;-0.097; 0.251; 1.898; 0.147;  0.4; 5.3; -1.2; 5.3; 80
 460;00 43 47.74;+61 43 32.66;17.118; 0.017; 0.707; 0.056; 1.251; 0.028;  1.0; 3.8; -3.5; 3.8; 49
 461;00 43 47.85;+61 51 13.79;19.270; 0.081;      ;      ; 2.290; 0.271;  2.0; 5.2;  2.1; 5.2; 67
 462;00 43 47.87;+61 54 47.31;18.825; 0.060;      ;      ; 2.037; 0.160;  2.1; 5.1;  6.9; 5.1; 46
 463;00 43 47.94;+61 54 00.42;13.187; 0.002; 0.217; 0.004; 0.914; 0.003;  1.5; 3.8;  4.4; 3.8; 42
 464;00 43 48.02;+61 40 33.08;11.020; 0.003; 0.200; 0.003; 0.630; 0.004;-19.9; 2.0; -6.0; 2.0;  0
 465;00 43 48.17;+61 56 55.01;18.194; 0.039; 0.493; 0.285; 2.209; 0.109; -2.9; 3.8;  1.3; 3.8; 93
 466;00 43 48.31;+61 48 33.15;17.424; 0.020; 1.008; 0.108; 1.603; 0.040;  1.0; 3.8;  2.0; 3.8; 58
 467;00 43 48.97;+61 52 51.89;14.263; 0.004; 0.172; 0.006; 0.785; 0.005; -3.6; 3.8;  1.4; 3.8; 96
 468;00 43 49.64;+61 49 07.17;17.912; 0.028; 0.582; 0.136; 1.740; 0.060;  2.0; 3.8; -0.8; 3.8; 49
 469;00 43 49.86;+61 46 40.43;17.340; 0.019; 0.982; 0.117; 1.824; 0.041;  2.8; 3.8; -0.1; 3.8; 42
 470;00 43 50.27;+61 49 44.73;15.074; 0.005; 0.477; 0.012; 0.968; 0.008;  7.5; 3.8; -2.5; 3.8;  9
 471;00 43 50.63;+61 52 35.54;19.225; 0.079;      ;      ; 1.637; 0.171; 25.1; 3.8; -3.5; 3.8;  0
 472;00 43 50.94;+61 54 18.53;16.431; 0.011; 1.046; 0.040; 1.140; 0.018; -0.4; 3.8; -1.4; 3.8; 72
 473;00 43 51.06;+61 50 08.44;10.630; 0.002;-0.020; 0.001; 0.280; 0.002; -6.1; 2.0; -3.1; 2.0; 49
 474;00 43 51.11;+61 42 33.75;16.854; 0.014; 1.384; 0.068; 1.257; 0.024; 29.4; 5.1; -8.8; 5.1;  0
 475;00 43 51.27;+61 40 32.24;16.256; 0.010; 0.538; 0.024; 0.934; 0.015;  6.1; 3.8;-12.1; 3.8;  2
 476;00 43 51.33;+61 57 04.67;18.316; 0.041;      ;      ; 1.604; 0.083; -2.9; 5.1; -1.6; 5.1; 95
 477;00 43 51.37;+61 49 53.98;15.809; 0.008; 0.559; 0.029; 1.615; 0.015; 13.1; 3.8;-28.4; 3.8;  0
 478;00 43 51.47;+61 47 13.54;10.890; 0.002; 0.040; 0.002; 0.230; 0.002; -3.8; 2.0; -2.2; 2.0; 69
 479;00 43 51.88;+61 36 55.70;18.565; 0.049; 0.130; 0.160; 1.444; 0.092;  2.5; 3.9;  0.7; 3.9; 47
 480;00 43 52.05;+61 37 15.09;18.587; 0.049;      ;      ; 1.690; 0.108;  4.2; 3.8; -3.3; 3.8; 24
 481;00 43 52.07;+61 45 24.75;12.395; 0.001; 0.254; 0.003; 0.731; 0.002;  4.6; 2.8;-15.9; 2.8;  0
 482;00 43 52.13;+61 44 18.04; 9.873; 0.001; 0.395; 0.002; 0.961; 0.001; 28.4; 1.2;-26.6; 1.1;  0
 483;00 43 52.13;+61 43 04.78;12.543; 0.002; 0.176; 0.003; 0.737; 0.002;  4.6; 2.8; -9.1; 2.8;  1
 484;00 43 52.38;+61 54 08.95;18.375; 0.041;      ;      ; 1.316; 0.073; -0.9; 3.8;-13.5; 3.8;  4
 485;00 43 52.49;+61 44 41.13;19.932; 0.128;      ;      ; 0.998; 0.205; 21.3; 5.1; 17.8; 5.1;  0
 486;00 43 52.72;+61 51 18.18;18.732; 0.054;      ;      ; 2.435; 0.187;  9.1; 5.1; -2.3; 5.1; 19
 487;00 43 52.80;+61 51 56.72;18.384; 0.041; 0.656; 0.211; 1.654; 0.086;  2.7; 3.8;  2.5; 3.8; 40
 488;00 43 53.49;+61 43 42.92;18.618; 0.045;      ;      ; 1.684; 0.098;  1.7; 5.2; -8.3; 5.2; 39
 489;00 43 53.59;+61 42 54.24;17.530; 0.022; 1.767; 0.168; 1.361; 0.038; 24.0; 3.8; 19.5; 3.8;  0
 490;00 43 53.85;+61 48 07.16;19.003; 0.062;      ;      ; 1.516; 0.124;  5.0; 3.8; -9.2; 3.8;  6
 491;00 43 54.64;+61 56 00.70;15.955; 0.009; 1.401; 0.038; 1.261; 0.014;  5.9; 3.8;  0.4; 3.8; 18
 492;00 43 54.87;+61 47 15.55;17.547; 0.022; 1.979; 0.203; 1.399; 0.040; -1.0; 3.8; -2.3; 3.8; 74
 493;00 43 55.00;+61 40 37.10;18.402; 0.041; 0.518; 0.168; 1.465; 0.078; 66.8; 5.1;-23.2; 5.1;  0
 494;00 43 55.01;+61 37 19.81;16.944; 0.016; 1.092; 0.085; 1.554; 0.029; 11.3; 3.8; -8.6; 3.8;  1
 495;00 43 55.31;+61 52 38.73;17.284; 0.019; 1.196; 0.102; 1.455; 0.035; -1.3; 3.8;  1.1; 3.8; 83
