#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:22:37 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:22:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/401/531/table8&-order=I&-out=Seq&-out=NL&-out=RA2000&-out=DE2000&-out=Np&-out=pmX&-out=e_pmX&-out=pmY&-out=e_pmY&-out=Vmag&-out=B-V&-out=Prob&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34010531
#Name: J/A+A/401/531
#Title: Proper motions in NGC 7243 (Jilinski+, 2003)
#INFO	ivoid=ivo://cds.vizier/j/a+a/401/531	    IVOID of underlying data collection
#INFO	creator=Jilinski E.G.	    First author or institution
#INFO	cites=bibcode:2003A&A...401..531J	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/401/531	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34010531	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-09-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_1949.830:	eq_FK5 J2000
#Table	J_A_A_401_531_table8:
#Name: J/A+A/401/531/table8
#Title: Star positions, proper motions, BV photometry, and membership probabilities
#Column	Seq	(I4)	[1/2623] Sequence number of the star	[ucd=meta.id]
#Column	NL	(I3)	[]? Identification from Lengauer (1)	[ucd=meta.id]
#Column	RA2000	(A11)	Right Ascension Eq=2000.0, Ep=1949.83 (3)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A11)	Declination	[ucd=pos.eq.dec;meta.main]
#Column	Np	(I2)	? Number of astrometric plate pairs used	[ucd=meta.id;instr.plate]
#Column	pmX	(F5.1)	? Relative proper motions in X	[ucd=pos.pm;pos.cartesian.x]
#Column	e_pmX	(F4.1)	? Standard error in pmX	[ucd=stat.error]
#Column	pmY	(F5.1)	? Relative proper motions in Y	[ucd=pos.pm;pos.cartesian.y]
#Column	e_pmY	(F4.1)	? Standard error in pmY	[ucd=stat.error]
#Column	Vmag	(F6.3)	? V magnitude of a star	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? (B-V) colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Prob	(I2)	? Membership probability	[ucd=stat]
#Column	_RA.icrs	(A11)	Right ascension (ICRS) at Epoch=J1949.83 (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A11)	Declination (ICRS) at Epoch=J1949.83 (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Seq;NL;RA2000;DE2000;Np;pmX;e_pmX;pmY;e_pmY;Vmag;B-V;Prob;_RA.icrs;_DE.icrs
1267;   ;22 14 10.52;+50 01 22.4; 8;  1.1; 1.3; -1.6; 0.9;13.650; 0.790;87;22 14 10.60;+50 01 22.4
1269;   ;22 13 58.42;+50 03 20.5;10; -1.1; 1.2;  3.9; 1.0;14.730; 0.810; 0;22 13 58.50;+50 03 20.5
1270;   ;22 13 58.30;+50 03 40.0; 7; -2.0; 0.8;  2.4; 1.9;14.600; 0.970; 0;22 13 58.38;+50 03 40.0
1271;   ;22 13 53.65;+50 02 26.1;  ;     ;    ;     ;    ;14.360; 0.870;  ;22 13 53.73;+50 02 26.1
1272;   ;22 13 52.93;+50 01 17.6; 8;  4.1; 0.8;  2.3; 1.5;13.760; 0.830;71;22 13 53.01;+50 01 17.6
1273;   ;22 13 44.95;+50 00 59.1;10;  1.5; 0.8; -3.7; 1.4;12.530; 2.040; 9;22 13 45.03;+50 00 59.1
1274;   ;22 13 43.26;+50 03 43.4; 9;  2.5; 1.1;  2.4; 0.9;13.780; 0.760;85;22 13 43.34;+50 03 43.4
1275;331;22 13 29.15;+50 00 42.0;10;  3.0; 1.4; -0.1; 0.7;12.100; 0.470;98;22 13 29.23;+50 00 42.0
1276;328;22 13 20.66;+50 00 44.0;10;  2.5; 0.9;  1.0; 0.6;10.410; 0.100;97;22 13 20.74;+50 00 44.0
1277;   ;22 13 19.48;+50 02 42.3;  ;     ;    ;     ;    ;14.950; 0.720;  ;22 13 19.56;+50 02 42.3
1278;203;22 13 19.21;+50 03 01.0;10;  2.4; 0.6;  1.4; 0.6;12.930; 0.370;96;22 13 19.29;+50 03 01.0
1279;202;22 13 18.30;+50 03 50.2;10; -3.8; 1.0; -3.1; 0.6;13.290; 0.940; 0;22 13 18.38;+50 03 50.2
1280;   ;22 13 08.69;+50 02 02.8;10;  1.0; 0.5;  0.2; 0.7;13.260; 0.600;95;22 13 08.77;+50 02 02.8
1281;   ;22 13 11.82;+50 00 09.7;  ;     ;    ;     ;    ;15.160; 0.800;  ;22 13 11.90;+50 00 09.7
1282;   ;22 13 08.80;+49 59 43.2; 8;  1.9; 1.2; -2.2; 0.9;13.190; 1.400;82;22 13 08.88;+49 59 43.2
1283;   ;22 13 07.73;+49 59 41.5;  ;     ;    ;     ;    ;14.260; 1.180;  ;22 13 07.81;+49 59 41.5
1284;   ;22 13 03.26;+50 00 54.0; 9;  2.5; 0.9; -0.3; 1.5;13.440; 0.760;98;22 13 03.34;+50 00 54.0
1285;198;22 12 58.84;+50 02 37.8;10;  2.7; 0.9;-17.7; 0.4;11.660; 0.860; 0;22 12 58.92;+50 02 37.8
1286;197;22 12 57.64;+50 03 22.9;10; -0.5; 1.3;-17.8; 0.6;12.280; 0.980; 0;22 12 57.72;+50 03 22.9
1287;   ;22 12 57.43;+50 04 12.6; 7; -0.8; 1.8; -2.1; 1.1;12.760; 2.040; 8;22 12 57.51;+50 04 12.6
1288;   ;22 12 54.20;+50 04 13.6; 8; -6.7; 2.3; -6.6; 1.2;14.540; 0.710; 0;22 12 54.28;+50 04 13.6
1289;   ;22 12 51.40;+50 02 56.5; 8; -3.6; 1.2;  0.9; 1.6;13.210; 1.560; 0;22 12 51.48;+50 02 56.5
1290;   ;22 12 49.75;+50 01 40.1; 9; -0.3; 1.8; -1.1; 1.3;14.110; 0.760;48;22 12 49.83;+50 01 40.1
1291;   ;22 12 46.44;+49 59 32.5; 9;  3.5; 1.8;  1.5; 1.0;13.770; 1.310;94;22 12 46.52;+49 59 32.5
1292;317;22 12 36.01;+50 00 36.1;10;-14.9; 1.1; -3.1; 0.7;10.810; 0.490; 0;22 12 36.09;+50 00 36.1
1293;   ;22 12 38.40;+50 02 29.7;10; -0.2; 1.2; -1.0; 0.7;13.370; 0.820;60;22 12 38.48;+50 02 29.7
1294;191;22 12 41.78;+50 03 34.2;10;  0.7; 1.0;  0.8; 0.9;13.490; 0.370;90;22 12 41.86;+50 03 34.2
1295;   ;22 12 46.64;+50 04 03.1; 8;  1.3; 1.2; -3.1; 0.8;14.170; 0.990;28;22 12 46.72;+50 04 03.1
1296;188;22 12 33.28;+50 03 26.7;10; -4.3; 0.6; -3.4; 0.7;12.300; 0.590; 0;22 12 33.36;+50 03 26.7
1297;   ;22 12 30.11;+50 02 47.8;  ;     ;    ;     ;    ;14.550; 0.710;  ;22 12 30.19;+50 02 47.8
1298;187;22 12 30.87;+50 02 37.3;10; -1.2; 1.3; -0.7; 0.8;12.460; 0.450;11;22 12 30.95;+50 02 37.3
1299;186;22 12 30.36;+50 02 16.2;10; 14.9; 1.5;  7.0; 0.7;11.460; 0.390; 0;22 12 30.44;+50 02 16.2
1300;   ;22 12 26.24;+50 03 02.3;10;  8.5; 1.1;  5.1; 0.9;13.490; 1.040; 0;22 12 26.32;+50 03 02.3
1301;   ;22 12 27.51;+50 01 33.4;  ;     ;    ;     ;    ;15.140; 0.410;  ;22 12 27.59;+50 01 33.4
1302;   ;22 12 24.31;+50 01 31.8;10; 14.9; 0.8;  6.3; 1.0;13.770; 0.970; 0;22 12 24.39;+50 01 31.8
1303;316;22 12 21.07;+50 02 01.5;10; 10.0; 1.1;  1.1; 0.8;11.000; 0.460; 0;22 12 21.15;+50 02 01.5
1304;   ;22 12 20.23;+50 02 26.8;  ;     ;    ;     ;    ;15.050; 0.800;  ;22 12 20.31;+50 02 26.8
1305;   ;22 12 23.16;+50 02 39.8; 8;  5.7; 2.2;  3.7; 1.4;14.090; 1.030; 0;22 12 23.24;+50 02 39.8
1306;   ;22 12 20.63;+50 02 57.7;  ;     ;    ;     ;    ;14.890; 0.700;  ;22 12 20.71;+50 02 57.7
1307;   ;22 12 22.61;+50 03 59.5;10; -6.4; 1.0; -4.4; 0.8;14.700; 0.630; 0;22 12 22.69;+50 03 59.5
1308;   ;22 12 15.02;+50 04 15.6;  ;     ;    ;     ;    ;13.970; 0.790;  ;22 12 15.10;+50 04 15.6
1309;   ;22 12 17.36;+50 03 20.6; 8;  5.2; 0.7;  0.8; 1.6;12.900; 1.370;71;22 12 17.44;+50 03 20.6
1310;   ;22 12 16.25;+50 02 26.0;  ;     ;    ;     ;    ;14.300; 0.620;  ;22 12 16.33;+50 02 26.0
1311;   ;22 12 14.57;+50 02 22.1;  ;     ;    ;     ;    ;14.860; 0.680;  ;22 12 14.65;+50 02 22.1
1312;   ;22 12 13.35;+50 02 51.9;  ;     ;    ;     ;    ;14.250; 1.390;  ;22 12 13.43;+50 02 51.9
1313;314;22 12 17.65;+50 01 07.2;10; -4.7; 1.6; -2.4; 0.7;13.560; 0.420; 0;22 12 17.73;+50 01 07.2
1314;   ;22 12 17.67;+50 00 13.4; 8;  4.5; 0.9;  1.0; 1.3;13.590; 1.490;88;22 12 17.75;+50 00 13.4
1315;   ;22 12 15.74;+49 59 13.2;  ;     ;    ;     ;    ;14.630; 1.020;  ;22 12 15.82;+49 59 13.2
1316;   ;22 12 13.33;+50 00 35.1;  ;     ;    ;     ;    ;15.160; 0.690;  ;22 12 13.41;+50 00 35.1
1317;   ;22 12 07.53;+50 01 00.0;10;  0.9; 0.8; -2.1; 0.8;13.770; 0.760;72;22 12 07.61;+50 01 00.0
1318;   ;22 12 04.06;+50 02 08.1; 8; -0.7; 2.2; -2.5; 2.0;14.720; 0.760; 4;22 12 04.14;+50 02 08.1
1319;182;22 12 02.01;+50 03 28.5;10;  5.3; 0.6;  4.7; 0.5;12.750; 0.440; 0;22 12 02.09;+50 03 28.5
1320;   ;22 11 57.68;+50 03 27.4;  ;     ;    ;     ;    ;15.160; 0.660;  ;22 11 57.76;+50 03 27.4
1321;   ;22 12 01.29;+50 00 16.3;  ;     ;    ;     ;    ;13.830; 1.610;  ;22 12 01.37;+50 00 16.3
1322;   ;22 11 52.02;+50 00 16.5;10; -3.3; 0.7; -3.5; 1.6;13.480; 0.640; 0;22 11 52.10;+50 00 16.5
1323;307;22 11 48.57;+50 00 07.8;10; -2.2; 0.9;  0.1; 0.8;12.020; 0.250; 0;22 11 48.65;+50 00 07.8
1324;305;22 11 42.85;+50 01 37.1;10; -1.1; 0.9;  3.4; 1.0; 9.750; 0.560; 0;22 11 42.93;+50 01 37.1
1325;   ;22 11 40.03;+50 02 58.0;  ;     ;    ;     ;    ;13.400; 0.820;  ;22 11 40.11;+50 02 58.0
1326;   ;22 11 39.50;+50 03 03.2;  ;     ;    ;     ;    ;13.290; 0.910;  ;22 11 39.58;+50 03 03.2
1327;   ;22 11 38.89;+50 00 07.9; 8; -9.6; 1.8; -0.9; 1.3;14.050; 0.800; 0;22 11 38.97;+50 00 07.9
1328;304;22 11 34.78;+49 59 39.3;10; -1.7; 0.9; -1.6; 0.6;11.980; 1.100; 1;22 11 34.86;+49 59 39.3
1329;   ;22 11 28.69;+50 01 40.4; 9;  6.0; 1.3;  6.4; 1.5;13.560; 0.890; 0;22 11 28.77;+50 01 40.4
1330;   ;22 11 29.06;+50 01 49.8;  ;     ;    ;     ;    ;13.000; 1.400;  ;22 11 29.14;+50 01 49.8
1331;   ;22 11 25.41;+50 02 36.6;10;  1.3; 1.0;  0.3; 0.7;14.200; 0.230;96;22 11 25.49;+50 02 36.6
1332;   ;22 11 25.18;+50 03 33.9;10;  2.7; 1.2; -1.3; 1.0;13.230; 0.580;96;22 11 25.26;+50 03 33.9
1333;   ;22 11 22.52;+50 04 09.6; 9;  5.4; 1.7; -6.6; 2.5;14.590; 0.840; 0;22 11 22.60;+50 04 09.6
1334;   ;22 11 22.27;+50 03 25.9; 9; -4.0; 1.5; -2.0; 1.1;14.000; 0.840; 0;22 11 22.35;+50 03 25.9
1335;   ;22 11 23.39;+50 03 04.3; 8; -1.9; 1.6;  0.4; 1.3;13.720; 0.870; 2;22 11 23.47;+50 03 04.3
1336;   ;22 11 23.28;+50 02 31.0;10; -0.5; 1.0;  0.9; 0.8;13.030; 1.330;49;22 11 23.36;+50 02 31.0
1337;302;22 11 22.79;+50 00 52.0;10; -2.9; 1.3; -0.6; 1.0;12.780; 0.610; 0;22 11 22.87;+50 00 52.0
1338;299;22 11 13.95;+50 01 12.0; 9;  0.2; 0.8; -0.1; 0.7;12.340; 0.430;84;22 11 14.03;+50 01 12.0
1339;   ;22 11 13.55;+50 00 37.0;10;  7.4; 1.2;  2.7; 0.9;13.170; 0.790; 0;22 11 13.63;+50 00 37.0
1340;   ;22 11 07.04;+49 59 58.6;10; -5.0; 0.8; -1.9; 1.0;12.180; 1.250; 0;22 11 07.12;+49 59 58.6
1341;   ;22 11 06.98;+50 00 12.4;  ;     ;    ;     ;    ;14.380; 0.950;  ;22 11 07.06;+50 00 12.4
1342;297;22 11 04.28;+50 01 02.2;10;  1.0; 1.0; -2.1; 0.6;10.560; 1.440;71;22 11 04.36;+50 01 02.2
1343;296;22 11 04.39;+50 01 59.0;10;-14.0; 0.8;-16.8; 0.4;10.130; 0.920; 0;22 11 04.47;+50 01 59.0
1344;   ;22 11 08.01;+50 03 08.5; 9; -3.3; 1.4;  1.2; 1.3;13.760; 1.290; 0;22 11 08.09;+50 03 08.5
1345;   ;22 11 01.73;+50 01 59.2;  ;     ;    ;     ;    ;14.680; 0.780;  ;22 11 01.81;+50 01 59.2
1346;   ;22 10 57.82;+50 00 59.2; 9; -4.5; 1.5; -0.9; 1.0;14.110; 0.540; 0;22 10 57.90;+50 00 59.2
1347;   ;22 11 01.02;+50 00 44.3;  ;     ;    ;     ;    ;14.810; 0.450;  ;22 11 01.10;+50 00 44.3
1348;   ;22 11 00.33;+49 59 42.2; 8;  2.9; 1.2; -1.2; 1.8;12.780; 1.570;96;22 11 00.41;+49 59 42.2
1349;   ;22 10 51.16;+50 01 35.0; 9;  3.3; 1.5; -1.5; 1.4;14.420; 0.680;93;22 10 51.24;+50 01 35.0
1350;   ;22 10 49.79;+50 02 53.7; 8; -5.6; 1.8; -0.2; 1.1;14.030; 0.850; 0;22 10 49.87;+50 02 53.7
1351;   ;22 10 47.55;+50 03 11.4; 9;-10.6; 1.9; -2.7; 1.3;14.170; 0.980; 0;22 10 47.63;+50 03 11.4
1352;   ;22 10 41.17;+50 01 45.1;10;  2.5; 1.1;  1.8; 0.9;12.970; 0.750;94;22 10 41.25;+50 01 45.1
1353;   ;22 10 38.58;+50 01 19.6; 7;  3.6; 1.5;-10.3; 1.9;14.280; 0.910; 0;22 10 38.66;+50 01 19.6
1354;   ;22 10 39.28;+50 00 23.9;  ;     ;    ;     ;    ;14.400; 0.760;  ;22 10 39.36;+50 00 23.9
1355;   ;22 10 35.30;+49 59 30.6; 8; -3.7; 1.3;  6.6; 2.0;13.800; 0.670; 0;22 10 35.38;+49 59 30.6
1356;   ;22 10 31.02;+50 00 48.2;10;  3.2; 1.1; -1.8; 1.2;13.190; 0.860;90;22 10 31.10;+50 00 48.2
1357;   ;22 10 30.65;+50 01 10.6;10;  0.0; 0.9; -0.7; 0.7;13.720; 0.810;73;22 10 30.73;+50 01 10.6
1358;169;22 10 40.90;+50 04 27.3;10; -6.6; 1.0; -3.8; 0.7;10.810; 1.210; 0;22 10 40.98;+50 04 27.3
1359;   ;22 10 42.84;+50 05 06.8;  ;     ;    ;     ;    ;14.100; 0.980;  ;22 10 42.92;+50 05 06.8
1360;   ;22 10 43.86;+50 05 20.6;10; -0.7; 0.9;  0.7; 1.0;12.960; 0.740;36;22 10 43.94;+50 05 20.6
1361;   ;22 10 33.20;+50 05 21.1;  ;     ;    ;     ;    ;14.420; 0.520;  ;22 10 33.28;+50 05 21.1
1362;   ;22 10 35.08;+50 07 19.4;10; -0.6; 0.9; -0.4; 1.1;12.630; 1.400;46;22 10 35.16;+50 07 19.4
1363;   ;22 10 36.08;+50 07 15.0;  ;     ;    ;     ;    ;13.740; 1.240;  ;22 10 36.16;+50 07 15.0
1364;   ;22 10 36.11;+50 08 24.2;10;  2.4; 1.3;  0.4; 1.0;13.130; 0.930;98;22 10 36.19;+50 08 24.2
1365;   ;22 10 35.35;+50 08 41.8;10;  1.9; 0.8;  1.7; 0.7;13.220; 1.060;94;22 10 35.43;+50 08 41.8
1366;   ;22 10 43.53;+50 08 00.9; 9;  1.6; 1.0; -5.5; 1.4;12.810; 1.610; 0;22 10 43.61;+50 08 00.9
1367;   ;22 10 45.74;+50 04 40.2;10;  6.4; 1.0;  9.9; 0.6;13.270; 1.070; 0;22 10 45.82;+50 04 40.2
1368;170;22 10 48.71;+50 04 44.7;10;  6.4; 1.5;  1.6; 1.1;12.160; 0.630; 4;22 10 48.79;+50 04 44.7
1369;   ;22 11 01.93;+50 04 31.2;10;  1.5; 0.9;  0.8; 1.1;14.270; 0.550;96;22 11 02.01;+50 04 31.2
1370;   ;22 11 04.14;+50 05 12.3;10;  9.6; 0.9;  0.0; 1.4;10.830; 1.650; 0;22 11 04.22;+50 05 12.3
1371;   ;22 11 06.43;+50 06 01.0; 7; -2.0; 0.6;  4.6; 1.2;14.690; 0.580; 0;22 11 06.51;+50 06 01.0
1372;   ;22 11 01.82;+50 06 27.2; 9; -4.0; 1.4; -0.6; 1.3;13.720; 1.350; 0;22 11 01.90;+50 06 27.2
1373;   ;22 11 03.12;+50 06 34.1;  ;     ;    ;     ;    ;13.500; 1.400;  ;22 11 03.20;+50 06 34.1
1374;   ;22 11 03.30;+50 07 48.7; 9; -2.2; 1.9; -6.0; 1.6;14.170; 0.960; 0;22 11 03.38;+50 07 48.7
1375;   ;22 11 09.94;+50 09 00.0; 8; -4.6; 1.6;  0.9; 0.7;12.060; 1.700; 0;22 11 10.02;+50 09 00.0
1376;   ;22 11 11.74;+50 08 03.8; 8;  3.6; 1.5; -5.2; 1.3;13.660; 1.200; 0;22 11 11.82;+50 08 03.8
1377;   ;22 11 11.46;+50 07 30.7;10; -2.6; 1.1; -4.8; 1.2;13.750; 1.190; 0;22 11 11.54;+50 07 30.7
1378;   ;22 11 10.64;+50 05 59.0; 8;  2.8; 1.4; -0.1; 1.0;13.310; 1.490;98;22 11 10.72;+50 05 59.0
1379;   ;22 11 12.90;+50 06 14.7;10; -2.8; 0.9; -2.9; 0.9;13.490; 0.880; 0;22 11 12.98;+50 06 14.7
1380;   ;22 11 21.20;+50 06 06.7;10; 32.1; 1.2;  4.6; 0.5;14.280; 0.870; 0;22 11 21.28;+50 06 06.7
1381;   ;22 11 16.95;+50 06 55.5; 8;-11.1; 1.5; -1.1; 2.0;14.240; 0.770; 0;22 11 17.03;+50 06 55.5
1382;   ;22 11 16.06;+50 07 56.7; 9;  7.7; 1.6;  8.2; 1.7;13.470; 0.900; 0;22 11 16.14;+50 07 56.7
1383;   ;22 11 18.89;+50 08 40.7; 8; -3.7; 1.4; -2.8; 1.4;13.720; 1.320; 0;22 11 18.97;+50 08 40.7
1384;   ;22 11 17.10;+50 09 06.8; 8;  2.4; 0.6;  0.1; 1.0;13.740; 0.730;98;22 11 17.18;+50 09 06.8
1385;   ;22 11 24.08;+50 08 56.2; 9; -3.9; 0.7; -1.5; 0.9;13.810; 0.910; 0;22 11 24.16;+50 08 56.2
1386;   ;22 11 30.47;+50 08 23.9;10;  2.0; 0.7;  1.5; 0.8;13.150; 1.120;95;22 11 30.55;+50 08 23.9
1387;   ;22 11 31.57;+50 07 41.8; 8; -5.1; 1.9; -4.3; 1.5;14.620; 0.700; 0;22 11 31.65;+50 07 41.8
1388;172;22 11 32.02;+50 06 30.5;10;  3.3; 0.8;  1.5; 1.0;12.880; 0.510;94;22 11 32.10;+50 06 30.5
1389;173;22 11 32.38;+50 04 24.0;10;  5.7; 1.2; -2.6; 0.7;12.380; 0.600; 4;22 11 32.46;+50 04 24.0
1390;174;22 11 35.11;+50 04 59.0;10;  4.7; 1.1;  4.7; 0.7;10.690; 0.350; 0;22 11 35.19;+50 04 59.0
1391;   ;22 11 43.36;+50 04 46.8; 9; -0.9; 1.4; -0.8; 0.7;13.170; 1.340;23;22 11 43.44;+50 04 46.8
1392;   ;22 11 41.87;+50 06 56.4;10;-17.5; 0.8;-10.6; 1.7;13.660; 0.820; 0;22 11 41.95;+50 06 56.4
1393;   ;22 11 40.13;+50 08 58.2;10;  2.6; 0.4;  2.5; 0.6;13.220; 0.790;82;22 11 40.21;+50 08 58.2
1394;   ;22 11 52.53;+50 08 48.5; 8;  3.3; 1.2;  3.5; 1.3;14.600; 0.760;27;22 11 52.61;+50 08 48.5
1395;   ;22 11 54.23;+50 06 44.8;10;  6.9; 1.4; 11.1; 0.5;13.760; 0.840; 0;22 11 54.31;+50 06 44.8
1396;180;22 11 56.58;+50 06 30.1;10; -3.0; 1.1; -1.7; 0.4;12.370; 0.450; 0;22 11 56.66;+50 06 30.1
1397;   ;22 11 57.45;+50 06 11.0; 9;  4.2; 1.4;  5.7; 0.6;12.750; 1.590; 0;22 11 57.53;+50 06 11.0
1398;178;22 11 55.82;+50 05 36.1;10;  0.0; 1.1;  1.9; 0.6;10.970; 0.130;48;22 11 55.90;+50 05 36.1
1399;   ;22 12 01.35;+50 04 42.1;10;  0.2; 1.1;  1.1; 1.1;13.800; 0.420;78;22 12 01.43;+50 04 42.1
1400;   ;22 12 02.90;+50 05 15.3;  ;     ;    ;     ;    ;14.650; 0.670;  ;22 12 02.98;+50 05 15.3
1401;   ;22 12 02.91;+50 08 42.0;  ;     ;    ;     ;    ;14.390; 0.640;  ;22 12 02.99;+50 08 42.0
1402;   ;22 12 08.09;+50 07 58.3; 9;  1.0; 1.4;  0.2; 1.1;13.000; 1.140;95;22 12 08.17;+50 07 58.3
1403;   ;22 12 07.60;+50 07 48.8;  ;     ;    ;     ;    ;14.250; 0.350;  ;22 12 07.68;+50 07 48.8
1404;   ;22 12 07.37;+50 07 21.7;10;  4.6; 1.0;  2.0; 0.8;13.420; 0.650;68;22 12 07.45;+50 07 21.7
1405;   ;22 12 04.04;+50 06 37.6;10; -3.6; 0.4; -4.5; 0.4;13.740; 1.390; 0;22 12 04.12;+50 06 37.6
1406;   ;22 12 05.44;+50 06 23.2;10; 21.3; 1.7; 19.8; 1.0;13.790; 0.980; 0;22 12 05.52;+50 06 23.2
1407;   ;22 12 07.21;+50 05 12.4;10; -1.0; 1.8; -2.0; 1.6;14.000; 0.650; 4;22 12 07.29;+50 05 12.4
1408;   ;22 12 30.54;+50 04 31.8; 8;  2.5; 1.1; -2.1; 0.8;14.430; 0.540;88;22 12 30.62;+50 04 31.8
1409;   ;22 12 26.92;+50 05 15.8;10;  1.5; 0.7;  0.2; 0.7;14.390; 0.430;97;22 12 27.00;+50 05 15.8
1410;185;22 12 27.47;+50 05 41.6;10; -0.7; 0.8; -1.8; 0.8;13.030; 0.300;13;22 12 27.55;+50 05 41.6
1411;   ;22 12 30.09;+50 05 46.9;10;-11.9; 0.9;-11.8; 0.8;13.300; 0.870; 0;22 12 30.17;+50 05 46.9
1412;189;22 12 34.76;+50 05 14.8; 9; 14.4; 1.1; -0.4; 0.5;10.800; 1.280; 0;22 12 34.84;+50 05 14.8
1413;   ;22 12 41.70;+50 04 38.0;10; -1.3; 1.8; -0.4; 0.8;13.570; 1.470;10;22 12 41.78;+50 04 38.0
1414;   ;22 12 33.42;+50 07 41.9; 9;  0.1; 0.9; -2.1; 1.4;13.890; 0.570;38;22 12 33.50;+50 07 41.9
1415;183;22 12 24.71;+50 09 22.7;10; -2.6; 0.9;  0.0; 0.6;12.000; 1.610; 0;22 12 24.79;+50 09 22.7
1416;   ;22 12 42.30;+50 09 19.8;10; -5.7; 1.1; -3.7; 1.0;13.350; 0.950; 0;22 12 42.38;+50 09 19.8
1417;   ;22 12 44.74;+50 06 53.3; 9; -1.9; 1.5; -1.8; 1.4;14.170; 0.930; 0;22 12 44.82;+50 06 53.3
1418;   ;22 12 49.36;+50 07 01.6;10;  1.3; 0.6;  0.6; 0.9;13.750; 0.610;96;22 12 49.44;+50 07 01.6
1419;   ;22 12 46.08;+50 06 08.1;10; -1.5; 0.9; -0.9; 0.8;13.940; 0.430; 5;22 12 46.16;+50 06 08.1
1420;   ;22 12 52.18;+50 05 37.6; 9;  6.1; 1.3; -2.2; 0.4;13.260; 0.920; 4;22 12 52.26;+50 05 37.6
1421;195;22 12 55.90;+50 05 18.6;10;-16.1; 1.1;-13.4; 0.5;11.620; 0.530; 0;22 12 55.98;+50 05 18.6
1422;   ;22 12 55.32;+50 08 22.1;10; -5.3; 1.7; -5.4; 1.0;14.150; 0.790; 0;22 12 55.40;+50 08 22.1
1423;196;22 12 57.42;+50 08 41.1;10;  4.8; 0.6;  0.0; 0.5;11.920; 1.940;85;22 12 57.50;+50 08 41.1
1424;   ;22 13 04.89;+50 08 31.4; 9; -4.1; 1.4; -0.1; 1.3;13.920; 0.980; 0;22 13 04.97;+50 08 31.4
1425;   ;22 13 04.02;+50 08 11.2; 8; -6.6; 1.5; -0.3; 1.0;14.650; 0.810; 0;22 13 04.10;+50 08 11.2
1426;   ;22 13 08.13;+50 07 30.1; 8;  6.3; 1.4;  6.6; 1.5;14.390; 0.910; 0;22 13 08.21;+50 07 30.1
1427;199;22 13 01.48;+50 07 06.4; 8;-92.6; 1.3;-61.2; 1.1;12.220; 1.020; 0;22 13 01.56;+50 07 06.4
1428;   ;22 13 03.53;+50 06 40.3;10; -3.5; 1.2; -2.6; 0.6;13.630; 0.930; 0;22 13 03.61;+50 06 40.3
1429;   ;22 13 08.68;+50 04 57.9;10;  8.6; 0.8;  0.0; 0.7;13.140; 0.890; 0;22 13 08.76;+50 04 57.9
1430;200;22 13 12.09;+50 05 27.3;10; -7.5; 0.5;  0.6; 0.7;13.300; 0.820; 0;22 13 12.17;+50 05 27.3
1431;   ;22 13 18.99;+50 05 18.0;10; -5.2; 1.1; -4.1; 1.2;13.720; 0.580; 0;22 13 19.07;+50 05 18.0
1432;   ;22 13 28.72;+50 06 36.2; 9; -2.3; 1.7; -1.3; 1.5;14.220; 0.850; 0;22 13 28.80;+50 06 36.2
1433;   ;22 13 33.43;+50 07 37.9; 8; -0.6; 1.4; -3.1; 1.8;14.840; 0.630; 2;22 13 33.51;+50 07 37.9
1434;   ;22 13 25.24;+50 09 16.9;  ;     ;    ;     ;    ;13.740; 1.100;  ;22 13 25.32;+50 09 16.9
1435;   ;22 13 37.42;+50 05 39.6;10;  4.0; 0.8; -0.7; 0.8;14.000; 0.880;94;22 13 37.50;+50 05 39.6
1437;   ;22 13 44.03;+50 05 26.6; 9;  0.3; 0.8;  4.2; 1.0;12.430; 1.070; 1;22 13 44.11;+50 05 26.6
