#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:19:44 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:19:44	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/159/246/table3&-order=I&-out=WOCS&-out=Xpos&-out=Ypos&-out=RAJ2000&-out=DEJ2000&-out=Umag&-out=Bmag&-out=Vmag&-out=Rmag&-out=Imag&-out=NU&-out=NB&-out=NV&-out=NR&-out=NI&-out=U-B&-out=U-V&-out=U-R&-out=U-I&-out=B-V&-out=B-R&-out=B-I&-out=V-R&-out=V-I&-out=R-I&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51590246
#Name: J/AJ/159/246
#Title: WIYN open cluster study. LXXX. Photometry of NGC 7142 (Sun+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/aj/159/246	    IVOID of underlying data collection
#INFO	creator=Sun Q.	    First author or institution
#INFO	cites=bibcode:2020AJ....159..246S	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/159/246	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51590246	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_159_246_table3:
#Name: J/AJ/159/246/table3
#Title: Photometry for stars in NGC 7142
#Column	WOCS	(I6)	[1001/429028] WOCS identifier (1)	[ucd=meta.id;meta.main]
#Column	Xpos	(F8.3)	[-74/4099] X coordinate	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos	(F8.3)	[2/4112] Y coordinate	[ucd=pos.cartesian.y;instr.det]
#Column	RAJ2000	(A11)	[21] Hour of right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	[65/66] Degree of declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Umag	(F6.3)	[10.6/20.4]? U magnitude ({lambda}~360nm)	[ucd=phot.mag;em.opt.U]
#Column	Bmag	(F6.3)	[10.6/22]? B magnitude ({lambda}~450nm)	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F6.3)	[10/21.8] V magnitude ({lamba}~555nm)	[ucd=phot.mag;em.opt.V]
#Column	Rmag	(F6.3)	[9.2/20.7]? R magnitude ({lambda}~660nm)	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F6.3)	[8.5/19.9]? I magnitude ({lambda}~0.87{mu}m)	[ucd=phot.mag;em.opt.I]
#Column	NU	(I2)	[0/10] Number of observation for U band	[ucd=meta.number]
#Column	NB	(I2)	[0/13] Number of observation for B band	[ucd=meta.number]
#Column	NV	(I2)	[1/13] Number of observation for V band	[ucd=meta.number]
#Column	NR	(I2)	[0/13] Number of observation for R band	[ucd=meta.number]
#Column	NI	(I2)	[0/13] Number of observation for I band	[ucd=meta.number]
#Column	U-B	(F6.3)	[-0.15/2.47]? U-B color	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	U-V	(F6.3)	[-0.09/4.61]? U-V color	[ucd=phot.color;em.opt.U;em.opt.V]
#Column	U-R	(F6.3)	[0.37/6.02]? U-R color	[ucd=phot.mag]
#Column	U-I	(F6.3)	[0.54/7.53]? U-I color	[ucd=phot.mag]
#Column	B-V	(F6.3)	[0.06/2.23]? B-V color	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	B-R	(F6.3)	[0.26/3.97]? B-R color	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	B-I	(F6.3)	[0.43/5.87]? B-I color	[ucd=phot.color;em.opt.B;em.opt.I]
#Column	V-R	(F6.3)	[0.07/4.01]? V-R color	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F6.3)	[0.24/6.84]? V-I color	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	R-I	(F6.3)	[0.09/2.84]? R-I color	[ucd=phot.color;em.opt.R;em.opt.I]
WOCS;Xpos;Ypos;RAJ2000;DEJ2000;Umag;Bmag;Vmag;Rmag;Imag;NU;NB;NV;NR;NI;U-B;U-V;U-R;U-I;B-V;B-R;B-I;V-R;V-I;R-I
190730;2442.079;  77.876;21 45 38.45;+65 32 30.1;      ;20.012;19.090;18.529;17.897; 0; 1; 3; 4; 1;      ;      ;      ;      ; 0.922; 1.483; 2.116; 0.561; 1.193; 0.633
 90013;1973.469;1196.942;21 45 07.56;+65 40 29.4;      ;20.170;19.091;18.467;17.754; 0; 1; 2; 5; 3;      ;      ;      ;      ; 1.079; 1.703; 2.416; 0.624; 1.337; 0.713
105010;1753.309;1436.398;21 44 52.64;+65 42 12.6;      ;20.068;19.092;18.601;17.955; 0; 1; 4; 5; 4;      ;      ;      ;      ; 0.977; 1.467; 2.113; 0.491; 1.137; 0.646
158022;3425.035;2591.738;21 46 49.67;+65 50 10.9;      ;20.085;19.092;18.467;17.820; 0; 2; 3; 5; 1;      ;      ;      ;      ; 0.993; 1.618; 2.265; 0.625; 1.273; 0.647
158027;1253.764;3726.206;21 44 20.22;+65 58 29.3;      ;20.598;19.092;18.136;17.255; 0; 1; 2; 6; 7;      ;      ;      ;      ; 1.506; 2.461; 3.343; 0.956; 1.837; 0.882
191730;  53.918;2791.983;21 42 56.17;+65 51 57.1;      ;20.059;19.092;18.509;17.884; 0; 3; 4; 4; 3;      ;      ;      ;      ; 0.967; 1.549; 2.174; 0.582; 1.208; 0.625
159027;2721.594; 399.948;21 45 58.02;+65 34 45.0;      ;20.008;19.093;18.532;17.941; 0; 1; 3; 4; 4;      ;      ;      ;      ; 0.915; 1.476; 2.067; 0.561; 1.153; 0.592
 59006;1984.486;2415.086;21 45 09.65;+65 49 07.5;      ;20.117;19.094;18.450;17.811; 0; 1; 6; 3; 2;      ;      ;      ;      ; 1.022; 1.667; 2.306; 0.645; 1.283; 0.639
123017; 884.271;2185.143;21 43 53.29;+65 47 35.9;      ;20.085;19.094;18.514;17.870; 0; 3; 4; 5; 4;      ;      ;      ;      ; 0.990; 1.570; 2.215; 0.580; 1.224; 0.644
124731; -53.813;2639.903;21 42 48.62;+65 50 52.7;      ;20.817;19.094;17.935;16.749; 0; 1; 1; 2; 1;      ;      ;      ;      ; 1.722; 2.882; 4.068; 1.159; 2.345; 1.186
122019; 709.576;1998.376;21 43 41.07;+65 46 17.2;      ;19.916;19.095;18.586;18.055; 0; 4; 3; 4; 3;      ;      ;      ;      ; 0.822; 1.331; 1.861; 0.509; 1.040; 0.531
123021;3127.074;1237.907;21 46 27.03;+65 40 37.9;      ;      ;19.095;18.422;17.757; 0; 0; 4; 5; 5;      ;      ;      ;      ;      ;      ;      ; 0.673; 1.339; 0.665
124021; 655.341;1677.618;21 43 37.09;+65 44 00.9;      ;20.181;19.095;18.495;17.881; 0; 2; 4; 4; 2;      ;      ;      ;      ; 1.086; 1.687; 2.301; 0.600; 1.214; 0.614
170026;1530.905; 355.057;21 44 36.28;+65 34 33.7;      ;20.072;19.095;18.508;17.915; 0; 1; 1; 5; 5;      ;      ;      ;      ; 0.978; 1.564; 2.157; 0.586; 1.180; 0.594
164024; 676.635;3074.058;21 43 39.57;+65 53 54.8;      ;20.173;19.096;18.438;17.750; 0; 1; 5; 4; 3;      ;      ;      ;      ; 1.077; 1.735; 2.423; 0.658; 1.346; 0.688
173028;  83.699;1836.015;21 42 57.70;+65 45 10.3;      ;20.120;19.097;18.516;17.914; 0; 1; 5; 4; 2;      ;      ;      ;      ; 1.022; 1.603; 2.206; 0.581; 1.183; 0.602
174028;3927.852;1879.707;21 47 23.25;+65 45 03.0;      ;20.125;19.097;18.457;17.810; 0; 1; 3; 5; 6;      ;      ;      ;      ; 1.028; 1.668; 2.315; 0.640; 1.287; 0.647
 70735; 121.680; 505.907;21 42 59.57;+65 35 43.7;      ;20.107;19.098;18.512;17.923; 0; 1; 4; 3; 2;      ;      ;      ;      ; 1.010; 1.595; 2.185; 0.585; 1.175; 0.590
 91013;2436.508;1303.202;21 45 39.57;+65 41 11.3;      ;      ;19.098;18.576;18.025; 0; 0; 5; 5; 3;      ;      ;      ;      ;      ;      ;      ; 0.522; 1.073; 0.551
192730; 507.391; 613.860;21 43 26.16;+65 36 28.5;      ;20.105;19.099;18.506;17.927; 0; 1; 2; 4; 2;      ;      ;      ;      ; 1.006; 1.599; 2.178; 0.592; 1.171; 0.579
121016; 914.680;2164.947;21 43 55.38;+65 47 27.1;      ;20.097;19.100;18.494;17.878; 0; 3; 3; 5; 4;      ;      ;      ;      ; 0.997; 1.603; 2.219; 0.606; 1.222; 0.616
124017;2252.689; 942.434;21 45 26.49;+65 38 39.2;      ;20.043;19.101;18.532;17.934; 0; 2; 1; 4; 4;      ;      ;      ;      ; 0.941; 1.510; 2.109; 0.569; 1.167; 0.598
159022;3138.416;1109.720;21 46 27.63;+65 39 43.3;      ;      ;19.101;18.302;17.567; 0; 0; 4; 3; 5;      ;      ;      ;      ;      ;      ;      ; 0.799; 1.534; 0.736
160027;1086.083; 477.991;21 44 05.84;+65 35 28.3;      ;20.118;19.101;18.493;17.895; 0; 2; 3; 4; 2;      ;      ;      ;      ; 1.017; 1.625; 2.222; 0.608; 1.205; 0.597
 26739;3767.312;4102.204;21 47 15.98;+66 00 50.3;      ;20.690;19.102;18.103;17.185; 0; 1; 3; 2; 1;      ;      ;      ;      ; 1.588; 2.587; 3.505; 0.999; 1.917; 0.918
161027;3805.554;1821.661;21 47 14.71;+65 44 39.6;      ;19.979;19.102;18.519;17.970; 0; 2; 3; 5; 3;      ;      ;      ;      ; 0.877; 1.460; 2.010; 0.583; 1.133; 0.550
 59736;4007.066; 566.656;21 47 26.39;+65 35 44.3;      ;20.156;19.103;18.446;17.770; 0; 2; 5; 5; 2;      ;      ;      ;      ; 1.053; 1.710; 2.386; 0.657; 1.333; 0.676
108733;  58.546; 849.894;21 42 55.41;+65 38 10.5;      ;20.095;19.103;18.518;17.911; 0; 1; 4; 5; 4;      ;      ;      ;      ; 0.991; 1.576; 2.183; 0.585; 1.192; 0.607
163023;1335.498;3508.394;21 44 25.71;+65 56 56.3;      ;20.714;19.104;17.758;16.206; 0; 1; 3; 6; 7;      ;      ;      ;      ; 1.610; 2.956; 4.509; 1.346; 2.899; 1.553
166025; 329.829;2561.947;21 43 15.16;+65 50 18.4;      ;20.441;19.104;18.351;17.625; 0; 1; 4; 6; 6;      ;      ;      ;      ; 1.337; 2.091; 2.817; 0.754; 1.479; 0.726
 95007;2396.010;1817.449;21 45 37.41;+65 44 50.3;      ;20.028;19.106;18.597;18.063; 0; 2; 2; 4; 3;      ;      ;      ;      ; 0.922; 1.431; 1.965; 0.509; 1.043; 0.534
123019;3145.881;1402.188;21 46 28.57;+65 41 47.6;      ;20.224;19.106;18.461;17.822; 0; 2; 4; 4; 6;      ;      ;      ;      ; 1.118; 1.763; 2.402; 0.645; 1.284; 0.639
139018;1467.441; 987.183;21 44 32.51;+65 39 03.1;      ;20.016;19.106;18.594;18.020; 0; 1; 3; 5; 6;      ;      ;      ;      ; 0.909; 1.422; 1.995; 0.512; 1.086; 0.574
106010;1332.389;1947.752;21 44 24.08;+65 45 52.6;      ;20.138;19.107;18.473;17.837; 0; 2; 4; 5; 3;      ;      ;      ;      ; 1.031; 1.665; 2.301; 0.634; 1.270; 0.635
 41003;1853.659;1968.855;21 45 00.12;+65 45 58.5;      ;20.098;19.109;18.510;17.959; 0; 1; 1; 2; 2;      ;      ;      ;      ; 0.988; 1.588; 2.138; 0.600; 1.150; 0.550
104011;1285.039;2188.665;21 44 21.02;+65 47 35.4;      ;      ;19.109;17.960;16.620; 0; 0; 4; 5; 8;      ;      ;      ;      ;      ;      ;      ; 1.149; 2.489; 1.340
175028; 422.596;3205.981;21 43 22.01;+65 54 51.8;      ;20.629;19.109;18.150;17.292; 0; 1; 4; 4; 6;      ;      ;      ;      ; 1.521; 2.479; 3.338; 0.958; 1.817; 0.859
209729; 317.505; 956.693;21 43 13.31;+65 38 55.2;      ;      ;19.110;18.178;17.287; 0; 0; 4; 4; 5;      ;      ;      ;      ;      ;      ;      ; 0.932; 1.823; 0.891
 92013;1113.329;1982.077;21 44 08.97;+65 46 08.4;      ;20.155;19.111;18.490;17.899; 0; 1; 4; 3; 3;      ;      ;      ;      ; 1.044; 1.665; 2.256; 0.621; 1.212; 0.591
107732;1117.613;4046.021;21 44 11.01;+66 00 45.9;      ;20.666;19.111;18.164;17.236; 0; 1; 3; 4; 3;      ;      ;      ;      ; 1.556; 2.502; 3.430; 0.946; 1.874; 0.928
162027;1026.719;3632.374;21 44 04.33;+65 57 50.6;      ;20.393;19.111;18.308;17.546; 0; 1; 3; 6; 4;      ;      ;      ;      ; 1.283; 2.085; 2.847; 0.803; 1.565; 0.762
165024;3438.524;2867.029;21 46 51.04;+65 52 07.9;      ;20.466;19.111;18.253;17.495; 0; 1; 3; 4; 4;      ;      ;      ;      ; 1.355; 2.213; 2.971; 0.858; 1.616; 0.758
122016;2950.718;2572.421;21 46 16.78;+65 50 07.0;      ;20.117;19.112;18.548;17.945; 0; 3; 5; 4; 4;      ;      ;      ;      ; 1.005; 1.569; 2.172; 0.564; 1.167; 0.603
163027;2003.513; 182.644;21 45 08.52;+65 33 17.6;      ;20.027;19.112;18.529;17.936; 0; 3; 4; 4; 3;      ;      ;      ;      ; 0.915; 1.497; 2.091; 0.583; 1.176; 0.594
193730; 683.654; 454.270;21 43 38.17;+65 35 19.9;      ;19.957;19.112;18.571;18.027; 0; 3; 3; 4; 3;      ;      ;      ;      ; 0.845; 1.386; 1.930; 0.541; 1.085; 0.544
 60006;2120.548;2456.865;21 45 19.12;+65 49 24.3;      ;      ;19.113;18.462;17.864; 0; 0; 4; 4; 4;      ;      ;      ;      ;      ;      ;      ; 0.651; 1.248; 0.598
 70734;3100.993;  26.688;21 46 23.49;+65 32 03.3;      ;20.417;19.113;18.342;17.615; 0; 2; 1; 5; 3;      ;      ;      ;      ; 1.304; 2.075; 2.802; 0.771; 1.498; 0.727
167025; 275.848;1825.474;21 43 10.97;+65 45 05.2;      ;20.010;19.113;18.554;17.998; 0; 2; 4; 4; 4;      ;      ;      ;      ; 0.898; 1.456; 2.013; 0.558; 1.115; 0.557
101014;1148.719;2478.704;21 44 11.84;+65 49 39.5;      ;20.367;19.114;18.395;17.734; 0; 2; 4; 4; 3;      ;      ;      ;      ; 1.253; 1.972; 2.633; 0.719; 1.381; 0.662
164023;3552.931;1835.378;21 46 57.30;+65 44 48.0;      ;20.394;19.114;18.304;17.496; 0; 1; 4; 4; 2;      ;      ;      ;      ; 1.281; 2.090; 2.899; 0.810; 1.618; 0.808
102014;2354.396;2955.666;21 45 35.93;+65 52 54.8;      ;20.220;19.115;18.456;17.821; 0; 2; 4; 3; 4;      ;      ;      ;      ; 1.105; 1.764; 2.399; 0.659; 1.295; 0.635
125021;1433.840;3387.217;21 44 32.44;+65 56 04.3;      ;20.614;19.115;18.076;17.110; 0; 1; 4; 5; 5;      ;      ;      ;      ; 1.499; 2.538; 3.504; 1.039; 2.005; 0.966
194730;1524.475;4085.078;21 44 39.42;+66 01 00.4;      ;20.785;19.115;18.132;17.213; 0; 1; 4; 5; 4;      ;      ;      ;      ; 1.670; 2.653; 3.572; 0.983; 1.902; 0.919
124019;2901.745;3017.540;21 46 14.01;+65 53 16.7;      ;20.784;19.116;18.029;16.999; 0; 1; 2; 5; 6;      ;      ;      ;      ; 1.668; 2.754; 3.785; 1.086; 2.117; 1.031
160022; 563.253;1558.913;21 43 30.65;+65 43 10.8;      ;20.328;19.116;18.405;17.692; 0; 2; 4; 4; 6;      ;      ;      ;      ; 1.212; 1.922; 2.636; 0.710; 1.423; 0.713
166024; 375.009;2329.675;21 43 18.15;+65 48 39.4;      ;20.414;19.116;18.313;17.543; 0; 2; 3; 4; 5;      ;      ;      ;      ; 1.298; 2.101; 2.871; 0.803; 1.574; 0.771
126021;2493.223; 699.464;21 45 42.73;+65 36 54.1;      ;20.054;19.117;18.566;17.971; 0; 1; 4; 3; 1;      ;      ;      ;      ; 0.937; 1.487; 2.082; 0.550; 1.145; 0.595
176028;3512.625;3297.150;21 46 56.88;+65 55 10.2;      ;20.456;19.117;18.229;17.443; 0; 1; 3; 6; 5;      ;      ;      ;      ; 1.339; 2.228; 3.014; 0.888; 1.675; 0.786
127021; 579.406;1838.565;21 43 31.96;+65 45 09.7;      ;20.397;19.118;18.289;17.573; 0; 2; 3; 6; 3;      ;      ;      ;      ; 1.279; 2.108; 2.824; 0.828; 1.545; 0.716
150020;3207.062;2729.914;21 46 34.77;+65 51 11.7;      ;20.165;19.120;18.472;17.847; 0; 2; 2; 4; 4;      ;      ;      ;      ; 1.045; 1.693; 2.317; 0.648; 1.272; 0.624
165023;3470.480;1553.332;21 46 51.16;+65 42 48.9;      ;20.136;19.120;18.559;17.944; 0; 2; 5; 4; 3;      ;      ;      ;      ; 1.016; 1.576; 2.192; 0.560; 1.176; 0.616
166023;3452.666;1500.381;21 46 49.85;+65 42 26.5;      ;20.363;19.121;18.380;17.654; 0; 3; 3; 4; 4;      ;      ;      ;      ; 1.242; 1.983; 2.709; 0.741; 1.467; 0.725
161022; 583.873;1500.986;21 43 32.03;+65 42 46.0;      ;20.368;19.122;18.356;17.655; 0; 2; 3; 5; 5;      ;      ;      ;      ; 1.246; 2.012; 2.713; 0.766; 1.466; 0.701
 93013;1140.074;2293.130;21 44 11.08;+65 48 20.6;      ;20.463;19.125;18.312;17.592; 0; 1; 4; 4; 3;      ;      ;      ;      ; 1.338; 2.151; 2.871; 0.813; 1.533; 0.720
109733;3783.807;3483.436;21 47 16.06;+65 56 26.7;      ;20.272;19.125;18.475;17.834; 0; 2; 4; 4; 3;      ;      ;      ;      ; 1.147; 1.797; 2.438; 0.650; 1.291; 0.641
 71734;3633.869; 423.066;21 47 00.58;+65 34 47.0;      ;20.747;19.127;18.041;16.928; 0; 1; 3; 5; 6;      ;      ;      ;      ; 1.620; 2.705; 3.819; 1.086; 2.199; 1.114
128021;2711.689;3308.562;21 46 01.20;+65 55 22.1;      ;20.277;19.128;18.437;17.750; 0; 1; 4; 4; 5;      ;      ;      ;      ; 1.149; 1.840; 2.528; 0.691; 1.378; 0.687
210729;1093.992; 277.015;21 44 06.22;+65 34 02.7;      ;20.643;19.128;17.950;16.736; 0; 1; 1; 4; 4;      ;      ;      ;      ; 1.515; 2.693; 3.907; 1.178; 2.391; 1.214
211729;3591.962; 850.252;21 46 58.39;+65 37 48.9;      ;20.404;19.128;18.253;17.507; 0; 1; 1; 3; 3;      ;      ;      ;      ; 1.276; 2.151; 2.897; 0.875; 1.621; 0.746
 72734;3938.053; 816.124;21 47 22.09;+65 37 31.0;      ;20.533;19.129;18.270;17.465; 0; 1; 3; 4; 5;      ;      ;      ;      ; 1.404; 2.263; 3.068; 0.859; 1.664; 0.805
123016; 886.800;1978.698;21 43 53.30;+65 46 08.0;      ;20.157;19.130;18.570;17.926; 0; 2; 3; 4; 5;      ;      ;      ;      ; 1.027; 1.587; 2.231; 0.560; 1.204; 0.644
129021;2300.452;3430.447;21 45 32.76;+65 56 17.1;      ;20.337;19.130;18.377;17.671; 0; 2; 4; 5; 4;      ;      ;      ;      ; 1.207; 1.960; 2.666; 0.753; 1.459; 0.706
162022;3205.513;2980.735;21 46 35.04;+65 52 58.4;      ;20.381;19.130;18.340;17.605; 0; 1; 4; 6; 5;      ;      ;      ;      ; 1.252; 2.041; 2.776; 0.789; 1.524; 0.735
167024; 586.948;1272.169;21 43 32.08;+65 41 08.6;      ;20.466;19.131;18.359;17.625; 0; 1; 3; 6; 5;      ;      ;      ;      ; 1.335; 2.107; 2.841; 0.772; 1.506; 0.734
177028;3823.347;1528.381;21 47 15.44;+65 42 34.8;      ;20.075;19.131;18.567;17.979; 0; 2; 3; 6; 5;      ;      ;      ;      ; 0.943; 1.508; 2.096; 0.564; 1.153; 0.589
 85012;2615.938;2613.998;21 45 53.63;+65 50 27.4;      ;      ;19.133;18.527;17.899; 0; 0; 4; 5; 4;      ;      ;      ;      ;      ;      ;      ; 0.606; 1.234; 0.628
125019;1228.849;3141.195;21 44 17.97;+65 54 20.8;      ;20.712;19.134;18.224;17.445; 0; 1; 3; 4; 4;      ;      ;      ;      ; 1.578; 2.488; 3.267; 0.910; 1.689; 0.779
164027;3621.768;3013.423;21 47 04.00;+65 53 08.4;      ;      ;19.134;18.525;17.872; 0; 0; 2; 4; 5;      ;      ;      ;      ;      ;      ;      ; 0.610; 1.262; 0.653
125017; 823.142;1912.541;21 43 48.85;+65 45 40.2;      ;20.744;19.135;18.108;17.159; 0; 1; 4; 4; 5;      ;      ;      ;      ; 1.609; 2.636; 3.586; 1.027; 1.977; 0.949
126019;1831.165;3344.826;21 45 00.02;+65 55 43.9;      ;20.092;19.135;18.529;17.928; 0; 1; 4; 5; 5;      ;      ;      ;      ; 0.957; 1.564; 2.164; 0.606; 1.207; 0.600
163022;2697.173;3431.134;21 46 00.36;+65 56 14.4;      ;      ;19.135;18.105;17.105; 0; 0; 3; 5; 6;      ;      ;      ;      ;      ;      ;      ; 1.030; 2.030; 1.000
178028; 374.468;1082.718;21 43 17.31;+65 39 48.7;      ;20.002;19.135;18.619;18.069; 0; 2; 2; 4; 3;      ;      ;      ;      ; 0.867; 1.383; 1.933; 0.517; 1.066; 0.550
 60736; 158.160; 362.180;21 43 01.99;+65 34 42.3;      ;20.083;19.136;18.506;17.915; 0; 1; 3; 3; 4;      ;      ;      ;      ; 0.947; 1.577; 2.168; 0.631; 1.221; 0.591
 73734;3606.423;3800.660;21 47 04.24;+65 58 43.5;      ;20.735;19.136;18.067;17.129; 0; 1; 3; 5; 6;      ;      ;      ;      ; 1.600; 2.668; 3.606; 1.068; 2.006; 0.938
 75008;2009.959;1546.114;21 45 10.46;+65 42 57.7;      ;      ;19.136;18.464;17.804; 0; 0; 4; 5; 5;      ;      ;      ;      ;      ;      ;      ; 0.672; 1.331; 0.660
168025; 522.693;1183.786;21 43 27.59;+65 40 31.2;      ;20.054;19.136;18.598;18.012; 0; 2; 3; 5; 3;      ;      ;      ;      ; 0.918; 1.456; 2.042; 0.538; 1.124; 0.586
130021;3338.724;2610.110;21 46 43.72;+65 50 19.5;      ;      ;19.137;18.604;18.040; 0; 0; 4; 5; 2;      ;      ;      ;      ;      ;      ;      ; 0.533; 1.097; 0.564
164022; 494.649;1933.437;21 43 26.16;+65 45 50.4;      ;20.482;19.137;18.399;17.749; 0; 1; 3; 4; 2;      ;      ;      ;      ; 1.345; 2.083; 2.732; 0.738; 1.388; 0.649
 76008;2466.720;1899.715;21 45 42.40;+65 45 24.8;      ;20.497;19.138;18.302;17.550; 0; 1; 4; 5; 3;      ;      ;      ;      ; 1.359; 2.195; 2.947; 0.835; 1.588; 0.752
112015;2153.814;1059.083;21 45 19.82;+65 39 29.5;      ;20.490;19.139;18.346;17.567; 0; 1; 5; 3; 5;      ;      ;      ;      ; 1.351; 2.144; 2.923; 0.793; 1.572; 0.779
171026;2361.917;3822.247;21 45 37.52;+65 59 03.3;      ;20.474;19.139;18.302;17.530; 0; 1; 4; 5; 5;      ;      ;      ;      ; 1.335; 2.172; 2.944; 0.837; 1.609; 0.772
110733;3084.540;4033.563;21 46 28.20;+66 00 27.5;      ;      ;19.141;18.432;17.665; 0; 0; 4; 3; 1;      ;      ;      ;      ;      ;      ;      ; 0.709; 1.477; 0.768
126017;3175.273;1973.474;21 46 31.44;+65 45 50.3;      ;      ;19.141;18.315;17.601; 0; 0; 2; 4; 4;      ;      ;      ;      ;      ;      ;      ; 0.825; 1.540; 0.715
169025;3074.298; 773.546;21 46 22.73;+65 37 21.0;      ;20.108;19.141;18.538;17.957; 0; 1; 4; 4; 3;      ;      ;      ;      ; 0.967; 1.570; 2.151; 0.603; 1.184; 0.580
167023;2862.216;3417.149;21 46 11.82;+65 56 07.1;      ;20.312;19.142;18.461;17.815; 0; 2; 4; 3; 4;      ;      ;      ;      ; 1.171; 1.851; 2.497; 0.680; 1.326; 0.646
172026;3575.455;1214.921;21 46 57.85;+65 40 24.0;      ;20.227;19.143;18.457;17.810; 0; 1; 4; 4; 3;      ;      ;      ;      ; 1.084; 1.770; 2.418; 0.686; 1.333; 0.648
 19740;3981.999; 113.519;21 47 23.88;+65 32 32.2;      ;      ;19.145;18.513;17.837; 0; 0; 1; 3; 2;      ;      ;      ;      ;      ;      ;      ; 0.632; 1.308; 0.676
165022;1868.929;3524.360;21 45 02.84;+65 57 00.0;      ;20.208;19.145;18.473;17.820; 0; 2; 3; 4; 4;      ;      ;      ;      ; 1.063; 1.735; 2.388; 0.672; 1.325; 0.653
170025;3069.705; 724.217;21 46 22.35;+65 37 00.1;      ;20.259;19.145;18.490;17.871; 0; 1; 4; 4; 5;      ;      ;      ;      ; 1.114; 1.769; 2.389; 0.655; 1.274; 0.619
 61006;2361.708;2098.471;21 45 35.39;+65 46 50.1;      ;20.439;19.146;18.526;17.905; 0; 1; 4; 4; 4;      ;      ;      ;      ; 1.292; 1.913; 2.534; 0.621; 1.241; 0.621
 44737;3779.971; 238.211;21 47 10.27;+65 33 27.1;      ;20.115;19.148;18.555;17.948; 0; 3; 3; 4; 3;      ;      ;      ;      ; 0.967; 1.559; 2.167; 0.592; 1.200; 0.608
127019;1497.314; 877.301;21 44 34.46;+65 38 16.2;      ;19.900;19.148;18.640;18.146; 0; 1; 3; 5; 4;      ;      ;      ;      ; 0.751; 1.260; 1.754; 0.509; 1.002; 0.494
165027; 536.022;3149.202;21 43 29.85;+65 54 27.3;      ;20.405;19.148;18.371;17.606; 0; 3; 4; 5; 5;      ;      ;      ;      ; 1.257; 2.034; 2.799; 0.777; 1.542; 0.765
168024; 540.761;2853.355;21 43 29.98;+65 52 21.5;      ;20.176;19.148;18.488;17.797; 0; 1; 2; 4; 3;      ;      ;      ;      ; 1.028; 1.688; 2.379; 0.660; 1.351; 0.691
128019;1933.280; 786.495;21 45 04.35;+65 37 35.0;      ;      ;19.149;18.597;18.034; 0; 0; 3; 6; 4;      ;      ;      ;      ;      ;      ;      ; 0.552; 1.115; 0.563
108732; 918.112; 133.617;21 43 54.03;+65 33 02.3;      ;20.417;19.150;18.433;17.766; 0; 1; 4; 5; 4;      ;      ;      ;      ; 1.267; 1.983; 2.651; 0.717; 1.384; 0.667
212729;2132.395;4063.683;21 45 21.80;+66 00 47.6;      ;20.567;19.152;18.287;17.460; 0; 1; 4; 5; 3;      ;      ;      ;      ; 1.415; 2.281; 3.107; 0.866; 1.692; 0.826
 62006;1975.909;1675.635;21 45 08.25;+65 43 53.0;      ;20.441;19.153;18.356;17.637; 0; 1; 4; 4; 5;      ;      ;      ;      ; 1.288; 2.084; 2.804; 0.796; 1.516; 0.719
109732;3929.705;3117.417;21 47 25.56;+65 53 49.5;      ;20.454;19.153;18.378;17.663; 0; 1; 3; 4; 5;      ;      ;      ;      ; 1.301; 2.076; 2.791; 0.775; 1.490; 0.715
195730;3995.439;1533.954;21 47 27.30;+65 42 35.4;      ;20.372;19.153;18.453;17.803; 0; 2; 2; 4; 1;      ;      ;      ;      ; 1.219; 1.919; 2.569; 0.700; 1.350; 0.650
