#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:38:48 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:38:48	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/374/504/table2&-order=I&-out=No&-out=Xpos&-out=Ypos&-out=Vmag&-out=e_Vmag&-out=B-V&-out=V-I&-out=U-B&-out=e_Imag&-out=e_Bmag&-out=e_Umag&-out=chi&-out=Sharp&-out=r&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33740504
#Name: J/A+A/374/504
#Title: UBVI photometry of NGC 7654 (Pandey+, 2001)
#INFO	ivoid=ivo://cds.vizier/j/a+a/374/504	    IVOID of underlying data collection
#INFO	creator=Pandey	    First author or institution
#INFO	cites=bibcode:2001A&A...374..504P	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2001	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/374/504	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33740504	    Dataset identifier that can be used for citation
#INFO	publication_date=2013-05-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_374_504_table2:
#Name: J/A+A/374/504/table2
#Title: UBVIc photometric data of the stars in the field of NGC 7654
#Column	No	(I6)	Identification number of the stars	[ucd=meta.id;meta.main]
#Column	Xpos	(F8.2)	Pixel coordinate (1)	[ucd=pos.frame]
#Column	Ypos	(F8.2)	Pixel coordinate (1)	[ucd=pos.frame]
#Column	Vmag	(F6.3)	Magnitude in the V (Johnson) band	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	Errors in the V (Johnson) band	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F7.3)	? B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-I	(F6.3)	? V-I (Cousins) colour index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	U-B	(F6.3)	? U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_Imag	(F6.3)	? Errors in the I (Cousins) band	[ucd=stat.error;phot.mag;em.opt.I]
#Column	e_Bmag	(F6.3)	? Errors in the B (Johnson) band	[ucd=stat.error;phot.mag;em.opt.B]
#Column	e_Umag	(F6.3)	? Errors in the U (Johnson) band	[ucd=stat.error;phot.mag;em.opt.U]
#Column	chi	(F6.3)	{chi} parameter in the V (Johnson) band (3)	[ucd=stat.error]
#Column	Sharp	(F6.3)	Sharpness parameter in the V (Johnson) band (2)	[ucd=stat.fit.param]
#Column	r	(F9.3)	Radial distance of the stars from the cluster center (X=855, Y=755)	[ucd=phys.angSize]
#Column	_RA	(F9.5)	Position computed from a comparison with UCAC4 (Cat. I/322) ({sigma}=0.2'') (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position computed from a comparison with UCAC4 (Cat. I/322) ({sigma}=0.2'') (declination part)	[ucd=pos.eq.dec;meta.main]
No;Xpos;Ypos;Vmag;e_Vmag;B-V;V-I;U-B;e_Imag;e_Bmag;e_Umag;chi;Sharp;r;_RA;_DE
  7063; 1197.42; 1188.41;16.247; 0.016;  1.211; 1.690; 0.479; 0.023; 0.050; 0.040; 0.600;-0.038;  552.356;350.83312;+61.74865
  7064;  880.42;  203.20;17.325; 0.026;  1.592; 2.214; 1.465; 0.021; 0.023; 0.500; 0.540;-0.057;  552.382;351.11729;+61.33907
  7065;  662.83;  237.08;19.145; 0.139;  1.236; 2.537;      ; 0.128; 0.049;      ; 0.580; 0.728;  552.424;351.30631;+61.35358
  7066;  743.69; 1296.19;19.792; 0.202;  1.547; 2.210;      ; 0.043; 0.153;      ; 0.460; 0.717;  552.519;351.23232;+61.79490
  7067; 1350.38;  510.27;19.626; 0.220;  1.023; 1.908;-0.023; 0.053; 0.079; 0.411; 0.630;-0.588;  552.534;350.70565;+61.46531
  7068; 1354.55;  518.90;17.090; 0.022;  1.013; 1.507; 0.326; 0.032; 0.026; 0.073; 0.590;-0.015;  552.534;350.70192;+61.46888
  7069;  904.79; 1305.30;20.038; 0.285;       ; 2.194;      ; 0.051;      ; 0.302; 0.520;-1.175;  552.547;351.09018;+61.79836
  7070; 1295.66; 1088.39;19.842; 0.213;  1.536; 2.271;      ; 0.040; 0.164;      ; 0.460;-0.935;  552.565;350.74762;+61.70652
  7071;  335.07;  567.85;16.327; 0.011;  0.799; 1.412; 0.507; 0.022; 0.014; 0.026; 0.530; 0.002;  552.593;351.59174;+61.49153
  7072;  926.07;  206.98;19.171; 0.105;  1.372; 2.074; 0.041; 0.055; 0.081; 0.375; 0.400; 0.223;  552.609;351.07760;+61.34053
  7073;  303.65;  792.36;19.439; 0.141;  1.808; 1.828;-0.427; 0.049; 0.140; 0.432; 0.400;-0.694;  552.618;351.61956;+61.58508
  7074;  568.59;  282.39;17.938; 0.042;  1.194; 1.476; 0.815; 0.041; 0.029; 0.269; 0.550;-0.112;  552.621;351.38819;+61.37255
  7075;  555.89; 1219.74;14.504; 0.006;  2.593; 3.842; 2.205; 0.025; 0.026; 0.211; 0.850;-0.083;  552.680;351.39805;+61.76324
  7076;  599.37; 1245.02;19.646; 0.178;  3.203; 1.631;      ; 0.078; 0.379;      ; 0.480; 0.308;  552.689;351.35969;+61.77375
  7077; 1016.31;  226.32;19.548; 0.217;  1.165; 2.347;      ; 0.046; 0.107;      ; 0.640; 0.196;  552.738;350.99904;+61.34833
  7078; 1376.52;  938.31;19.075; 0.114;  1.797; 1.562;      ; 0.067; 0.108;      ; 0.480; 0.362;  552.794;350.67817;+61.64357
  7079; 1366.39;  965.05;17.113; 0.030;  0.961; 1.576; 0.245; 0.016; 0.024; 0.052; 0.850; 0.276;  552.848;350.68676;+61.65476
  7080; 1292.12;  416.39;19.699; 0.185;  1.008; 1.947;-0.208; 0.071; 0.112; 0.379; 0.450;-0.009;  552.932;350.75741;+61.42646
  7081;  373.00;  483.89;19.622; 0.157;  1.619; 1.537;      ; 0.111; 0.176;      ; 0.410; 0.411;  553.011;351.55854;+61.45655
  7082;  656.71;  238.76;18.192; 0.048;  1.570; 2.311; 0.671; 0.059; 0.036; 0.421; 0.450;-0.189;  553.014;351.31163;+61.35428
  7083;  995.39;  220.10;19.014; 0.116;  1.369; 1.684;-0.082; 0.040; 0.059; 0.298; 0.570;-0.012;  553.022;351.01726;+61.34580
  7084;  313.00;  865.43;19.916; 0.179;  1.600; 1.065;      ; 0.182; 0.145;      ; 0.370; 0.203;  553.132;351.61148;+61.61554
  7085;  835.17; 1307.78;20.394; 0.328;  1.240; 2.031;-0.531; 0.092; 0.221; 0.532; 0.420; 0.533;  553.138;351.15158;+61.79955
  7086;  388.88;  456.94;19.673; 0.192;  1.133; 1.831;      ; 0.069; 0.074;      ; 0.500; 0.594;  553.271;351.54466;+61.44533
  7087;  352.10;  524.22;14.968; 0.006;  1.013; 1.309; 0.672; 0.023; 0.008; 0.016; 0.740; 0.019;  553.319;351.57681;+61.47335
  7088;  520.25;  314.42;14.088; 0.004;  0.447; 0.805;-0.178; 0.021; 0.005; 0.009; 0.620; 0.003;  553.330;351.43022;+61.38592
  7089; 1095.85;  256.79;18.499; 0.067;  1.351; 1.523; 0.293; 0.030; 0.047; 0.313; 0.520;-0.241;  553.378;350.92966;+61.36076
  7090;  485.09;  343.28;19.929; 0.253;  1.316; 1.966;-0.515; 0.090; 0.140; 0.401; 0.470;-0.282;  553.486;351.46081;+61.39796
  7091;  308.23;  841.07;19.340; 0.151;  1.314; 1.586;-0.219; 0.056; 0.076; 0.311; 0.560; 0.145;  553.498;351.61562;+61.60539
  7092; 1080.17;  249.37;15.982; 0.010;  1.053; 1.379; 0.564; 0.024; 0.014; 0.031; 0.670;-0.022;  553.502;350.94335;+61.35772
  7093;  357.85;  998.36;19.525; 0.189;  0.963; 2.015;      ; 0.076; 0.083;      ; 0.580;-0.605;  553.514;351.57230;+61.67098
  7094;  323.21;  908.89;18.610; 0.115;  2.058; 1.790; 0.047; 0.037; 0.081; 0.423; 0.520;-0.157;  553.611;351.60259;+61.63367
  7095; 1324.32; 1048.79;18.310; 0.061;  1.561; 1.812; 0.031; 0.038; 0.062; 0.169; 0.570; 0.267;  553.694;350.72283;+61.68988
  7096;  729.49; 1294.32;19.404; 0.162;  1.829; 1.952;-0.395; 0.046; 0.137; 0.299; 0.560;-0.898;  553.730;351.24485;+61.79414
  7097;  813.68;  202.81;17.765; 0.031;  1.067; 2.178; 0.194; 0.119; 0.021; 0.150; 0.410;-0.019;  553.731;351.17529;+61.33905
  7098;  402.41; 1074.30;18.614; 0.078;  0.903; 1.675; 0.438; 0.035; 0.034; 0.333; 0.560;-0.027;  553.886;351.53319;+61.70265
  7099;  301.12;  760.12;20.025; 0.228;  1.002; 1.959;-0.789; 0.072; 0.104; 0.250; 0.400;-0.083;  553.907;351.62172;+61.57164
  7100;  694.28;  224.91;19.378; 0.149;  0.931; 2.426;      ; 0.129; 0.067;      ; 0.480; 0.052;  553.915;351.27900;+61.34846
  7101;  301.60;  779.56;19.218; 0.138;  1.301; 1.536; 0.138; 0.049; 0.094; 0.415; 0.580; 0.241;  553.941;351.62133;+61.57974
  7102;  414.70; 1091.24;19.241; 0.130;  1.298; 1.812;      ; 0.040; 0.059;      ; 0.510; 0.271;  554.005;351.52239;+61.70971
  7103; 1371.97;  555.81;19.541; 0.139;  1.734; 1.847;      ; 0.067; 0.150;      ; 0.380; 0.351;  554.016;350.68632;+61.48418
  7104;  335.89;  948.64;15.398; 0.008;  0.681; 0.953; 0.462; 0.030; 0.020; 0.015; 0.830; 0.060;  554.046;351.59152;+61.65024
  7105;  810.18; 1307.34;19.720; 0.272;  1.354; 1.870;-0.607; 0.066; 0.141; 0.288; 0.740;-2.555;  554.153;351.17363;+61.79942
  7106;  935.69;  206.73;16.931; 0.033;  0.894; 1.504; 0.312; 0.022; 0.017; 0.039; 1.140; 0.091;  554.175;351.06924;+61.34040
  7107; 1408.68;  731.18;20.632; 0.511;  1.390; 2.315;-1.604; 0.097; 0.411; 0.211; 0.550; 1.905;  554.194;350.65229;+61.55707
  7108;  861.94;  200.78;19.423; 0.141;  1.303; 1.786;-0.336; 0.060; 0.093; 0.265; 0.450; 0.117;  554.260;351.13336;+61.33810
  7109;  838.37;  200.99;20.221; 0.294;  1.366; 3.103;-1.130; 0.148; 0.209; 0.296; 0.400; 0.404;  554.264;351.15385;+61.33824
  7110;  316.52;  886.82;20.730; 0.461;  0.485; 2.424;-1.099; 0.088; 0.145; 0.259; 0.430;-1.156;  554.376;351.60843;+61.62446
  7111;  782.31;  205.36;18.846; 0.110;  1.137; 2.893; 0.224; 0.162; 0.055; 0.247; 0.500; 0.359;  554.422;351.20255;+61.34017
  7112; 1338.51;  483.67;16.975; 0.018;  1.211; 1.581; 0.466; 0.019; 0.017; 0.094; 0.530;-0.040;  554.437;350.71628;+61.45428
  7113;  846.57;  200.61;19.144; 0.104;  0.953; 2.282; 0.512; 0.094; 0.058; 0.384; 0.410;-0.121;  554.455;351.14672;+61.33806
  7114;  300.67;  741.06;18.818; 0.092;  0.999; 1.624; 0.025; 0.069; 0.062; 0.177; 0.540; 0.362;  554.502;351.62208;+61.56370
  7115;  512.10;  319.21;17.707; 0.036;  1.706; 2.375; 0.361; 0.026; 0.033; 0.165; 0.530;-0.088;  554.519;351.43731;+61.38792
  7116;  349.59;  983.47;16.697; 0.012;  0.986; 1.314; 0.382; 0.025; 0.021; 0.043; 0.440;-0.065;  554.650;351.57954;+61.66477
  7117; 1027.60;  227.89;19.345; 0.154;  1.035; 1.973;      ; 0.045; 0.070;      ; 0.540;-0.979;  554.650;350.98921;+61.34894
  7118; 1347.54; 1010.11;20.176; 0.309;  0.571; 2.516;-0.437; 0.055; 0.096; 0.363; 0.490;-1.639;  554.688;350.70283;+61.67364
  7119; 1362.43;  979.13;18.634; 0.117;  1.216; 1.809; 0.546; 0.053; 0.055; 0.371; 0.880; 0.665;  554.725;350.69009;+61.66065
  7120;  468.80; 1153.38;16.046; 0.019;  1.138; 1.514; 0.707; 0.028; 0.025; 0.053; 1.250; 0.190;  554.849;351.47480;+61.73562
  7121;  999.07;  219.13;19.388; 0.140;  1.225; 1.851;      ; 0.068; 0.070;      ; 0.460;-0.052;  554.903;351.01407;+61.34538
  7122;  606.54; 1251.18;17.737; 0.041;  1.066; 1.757; 0.535; 0.041; 0.035; 0.174; 0.670; 0.074;  554.909;351.35336;+61.77631
  7123; 1383.83;  586.84;18.582; 0.079;  1.930; 2.751;-0.350; 0.018; 0.046; 0.216; 0.530; 0.011;  554.923;350.67562;+61.49705
  7124;  304.64;  826.20;18.424; 0.071;  0.955; 1.374; 0.169; 0.042; 0.028; 0.173; 0.630;-0.302;  554.941;351.61875;+61.59919
  7125;  320.31;  904.05;20.064; 0.209;  0.947; 1.730;      ; 0.116; 0.118;      ; 0.330;-0.015;  555.075;351.60513;+61.63165
  7126;  967.46;  211.37;19.169; 0.140;  0.688; 1.519;      ; 0.064; 0.043;      ; 0.620;-0.973;  555.136;351.04160;+61.34224
  7127;  362.36; 1010.90;16.984; 0.021;  1.115; 1.544; 0.684; 0.020; 0.023; 0.124; 0.620;-0.009;  555.142;351.56835;+61.67621
  7128; 1172.30;  299.32;18.880; 0.080;  0.920; 1.925; 0.698; 0.036; 0.041; 0.493; 0.400; 0.213;  555.271;350.86282;+61.37819
  7129;  353.10;  992.57;18.657; 0.083;  1.172; 1.608; 0.523; 0.060; 0.049; 0.373; 0.540; 0.370;  555.283;351.57646;+61.66856
  7130; 1253.59; 1141.62;18.754; 0.072;  1.574; 1.771; 0.041; 0.038; 0.062; 0.278; 0.420; 0.259;  555.292;350.78411;+61.72890
  7131;  489.51;  336.94;14.334; 0.006;  0.561; 0.900;-0.044; 0.022; 0.006; 0.009; 0.910;-0.008;  555.302;351.45697;+61.39532
  7132;  686.56; 1284.14;17.376; 0.029;  1.111; 1.889; 0.439; 0.024; 0.027; 0.099; 0.610;-0.132;  555.304;351.28274;+61.78996
  7133; 1247.10; 1148.23;20.749; 0.423;  0.774; 2.808;      ; 0.078; 0.174;      ; 0.350;-0.375;  555.309;350.78975;+61.73168
  7134;  312.04;  638.50;19.371; 0.144;  1.494; 1.523;-0.612; 0.055; 0.105; 0.217; 0.510;-0.364;  555.316;351.61196;+61.52096
  7135;  522.83;  309.98;20.328; 0.322;  1.161; 2.235;-1.436; 0.097; 0.263; 0.222; 0.420;-1.153;  555.323;351.42798;+61.38407
  7136;  868.25; 1310.22;18.582; 0.094;  1.377; 1.809;-0.043; 0.032; 0.054; 0.234; 0.720; 0.661;  555.374;351.12239;+61.80050
  7137;  421.28; 1101.97;17.186; 0.024;  0.868; 1.122; 0.587; 0.035; 0.025; 0.083; 0.640;-0.071;  555.429;351.51661;+61.71419
  7138; 1033.41; 1281.10;20.460; 0.335;  1.013; 2.686;      ; 0.067; 0.399;      ; 0.370;-0.154;  555.527;350.97690;+61.78789
  7139;  890.59;  200.50;19.436; 0.153;  0.937; 1.554; 0.009; 0.096; 0.069; 0.314; 0.450;-0.426;  555.642;351.10847;+61.33792
  7140; 1201.35;  320.50;18.716; 0.083;  1.941; 2.316;-0.138; 0.035; 0.068; 0.304; 0.500;-0.149;  555.648;350.83736;+61.38690
  7141;  299.37;  765.39;18.944; 0.092;  1.220; 1.971;      ; 0.043; 0.043;      ; 0.460;-0.445;  555.730;351.62326;+61.57384
  7142; 1402.60;  849.82;19.886; 0.229;  2.581; 1.593;      ; 0.093; 0.426;      ; 0.510;-1.055;  555.746;350.65628;+61.60655
  7143; 1318.56; 1061.59;20.044; 0.223;  0.636; 1.811;-0.237; 0.148; 0.075; 0.339; 0.390;-1.270;  555.778;350.72776;+61.69524
  7144; 1045.80;  232.99;16.820; 0.015;  0.921; 1.375; 0.661; 0.020; 0.016; 0.079; 0.480; 0.030;  555.784;350.97336;+61.35101
  7145;  669.29; 1278.85;19.805; 0.188;  1.999; 1.722;-1.090; 0.088; 0.164; 0.260; 0.430; 0.632;  555.795;351.29798;+61.78778
  7146;  486.10; 1170.76;16.444; 0.012;  1.930; 2.292; 1.239; 0.020; 0.032; 0.234; 0.530;-0.079;  555.829;351.45956;+61.74286
  7147;  300.01;  723.65;17.819; 0.047;  1.755; 2.325;      ; 0.031; 0.033;      ; 0.660; 0.249;  555.878;351.62263;+61.55644
  7148; 1144.87;  280.68;18.081; 0.051;  1.089; 1.571; 0.194; 0.038; 0.025; 0.136; 0.590;-0.020;  555.881;350.88684;+61.37053
  7149;  426.30;  400.88;18.840; 0.116;  1.118; 1.686;-0.330; 0.063; 0.064; 0.122; 0.700;-0.355;  556.045;351.51202;+61.42197
  7150;  637.78;  243.09;17.925; 0.037;  1.059; 1.706; 0.463; 0.046; 0.020; 0.162; 0.460;-0.164;  556.089;351.32808;+61.35611
  7151; 1059.70;  237.84;18.845; 0.106;  1.643; 1.951;-0.198; 0.041; 0.067; 0.286; 0.610;-0.059;  556.202;350.96124;+61.35299
  7152; 1086.74;  249.28;16.375; 0.012;  0.786; 1.313; 0.709; 0.018; 0.012; 0.047; 0.540; 0.044;  556.283;350.93764;+61.35766
  7153; 1406.07;  678.82;20.091; 0.313;  1.711; 1.987;-1.431; 0.074; 0.227; 0.179; 0.570;-0.098;  556.311;350.65516;+61.53526
  7154;  724.21;  214.23;16.424; 0.016;  0.883; 1.249; 0.300; 0.037; 0.014; 0.030; 0.810; 0.012;  556.357;351.25302;+61.34397
  7155; 1409.36;  707.79;19.599; 0.210;  2.631; 1.623;      ; 0.066; 0.272;      ; 0.640;-0.654;  556.372;350.65196;+61.54732
  7156;  787.16;  202.76;18.968; 0.129;  2.205; 2.698;      ; 0.164; 0.168;      ; 0.470; 0.331;  556.393;351.19834;+61.33908
  7157;  585.00;  268.45;18.917; 0.128;  1.269; 1.539;      ; 0.125; 0.153;      ; 0.620;-0.774;  556.449;351.37394;+61.36673
  7158; 1162.44;  291.16;17.840; 0.032;  0.868; 1.278; 0.810; 0.037; 0.020; 0.158; 0.450;-0.098;  556.481;350.87147;+61.37483
  7159;  545.31;  292.59;19.689; 0.213;  0.957; 1.836;-0.495; 0.088; 0.091; 0.238; 0.560;-0.364;  556.534;351.40843;+61.37681
  7160;  596.24;  262.15;18.640; 0.076;  1.028; 1.402; 0.056; 0.066; 0.037; 0.171; 0.510;-0.172;  556.650;351.36417;+61.36409
  7161; 1271.40;  385.40;16.018; 0.011;  1.410; 1.832; 0.910; 0.021; 0.016; 0.054; 0.690;-0.079;  556.763;350.77576;+61.41364
  7162; 1139.11;  276.18;18.384; 0.069;  0.712; 1.488; 0.468; 0.034; 0.020; 0.197; 0.630;-0.344;  556.768;350.89189;+61.36868
  7163; 1375.06;  954.14;20.066; 0.282;  1.508; 1.990;      ; 0.079; 0.216;      ; 0.500;-1.385;  556.879;350.67927;+61.65017
  7164;  300.77;  809.81;19.388; 0.106;  1.672; 1.493;-0.435; 0.077; 0.116; 0.217; 0.330;-0.050;  556.932;351.62211;+61.59235
  7165;  317.22;  899.94;19.052; 0.126;  1.071; 1.668; 0.179; 0.042; 0.057; 0.294; 0.590;-0.716;  556.973;351.60783;+61.62993
  7166;  602.56; 1251.49;18.756; 0.108;  1.230; 1.677; 0.011; 0.129; 0.100; 0.195; 0.650; 0.647;  556.977;351.35687;+61.77644
  7167;  366.05;  488.23;17.958; 0.036;  1.012; 1.296; 0.270; 0.032; 0.023; 0.125; 0.430;-0.097;  556.992;351.56460;+61.45836
  7168; 1407.77;  823.59;19.888; 0.243;       ; 2.424;      ; 0.059;      ; 0.435; 0.500;-1.395;  557.006;350.65204;+61.59559
  7169;  818.25;  199.20;18.277; 0.061;  1.053; 2.252; 0.225; 0.104; 0.025; 0.199; 0.540; 0.038;  557.010;351.17134;+61.33754
  7170;  525.54; 1204.13;18.379; 0.067;  2.049; 2.402;      ; 0.025; 0.067;      ; 0.560; 0.078;  557.016;351.42480;+61.75675
  7171; 1383.78;  930.35;16.144; 0.010;  0.973; 1.396; 0.434; 0.022; 0.030; 0.029; 0.580;-0.052;  557.092;350.67188;+61.64021
  7172; 1295.36;  413.71;19.481; 0.180;  0.856; 2.046;-0.201; 0.051; 0.074; 0.287; 0.570; 0.032;  557.126;350.75461;+61.42533
  7173; 1411.77;  775.91;20.808; 0.502;  1.363; 2.766;      ; 0.064; 0.433;      ; 0.410;-1.426;  557.167;350.64908;+61.57570
  7174; 1181.96; 1206.23;18.550; 0.068;  1.026; 1.622;      ; 0.038; 0.050;      ; 0.510;-0.196;  557.233;350.84658;+61.75614
  7175;  641.90;  240.11;19.820; 0.227;  2.291; 2.562;-1.492; 0.170; 0.292; 0.229; 0.470;-1.150;  557.248;351.32450;+61.35486
  7176;  708.05;  217.47;17.013; 0.020;  0.969; 1.431; 0.465; 0.027; 0.021; 0.066; 0.550;-0.107;  557.255;351.26705;+61.34534
  7177;  733.01; 1298.75;19.934; 0.252;  1.420; 2.341;      ; 0.047; 0.156;      ; 0.510;-0.202;  557.264;351.24173;+61.79598
  7178;  692.34; 1288.01;17.881; 0.037;  1.357; 1.828; 0.465; 0.027; 0.033; 0.171; 0.480;-0.042;  557.272;351.27763;+61.79157
  7179; 1409.23;  696.54;18.938; 0.120;  1.389; 2.125;      ; 0.056; 0.071;      ; 0.640; 0.665;  557.303;350.65220;+61.54263
  7180; 1403.63;  657.04;18.073; 0.060;  1.182; 1.963; 0.218; 0.033; 0.033; 0.173; 0.720; 0.012;  557.310;350.65754;+61.52620
  7181;  431.25; 1117.11;19.711; 0.216;  0.834; 1.691;      ; 0.067; 0.081;      ; 0.560;-0.834;  557.392;351.50784;+61.72050
  7182;  305.12;  846.20;19.188; 0.136;  2.051; 1.460;      ; 0.055; 0.106;      ; 0.590;-0.463;  557.394;351.61836;+61.60752
  7183;  564.10; 1230.51;20.299; 0.328;  1.586; 1.813;-0.709; 0.147; 0.179; 0.395; 0.480;-0.463;  557.428;351.39080;+61.76773
  7184; 1342.05; 1026.21;19.527; 0.196;  1.730; 2.550;-0.761; 0.033; 0.120; 0.261; 0.580;-0.129;  557.467;350.70749;+61.68038
  7185;  530.11;  301.94;20.024; 0.283;       ; 1.825;      ; 0.128;      ;      ; 0.540;-1.439;  557.515;351.42165;+61.38072
  7186; 1101.04; 1255.32;19.871; 0.211;  2.383; 2.005;      ; 0.045; 0.279;      ; 0.450;-0.238;  557.541;350.91747;+61.77691
  7187; 1348.80; 1013.95;19.137; 0.128;  1.608; 1.939;-0.007; 0.032; 0.090; 0.422; 0.560;-0.458;  557.577;350.70169;+61.67523
  7188; 1191.89;  310.67;19.800; 0.254;  1.409; 1.422;      ; 0.108; 0.108;      ; 0.650;-0.559;  557.608;350.84568;+61.38284
  7189;  473.97; 1162.14;20.747; 0.526;       ; 2.235;      ; 0.104;      ; 0.202; 0.490;-0.816;  557.625;351.47024;+61.73927
  7190; 1402.67;  649.60;19.945; 0.222;  0.861; 2.673;-0.413; 0.092; 0.099; 0.305; 0.410;-0.936;  557.724;350.65846;+61.52310
  7191;  495.89; 1181.73;17.607; 0.029;  1.154; 1.920; 0.884; 0.028; 0.023; 0.172; 0.480;-0.089;  557.725;351.45093;+61.74743
  7192; 1392.72;  606.97;17.259; 0.038;  0.857; 1.568; 0.654; 0.060; 0.025; 0.094; 0.990; 0.210;  557.728;350.66764;+61.50539
  7193; 1013.61;  220.22;16.880; 0.020;  1.078; 1.551; 0.514; 0.021; 0.024; 0.070; 0.670; 0.044;  557.804;351.00143;+61.34579
  7194; 1299.85; 1091.77;18.069; 0.038;  1.298; 1.919; 1.018; 0.023; 0.037; 0.398; 0.400;-0.063;  557.950;350.74390;+61.70791
  7195;  748.89;  207.21;18.147; 0.056;  1.192; 1.403; 0.493; 0.060; 0.030; 0.262; 0.620;-0.065;  557.977;351.23159;+61.34100
  7196;  630.63; 1265.91;17.241; 0.022;  1.010; 1.612; 0.364; 0.022; 0.031; 0.108; 0.390; 0.012;  558.005;351.33210;+61.78243
  7197; 1355.56; 1001.67;17.177; 0.021;  1.181; 1.548; 0.614; 0.021; 0.028; 0.100; 0.510;-0.011;  558.041;350.69588;+61.67008
  7198; 1230.52; 1167.90;18.560; 0.067;  1.252; 1.985;-0.001; 0.031; 0.058; 0.177; 0.470;-0.287;  558.117;350.80416;+61.73996
  7199; 1394.64;  612.55;19.212; 0.122;  1.595; 1.897;      ; 0.098; 0.103;      ; 0.450; 0.167;  558.121;350.66590;+61.50771
  7200;  849.11;  196.90;19.896; 0.277;  2.526; 2.695;-1.660; 0.090; 0.309; 0.233; 0.560;-0.708;  558.135;351.14453;+61.33651
  7201; 1379.70;  945.47;16.190; 0.011;  0.762; 1.085; 0.298; 0.022; 0.030; 0.023; 0.600; 0.031;  558.203;350.67530;+61.64654
  7202;  331.27;  561.86;19.541; 0.183;  1.149; 2.119;      ; 0.044; 0.096;      ; 0.540;-0.968;  558.203;351.59505;+61.48903
  7203;  996.27; 1295.06;20.114; 0.392;  1.945; 2.298;-1.242; 0.064; 0.286; 0.368; 0.730;-0.796;  558.227;351.00956;+61.79383
  7204;  578.22;  270.18;11.948; 0.011;  0.419; 0.783; 0.004; 0.034; 0.010; 0.008; 2.910; 0.193;  558.264;351.37983;+61.36745
  7205;  399.98;  431.37;19.623; 0.185;  1.330; 1.939;-1.148; 0.068; 0.120; 0.167; 0.480; 0.511;  558.374;351.53497;+61.43467
  7206;  798.43; 1310.73;20.203; 0.308;  1.869; 2.359;      ; 0.056; 0.258;      ; 0.470;-1.239;  558.601;351.18398;+61.80086
  7207; 1326.18;  454.87;20.148; 0.288;  1.267; 2.223;-0.741; 0.058; 0.156; 0.372; 0.460;-0.904;  558.643;350.72733;+61.44234
  7208;  766.55; 1306.63;20.449; 0.436;       ; 2.504;      ; 0.073;      ;      ; 0.550;-1.808;  558.677;351.21211;+61.79921
  7209; 1176.83;  298.32;18.693; 0.068;  1.151; 1.574;      ; 0.034; 0.048;      ; 0.430; 0.138;  558.688;350.85889;+61.37776
  7210;  875.52; 1313.37;19.467; 0.162;  1.965; 1.404;-0.211; 0.132; 0.155; 0.543; 0.410;-0.633;  558.744;351.11596;+61.80179
  7211;  830.48;  196.79;19.838; 0.206;  1.471; 2.918;-0.956; 0.155; 0.143; 0.239; 0.400;-0.569;  558.749;351.16072;+61.33651
  7212; 1333.31;  466.14;15.131; 0.011;  1.570; 1.934; 1.046; 0.025; 0.016; 0.041; 1.220;-0.072;  558.768;350.72100;+61.44700
  7213;  590.26;  262.87;16.744; 0.030;  1.033; 1.417; 0.413; 0.031; 0.026; 0.077; 1.190; 0.228;  558.820;351.36937;+61.36440
  7214; 1186.06; 1205.22;19.499; 0.214;  1.897; 2.056;      ; 0.045; 0.146;      ; 0.700;-1.030;  558.834;350.84298;+61.75570
  7215; 1407.05;  841.94;19.354; 0.158;  1.616; 2.875;-0.778; 0.037; 0.096; 0.225; 0.520; 0.049;  558.852;350.65247;+61.60324
  7216;  804.72; 1311.78;17.713; 0.046;  2.063; 2.534;      ; 0.024; 0.044;      ; 0.710; 0.127;  559.046;351.17842;+61.80128
