#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T08:33:09 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T08:33:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/466/3636/tablea1&-order=I&-out=More&-out=ID&-out=RAICRS&-out=DEICRS&-out=Vmag&-out=e_Vmag&-out=b-y&-out=e_b-y&-out=m1&-out=e_m1&-out=c1&-out=e_c1&-out=beta&-out=e_beta&-out=Member&-out=IPHAS&-out=2MASS&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74663636
#Name: J/MNRAS/466/3636
#Title: The young open cluster NGC 7067 (Monguio+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/mnras/466/3636	    IVOID of underlying data collection
#INFO	creator=Monguio M.	    First author or institution
#INFO	cites=bibcode:2017MNRAS.466.3636M	    Article or Data origin sources
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/466/3636	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74663636	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2000.000:	ICRS
#Table	J_MNRAS_466_3636_tablea1:
#Name: J/MNRAS/466/3636/tablea1
#Title: Coordinates and photometric indexes
#Column	More	(A1)	indicates parameters for B stars or physical parameters for hot stars	[ucd=meta.ref.url]
#Column	ID	(I4)	ID number	[ucd=meta.id;meta.main]
#Column	RAICRS	(A10)	Right ascension (ICRS, Epoch=J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(A9)	Declination (ICRS, Epoch=J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	Magnitude in Johnson V	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F5.2)	Error in V magnitude	[ucd=stat.error;phot.mag;em.opt.V]
#Column	b-y	(F5.2)	b-y color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_b-y	(F5.2)	Error in b-y color index	[ucd=stat.error;phot.color;em.opt.B]
#Column	m1	(F6.2)	m1 index	[ucd=phot.color]
#Column	e_m1	(F5.2)	Error in m1 index	[ucd=stat.error]
#Column	c1	(F6.2)	? c1 index	[ucd=phot.color]
#Column	e_c1	(F5.2)	? Error in c1 index	[ucd=stat.error]
#Column	beta	(F5.2)	? beta index	[ucd=phot.color]
#Column	e_beta	(F5.2)	? Error in beta	[ucd=stat.error]
#Column	Member	(I1)	[0/1] 1 for member	[ucd=meta.code.member]
#Column	IPHAS	(A19)	IPHAS ID (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id]
#Column	2MASS	(A16)	2MASS ID (HHMMSSss+DDMMSSs)	[ucd=meta.id]
More;ID;RAICRS;DEICRS;Vmag;e_Vmag;b-y;e_b-y;m1;e_m1;c1;e_c1;beta;e_beta;Member;IPHAS;2MASS
 ; 874;21 23 27.4;+48 02 34;10.91; 0.10; 0.85; 0.09; -0.31; 0.21;  0.75; 0.09;     ;     ;0;                   ;21232742+4802336
*; 875;21 23 27.4;+48 02 25;15.53; 0.01; 0.85; 0.01; -0.01; 0.02;  0.97; 0.02; 2.76; 0.01;0;J212327.37+480224.5;21232737+4802244
*; 876;21 23 26.9;+47 59 12;16.26; 0.01; 0.87; 0.01; -0.03; 0.01;  0.80; 0.03; 2.74; 0.00;0;J212326.90+475912.1;21232689+4759121
 ; 877;21 23 26.8;+47 54 19;15.89; 0.01; 0.89; 0.03; -0.04; 0.03;  0.72; 0.02; 2.68; 0.00;0;J212326.74+475418.9;21232674+4754188
*; 878;21 23 26.6;+47 55 06;14.11; 0.01; 0.66; 0.01;  0.04; 0.01;  0.99; 0.01; 2.83; 0.00;0;J212326.58+475505.8;21232658+4755058
*; 879;21 23 24.0;+48 02 59;16.32; 0.01; 0.75; 0.01; -0.03; 0.01;  1.05; 0.01; 2.89; 0.02;0;J212323.97+480258.7;21232396+4802587
*; 880;21 23 23.5;+48 03 43;16.17; 0.01; 0.86; 0.00; -0.12; 0.01;  0.80; 0.01; 2.76; 0.01;1;J212323.55+480342.8;21232355+4803426
*; 881;21 23 23.3;+47 56 31;15.86; 0.00; 0.65; 0.01;  0.02; 0.01;  0.95; 0.02; 2.82; 0.00;0;J212323.33+475630.7;21232333+4756306
*; 882;21 23 23.1;+48 01 44;16.01; 0.01; 0.80; 0.02; -0.07; 0.02;  1.19; 0.01; 2.91; 0.02;0;J212323.10+480143.5;21232310+4801434
*; 883;21 23 23.0;+47 55 32;15.94; 0.02; 0.64; 0.02;  0.01; 0.03;  1.13; 0.01; 2.90; 0.00;0;J212322.98+475531.5;21232298+4755315
*; 884;21 23 22.7;+47 59 31;15.07; 0.01; 0.69; 0.01; -0.03; 0.00;  1.34; 0.01; 2.88; 0.00;0;J212322.71+475931.0;21232271+4759310
*; 885;21 23 22.7;+47 56 53;14.87; 0.01; 0.54; 0.02;  0.02; 0.02;  1.08; 0.06; 2.93; 0.01;0;J212322.65+475653.3;21232265+4756533
 ; 886;21 23 22.4;+47 57 20;14.85; 0.01; 0.62; 0.01;  0.08; 0.01;  0.41; 0.00; 2.64; 0.00;0;J212322.43+475719.9;21232243+4757199
 ; 887;21 23 22.3;+48 03 13;14.56; 0.01; 1.21; 0.01;  0.05; 0.01;  0.58; 0.02; 2.60; 0.01;0;J212322.28+480313.3;21232227+4803132
*; 888;21 23 21.9;+47 58 52;15.10; 0.00; 0.66; 0.01; -0.14; 0.01;  0.38; 0.00; 2.71; 0.01;1;J212321.85+475851.9;21232186+4758519
*; 889;21 23 21.4;+48 02 52;16.24; 0.01; 0.68; 0.01; -0.04; 0.02;  1.25; 0.01; 2.97; 0.01;0;J212321.43+480252.1;21232142+4802521
 ; 890;21 23 21.0;+48 02 18;13.97; 0.00; 0.70; 0.01; -0.01; 0.01;  0.53; 0.01; 2.65; 0.00;0;J212321.03+480218.0;21232102+4802180
*; 891;21 23 20.5;+48 02 21;14.76; 0.01; 0.85; 0.01; -0.07; 0.01;  1.18; 0.01; 2.88; 0.01;0;J212320.53+480220.9;21232052+4802208
 ; 892;21 23 20.4;+47 56 57;16.04; 0.01; 0.78; 0.01; -0.03; 0.01;  0.56; 0.03; 2.67; 0.00;0;J212320.36+475657.4;21232035+4756573
 ; 893;21 23 20.2;+47 56 54;16.09; 0.01; 0.79; 0.01; -0.01; 0.01;  0.52; 0.03; 2.66; 0.00;0;J212320.20+475653.5;21232021+4756535
 ; 894;21 23 19.9;+48 00 49;13.41; 0.00; 0.70; 0.01;  0.45; 0.01;  0.33; 0.00; 2.53; 0.00;0;J212319.95+480048.9;21231994+4800489
 ; 895;21 23 19.8;+47 58 27;16.23; 0.01; 0.81; 0.01;  0.00; 0.01;  0.51; 0.01; 2.65; 0.01;0;J212319.82+475827.1;21231983+4758272
 ; 896;21 23 19.7;+47 55 33;16.14; 0.07; 0.79; 0.08;  0.05; 0.11;  0.59; 0.04; 2.67; 0.06;0;J212319.69+475533.4;21231968+4755333
*; 897;21 23 19.5;+48 04 01;15.75; 0.02; 0.64; 0.03; -0.09; 0.06;  1.25; 0.03; 2.90; 0.03;0;J212319.54+480401.4;21231953+4804014
 ; 898;21 23 19.2;+47 58 51;14.01; 0.01; 0.64; 0.01;  0.43; 0.01;  0.31; 0.01; 2.52; 0.00;0;J212319.19+475850.8;21231917+4758508
 ; 899;21 23 19.0;+47 56 19;15.20; 0.01; 0.66; 0.01;  0.25; 0.01;  0.34; 0.01; 2.56; 0.00;0;J212318.94+475618.8;21231894+4756189
 ; 900;21 23 18.9;+47 59 31;15.12; 0.00; 1.23; 0.00;  0.16; 0.01;  0.56; 0.01; 2.59; 0.00;0;J212318.91+475930.4;21231891+4759305
 ; 901;21 23 18.9;+47 58 24;13.24; 0.01; 0.43; 0.01;  0.09; 0.01;  0.46; 0.01; 2.67; 0.00;0;J212318.85+475823.7;21231885+4758237
*; 902;21 23 18.8;+47 59 07;15.47; 0.01; 0.62; 0.01;  0.04; 0.01;  1.03; 0.00; 2.88; 0.00;0;J212318.79+475906.7;21231880+4759067
 ; 903;21 23 18.4;+47 54 47;15.46; 0.01; 1.25; 0.01;  0.16; 0.02;  0.51; 0.02; 2.59; 0.01;0;J212318.34+475446.4;21231834+4754464
*; 904;21 23 18.4;+47 57 24;14.84; 0.01; 0.73; 0.01; -0.01; 0.01;  1.25; 0.01; 2.87; 0.00;0;J212318.33+475723.5;21231833+4757235
*; 905;21 23 18.4;+47 59 34;15.37; 0.01; 0.74; 0.01; -0.02; 0.01;  1.04; 0.01; 2.81; 0.00;0;J212318.36+475933.5;21231836+4759334
 ; 906;21 23 18.1;+47 55 12;14.16; 0.01; 1.44; 0.01;  0.45; 0.01;  0.40; 0.01; 2.60; 0.00;0;J212318.02+475512.2;21231802+4755123
 ; 907;21 23 17.3;+47 54 23;15.87; 0.02; 0.80; 0.00; -0.01; 0.03;  0.58; 0.02; 2.71; 0.00;0;J212317.23+475422.6;21231723+4754225
 ; 908;21 23 16.5;+47 54 55;16.20; 0.01; 0.76; 0.01;  0.01; 0.02;  0.54; 0.01; 2.67; 0.00;0;J212316.45+475455.2;21231645+4754551
 ; 909;21 23 16.0;+48 04 04; 8.42; 0.03; 0.64; 0.08;  0.27; 0.11;      ;     ;11.15; 0.21;0;J212316.05+480404.5;21231595+4804044
 ; 910;21 23 14.5;+47 55 38;13.64; 0.03; 1.12; 0.01;  0.20; 0.01;  0.53; 0.01; 2.58; 0.00;0;J212314.41+475537.7;21231441+4755376
*; 911;21 23 14.2;+47 59 02;16.44; 0.01; 0.72; 0.01;  0.01; 0.01;  1.06; 0.01; 2.85; 0.01;0;J212314.24+475902.2;21231424+4759020
*; 912;21 23 13.5;+48 03 36;13.37; 0.01; 0.64; 0.01; -0.07; 0.01;  1.24; 0.00; 2.91; 0.00;0;J212313.54+480336.2;21231354+4803362
*; 913;21 23 12.6;+48 00 44;14.97; 0.01; 0.85; 0.00; -0.05; 0.00;  1.29; 0.01; 2.92; 0.00;0;J212312.61+480043.8;21231261+4800437
*; 914;21 23 10.3;+47 55 06;15.78; 0.02; 0.60; 0.01;  0.07; 0.03;  0.89; 0.03; 2.83; 0.01;0;J212310.26+475506.2;
*; 915;21 23 10.3;+47 55 03;15.68; 0.02; 0.69; 0.01;  0.02; 0.03;  0.72; 0.01; 2.75; 0.01;0;J212310.23+475503.0;21231023+4755035
 ; 916;21 23 09.4;+48 03 09;15.29; 0.01; 0.77; 0.01;  0.05; 0.00;  0.41; 0.01; 2.58; 0.01;0;J212309.39+480308.7;21230938+4803086
*; 917;21 23 08.4;+47 57 46;14.72; 0.01; 0.45; 0.01;  0.06; 0.02;  0.82; 0.01; 2.81; 0.00;0;J212308.38+475745.9;21230838+4757458
*; 918;21 23 08.4;+48 00 52;16.43; 0.01; 0.97; 0.01; -0.23; 0.03;  0.49; 0.02; 2.68; 0.01;1;J212308.43+480051.9;21230841+4800520
*; 919;21 23 07.9;+48 03 33;16.21; 0.01; 0.91; 0.01; -0.12; 0.01;  0.78; 0.04; 2.71; 0.02;0;J212307.94+480332.6;21230794+4803326
 ; 920;21 23 07.7;+48 05 05;13.87; 0.00; 0.54; 0.01;  0.06; 0.01;  0.41; 0.01; 2.60; 0.00;0;J212307.71+480505.3;21230770+4805052
*; 921;21 23 07.4;+47 57 33;15.79; 0.01; 0.66; 0.01;  0.02; 0.03;  1.22; 0.01; 2.91; 0.00;0;J212307.39+475732.6;21230739+4757326
 ; 922;21 23 07.1;+47 55 05;15.12; 0.02; 1.02; 0.02;  0.20; 0.03;  0.44; 0.02; 2.58; 0.01;0;J212306.98+475504.7;21230698+4755047
*; 923;21 23 06.7;+48 04 44;16.40; 0.01; 0.80; 0.00; -0.10; 0.01;  1.12; 0.02; 2.84; 0.00;0;J212306.65+480444.0;21230665+4804440
 ; 924;21 23 06.5;+47 55 45;16.33; 0.01; 0.82; 0.01;  0.00; 0.04;  0.58; 0.01; 2.65; 0.01;0;J212306.37+475545.1;21230637+4755450
 ; 925;21 23 06.4;+47 55 02;15.46; 0.01; 0.79; 0.01;  0.04; 0.02;  0.56; 0.01; 2.64; 0.01;0;J212306.33+475501.4;21230633+4755014
 ; 926;21 23 05.0;+48 05 19;15.47; 0.01; 1.35; 0.01; -0.07; 0.01;  0.65; 0.02; 2.60; 0.00;0;J212304.97+480519.1;21230497+4805191
 ; 927;21 23 02.7;+48 02 45;13.94; 0.01; 1.55; 0.02;  0.22; 0.02;  0.55; 0.02; 2.60; 0.00;0;J212302.70+480244.8;21230268+4802447
*; 928;21 23 02.6;+48 04 31;12.43; 0.01; 0.68; 0.01; -0.15; 0.01;  0.93; 0.00; 2.75; 0.00;0;J212302.59+480431.0;21230258+4804309
*; 929;21 23 02.5;+47 59 14;14.90; 0.01; 0.68; 0.00; -0.06; 0.02;  1.01; 0.02; 2.82; 0.00;0;J212302.44+475913.8;21230244+4759138
 ; 930;21 23 01.5;+48 00 10;15.23; 0.01; 0.77; 0.01;  0.05; 0.02;  0.44; 0.02; 2.60; 0.00;0;J212301.51+480009.4;21230152+4800092
*; 931;21 25 14.9;+47 59 54;16.88; 0.01; 0.91; 0.01; -0.24; 0.01;  0.92; 0.02; 2.75; 0.01;1;J212514.87+475953.3;21251487+4759532
 ; 932;21 25 12.7;+48 05 04;16.49; 0.01; 0.80; 0.01; -0.03; 0.02;  0.68; 0.03; 2.69; 0.01;0;J212512.70+480504.0;21251269+4805038
*; 933;21 25 12.8;+47 54 33;16.30; 0.01; 0.74; 0.02; -0.03; 0.02;  1.04; 0.02; 2.81; 0.00;0;J212512.70+475432.9;21251268+4754328
 ; 934;21 25 12.4;+48 00 54;16.48; 0.01; 0.86; 0.01; -0.06; 0.01;  0.65; 0.01; 2.68; 0.01;0;J212512.38+480053.7;21251237+4800537
 ; 935;21 25 11.1;+47 59 57;16.61; 0.01; 0.89; 0.01; -0.07; 0.02;  0.71; 0.02; 2.69; 0.01;0;J212511.07+475956.7;21251107+4759567
*; 936;21 25 11.0;+48 03 48;16.91; 0.01; 0.69; 0.01;  0.00; 0.02;  1.12; 0.02; 2.95; 0.01;1;J212510.98+480347.7;21251096+4803476
 ; 937;21 25 09.8;+47 56 47;16.87; 0.01; 1.00; 0.01; -0.06; 0.01;  0.81; 0.01; 2.72; 0.01;0;J212509.79+475646.4;21250978+4756462
*; 938;21 25 09.6;+47 59 48;16.60; 0.01; 0.90; 0.01; -0.12; 0.02;  0.59; 0.02; 2.65; 0.01;0;J212509.57+475947.1;21250957+4759471
 ; 939;21 25 09.3;+48 01 32;16.94; 0.01; 0.99; 0.01; -0.08; 0.01;  0.54; 0.01; 2.62; 0.00;0;J212509.33+480132.1;21250932+4801320
 ; 940;21 25 09.0;+48 00 44;16.95; 0.02; 0.89; 0.02; -0.06; 0.03;  0.65; 0.04; 2.68; 0.01;0;J212509.02+480044.0;21250901+4800439
 ; 941;21 25 07.9;+48 03 34;17.14; 0.01; 0.92; 0.01; -0.04; 0.01;  0.56; 0.02; 2.63; 0.01;0;J212507.84+480334.4;21250783+4803343
*; 942;21 25 06.2;+48 01 18;16.82; 0.01; 0.87; 0.01; -0.06; 0.01;  0.62; 0.01; 2.71; 0.01;0;J212506.17+480117.7;21250616+4801177
*; 943;21 24 58.3;+48 04 10;16.51; 0.01; 0.62; 0.01;  0.03; 0.01;  0.87; 0.01; 2.78; 0.01;0;J212458.33+480409.6;21245834+4804095
 ; 944;21 24 56.8;+48 02 32;16.49; 0.01; 0.90; 0.01; -0.03; 0.02;  0.56; 0.03; 2.65; 0.01;0;J212456.81+480232.1;21245679+4802320
 ; 945;21 24 56.8;+48 03 54;16.61; 0.01; 0.81; 0.01; -0.02; 0.01;  0.60; 0.02; 2.65; 0.01;0;J212456.74+480354.1;21245674+4803540
 ; 946;21 24 55.2;+48 00 53;16.48; 0.01; 0.86; 0.01; -0.06; 0.02;  0.58; 0.02; 2.67; 0.01;0;J212455.23+480053.2;21245521+4800531
 ; 947;21 24 53.9;+48 04 17;17.01; 0.01; 0.79; 0.01; -0.02; 0.02;  0.64; 0.01; 2.70; 0.01;0;J212453.93+480416.7;21245393+4804168
 ; 948;21 24 52.3;+47 54 37;16.87; 0.01; 0.95; 0.01; -0.02; 0.02;  0.65; 0.02; 2.63; 0.00;0;J212452.22+475436.5;21245225+4754365
*; 949;21 24 50.9;+48 02 51;16.73; 0.01; 0.70; 0.01;  0.06; 0.01;  0.90; 0.02; 2.83; 0.01;0;J212450.90+480251.1;21245089+4802510
*; 950;21 24 48.0;+47 55 40;16.74; 0.01; 0.88; 0.01; -0.04; 0.01;  0.97; 0.01; 2.79; 0.01;0;J212447.96+475539.3;21244796+4755393
*; 951;21 24 47.6;+47 56 51;16.80; 0.01; 1.01; 0.05; -0.20; 0.13;  0.82; 0.17; 2.72; 0.02;1;J212447.57+475651.3;21244759+4756512
 ; 952;21 24 47.5;+48 05 19;17.07; 0.18; 0.75; 0.23;  0.17; 0.25;  0.48; 0.02; 2.60; 0.03;0;J212447.45+480518.4;21244745+4805184
*; 953;21 24 46.7;+48 01 24;16.55; 0.01; 0.68; 0.01;  0.02; 0.01;  1.09; 0.02; 2.87; 0.01;0;J212446.73+480123.5;21244671+4801234
 ; 954;21 24 45.9;+48 04 29;16.65; 0.01; 0.88; 0.01; -0.04; 0.02;  0.71; 0.01; 2.66; 0.01;0;J212445.83+480429.0;21244583+4804289
 ; 955;21 24 44.6;+48 04 57;16.94; 0.01; 0.94; 0.01; -0.01; 0.02;  0.61; 0.02; 2.63; 0.01;0;J212444.55+480456.6;21244457+4804565
*; 956;21 24 44.1;+48 03 50;16.50; 0.01; 0.84; 0.01; -0.04; 0.01;  0.71; 0.01; 2.72; 0.01;0;J212444.11+480349.7;21244412+4803497
*; 957;21 24 44.0;+47 58 37;16.62; 0.01; 0.81; 0.01; -0.04; 0.01;  0.97; 0.02; 2.80; 0.01;0;J212444.04+475836.3;21244404+4758363
 ; 958;21 24 43.7;+48 01 19;16.80; 0.01; 0.78; 0.01;  0.40; 0.02;  0.35; 0.02; 2.54; 0.01;0;J212443.69+480119.3;21244370+4801193
*; 959;21 24 42.7;+47 55 06;17.62; 0.10; 0.79; 0.02; -0.31; 0.03; -0.25; 0.09; 1.74; 0.06;0;J212442.70+475505.9;21244271+4755058
*; 960;21 24 41.9;+48 02 26;16.84; 0.01; 0.84; 0.02; -0.05; 0.03;  0.85; 0.03; 2.73; 0.02;0;J212441.90+480225.6;
*; 961;21 24 41.4;+48 01 41;16.57; 0.02; 0.82; 0.01; -0.02; 0.01;  1.07; 0.02; 2.82; 0.01;0;J212441.37+480140.7;21244138+4801407
 ; 962;21 24 41.1;+47 54 30;17.01; 0.01; 0.89; 0.01; -0.01; 0.02;  0.55; 0.04; 2.66; 0.01;0;J212441.08+475430.1;21244109+4754300
*; 963;21 24 41.0;+48 02 54;15.74; 0.01; 0.71; 0.01;  0.01; 0.01;  1.23; 0.01; 2.87; 0.01;0;J212440.97+480253.5;21244097+4802535
*; 964;21 24 40.9;+48 01 59;16.60; 0.01; 0.81; 0.01;  0.02; 0.01;  0.92; 0.01; 2.81; 0.01;0;J212440.83+480159.1;21244084+4801591
*; 965;21 24 39.2;+47 55 11;16.64; 0.01; 0.83; 0.01; -0.03; 0.01;  0.74; 0.04; 2.73; 0.01;0;J212439.15+475510.6;21243917+4755104
*; 966;21 24 37.9;+48 00 56;16.50; 0.01; 0.68; 0.01; -0.09; 0.01;  0.60; 0.01; 2.77; 0.01;1;J212437.87+480055.9;21243788+4800559
*; 967;21 24 35.0;+48 03 20;16.68; 0.01; 0.68; 0.00;  0.07; 0.02;  1.27; 0.17; 2.93; 0.01;0;J212435.02+480319.8;21243503+4803198
*; 968;21 24 34.0;+48 00 52;15.66; 0.01; 0.62; 0.01; -0.11; 0.01;  0.54; 0.01; 2.72; 0.01;1;J212434.02+480051.3;21243403+4800513
*; 969;21 24 32.0;+48 01 19;17.14; 0.01; 0.70; 0.01; -0.09; 0.02;  0.83; 0.03; 2.80; 0.02;1;J212431.96+480119.1;21243189+4801179
 ; 970;21 24 31.7;+47 58 37;17.24; 0.01; 0.83; 0.01; -0.01; 0.02;  0.47; 0.03; 2.61; 0.02;0;J212431.69+475837.0;21243168+4758369
 ; 971;21 24 31.3;+48 04 01;17.16; 0.02; 0.91; 0.06; -0.12; 0.13;  0.68; 0.12; 2.65; 0.03;0;J212431.31+480400.6;21243131+4804006
 ; 972;21 24 30.4;+48 04 29;16.64; 0.01; 0.94; 0.01;  0.02; 0.01;  0.47; 0.01; 2.58; 0.01;0;J212430.36+480428.9;21243036+4804289
 ; 973;21 24 29.0;+47 57 25;16.34; 0.01; 0.68; 0.01;  0.02; 0.01;  0.62; 0.01; 2.70; 0.01;0;J212428.94+475724.5;21242894+4757244
 ; 974;21 24 28.9;+47 56 54;16.82; 0.04; 0.92; 0.02;  0.01; 0.01;  0.50; 0.01; 2.62; 0.02;0;J212428.88+475653.5;21242888+4756536
*; 975;21 24 28.8;+48 05 11;16.90; 0.01; 0.68; 0.00; -0.04; 0.01;  0.93; 0.01; 2.84; 0.01;1;J212428.75+480510.7;21242875+4805106
 ; 976;21 24 28.4;+48 05 13;16.75; 0.01; 0.80; 0.00;  0.02; 0.01;  0.53; 0.02; 2.64; 0.01;0;J212428.38+480512.9;21242837+4805128
 ; 977;21 24 27.8;+47 57 12;16.80; 0.02; 0.76; 0.02;  0.01; 0.02;  0.55; 0.02; 2.67; 0.01;0;J212427.81+475711.6;
 ; 978;21 24 25.7;+48 04 21;17.20; 0.01; 0.86; 0.01;  0.00; 0.02;  0.49; 0.02; 2.64; 0.01;0;J212425.64+480421.3;21242564+4804213
 ; 979;21 24 25.1;+47 57 57;17.16; 0.01; 0.81; 0.02; -0.01; 0.03;  0.55; 0.02; 2.67; 0.01;0;J212425.10+475757.1;21242510+4757571
*; 980;21 24 24.6;+47 59 55;17.09; 0.00; 0.54; 0.01;  0.00; 0.01;  1.06; 0.03; 2.92; 0.01;1;J212424.57+475954.4;21242458+4759543
*; 981;21 24 24.4;+47 59 38;16.91; 0.01; 0.52; 0.01;  0.11; 0.02;  1.05; 0.02; 2.92; 0.01;1;J212424.42+475938.2;21242442+4759380
*; 982;21 24 24.0;+47 56 17;17.09; 0.01; 0.73; 0.01;  0.04; 0.02;  0.73; 0.03; 2.75; 0.01;0;J212423.97+475616.4;21242396+4756164
 ; 983;21 24 23.0;+47 59 23;16.82; 0.01; 0.88; 0.01;  0.07; 0.01;  0.48; 0.04; 2.61; 0.01;0;J212422.94+475922.4;21242294+4759224
 ; 984;21 24 22.9;+47 54 58;16.57; 0.01; 0.76; 0.01;  0.01; 0.01;  0.59; 0.01; 2.66; 0.01;0;J212422.86+475457.6;21242287+4754576
*; 985;21 24 22.8;+48 00 31;17.05; 0.01; 0.64; 0.01;  0.04; 0.02;  0.94; 0.01; 2.79; 0.01;0;J212422.79+480030.5;21242279+4800304
*; 986;21 24 22.1;+47 58 23;16.79; 0.01; 0.57; 0.00; -0.05; 0.01;  0.95; 0.01; 2.85; 0.01;1;J212422.07+475823.0;21242205+4758227
*; 987;21 24 21.5;+48 01 32;16.57; 0.02; 0.61; 0.01;  0.07; 0.01;  0.81; 0.01; 2.77; 0.01;0;J212421.47+480132.3;21242147+4801323
 ; 988;21 24 21.2;+47 56 40;17.50; 0.02; 0.73; 0.02;  0.02; 0.03;  0.43; 0.02; 2.62; 0.01;0;J212421.23+475639.9;21242124+4756400
 ; 989;21 24 21.2;+47 57 44;17.01; 0.01; 0.78; 0.00;  0.03; 0.01;  0.55; 0.02; 2.65; 0.01;0;J212421.22+475744.3;21242122+4757443
*; 990;21 24 20.9;+48 04 20;16.72; 0.01; 0.64; 0.01; -0.10; 0.01;  0.84; 0.01; 2.81; 0.01;1;J212420.88+480419.6;21242088+4804195
 ; 991;21 24 20.2;+48 00 59;17.16; 0.01; 0.79; 0.01;  0.07; 0.03;  0.45; 0.03; 2.62; 0.01;0;J212420.14+480058.9;21242014+4800588
*; 992;21 24 16.8;+47 57 02;17.16; 0.01; 0.64; 0.01;  0.07; 0.01;  1.01; 0.01; 2.89; 0.01;0;J212416.80+475702.0;21241680+4757020
*; 993;21 24 16.4;+47 56 11;17.73; 0.34; 0.72; 0.05; -0.03; 0.07;  0.34; 0.45; 2.78; 0.24;0;J212416.39+475610.6;21241629+4756090
 ; 994;21 24 16.2;+48 01 57;17.00; 0.01; 0.83; 0.01; -0.01; 0.02;  0.49; 0.01; 2.65; 0.01;0;J212416.14+480157.3;21241614+4801573
 ; 995;21 24 16.0;+47 58 19;16.64; 0.01; 0.89; 0.01;  0.06; 0.03;  0.62; 0.03; 2.63; 0.01;0;J212415.94+475818.6;21241594+4758185
*; 996;21 24 15.5;+48 02 08;17.12; 0.02; 0.62; 0.02; -0.10; 0.04;  0.95; 0.06; 2.80; 0.02;1;J212415.48+480207.6;21241543+4802067
 ; 997;21 24 15.2;+48 01 03;17.20; 0.01; 0.79; 0.01; -0.01; 0.02;  0.60; 0.03; 2.68; 0.01;0;J212415.22+480103.2;21241522+4801031
*; 998;21 24 15.2;+48 00 42;16.72; 0.00; 0.58; 0.01; -0.05; 0.01;  0.88; 0.01; 2.80; 0.01;1;J212415.18+480042.3;21241519+4800423
*; 999;21 24 14.8;+47 56 48;16.85; 0.00; 0.57; 0.01; -0.05; 0.01;  0.84; 0.01; 2.82; 0.01;1;J212414.79+475647.8;21241479+4756478
*;1000;21 24 14.8;+48 00 33;16.83; 0.04; 0.59; 0.03; -0.02; 0.03;  0.84; 0.02; 2.80; 0.01;1;J212414.79+480033.4;21241477+4800334
*;1001;21 24 14.6;+47 57 04;16.52; 0.01; 0.65; 0.01; -0.02; 0.01;  1.30; 0.02; 2.92; 0.01;0;J212414.57+475704.2;21241458+4757041
*;1002;21 24 14.2;+48 00 07;18.06; 0.03; 0.89; 0.02; -0.20; 0.21;  0.38; 0.58; 2.58; 0.04;0;J212414.19+480007.2;21241416+4800058
*;1003;21 24 13.7;+48 00 58;16.95; 0.01; 0.57; 0.01; -0.02; 0.01;  1.01; 0.01; 2.85; 0.01;1;J212413.65+480057.6;21241364+4800574
*;1004;21 24 11.8;+47 59 12;16.67; 0.02; 0.57; 0.02; -0.04; 0.01;  0.96; 0.03; 2.84; 0.02;1;J212411.81+475911.5;
*;1005;21 24 11.8;+48 00 24;16.93; 0.01; 0.58; 0.01; -0.03; 0.02;  0.94; 0.01; 2.89; 0.01;1;J212411.81+480023.4;21241180+4800235
*;1006;21 24 10.8;+48 00 08;17.32; 0.01; 0.60; 0.01; -0.03; 0.01;  1.10; 0.01; 2.89; 0.01;1;J212410.82+480007.5;21241084+4800073
 ;1007;21 24 10.8;+47 59 48;17.24; 0.01; 0.86; 0.01; -0.06; 0.01;  0.66; 0.03; 2.67; 0.01;0;J212410.74+475948.4;21241075+4759483
 ;1008;21 24 10.2;+47 57 48;17.23; 0.01; 0.81; 0.01;  0.00; 0.02;  0.50; 0.02; 2.63; 0.01;0;J212410.17+475748.5;21241017+4757485
