#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:03:41 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:03:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AN/342/538/table2&-order=I&-out=ID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=U-B&-out=e_U-B&-out=B-V&-out=e_B-V&-out=Gmag&-out=e_Gmag&-out=BP-RP&-out=e_BP-RP&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=Plx&-out=e_Plx&-out=Pmemb&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_113420538
#Name: J/AN/342/538
#Title: Frolov 1 and NGC 7510 CCD UBV photometry (Yontan+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/an/342/538	    IVOID of underlying data collection
#INFO	creator=Yontan T.	    First author or institution
#INFO	cites=bibcode:2021AN....342..538Y	    Article or Data origin sources
#INFO	editor=Astronomische Nachrichten	    Editor name (article)
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AN/342/538	    Dataset landing page
#INFO	publication_date=2022-12-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AN_342_538_table2:
#Name: J/AN/342/538/table2
#Title: Photometric and astrometric catalogue NGC 7510
#Column	ID	(I4)	Sequential number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	Gmag	(F6.3)	? Gaia G magnitude	[ucd=phot.mag;em.opt]
#Column	e_Gmag	(F6.3)	? rms uncertainty on Gmag	[ucd=stat.error;phot.mag]
#Column	BP-RP	(F6.3)	? Gaia BP-RP colour index	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	e_BP-RP	(F6.3)	? rms uncertainty on BP-RP	[ucd=stat.error]
#Column	pmRA	(F8.3)	? proper motion components (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? rms uncertainty on proper motion	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F8.3)	? proper motion components (pmdec)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? rms uncertainty on proper motion	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Plx	(F8.3)	? trigonometric parallax	[ucd=pos.parallax.trig]
#Column	e_Plx	(F6.3)	? rms uncertainty on trigonometric parallax	[ucd=stat.error;pos.parallax]
#Column	Pmemb	(F5.2)	[0/1]? Membership probability	[ucd=stat]
ID;RAJ2000;DEJ2000;Vmag;e_Vmag;U-B;e_U-B;B-V;e_B-V;Gmag;e_Gmag;BP-RP;e_BP-RP;pmRA;e_pmRA;pmDE;e_pmDE;Plx;e_Plx;Pmemb
 861;23 10 57.50;+60 40 16.96;17.813; 0.020; 0.302; 0.041; 1.180; 0.024;17.406; 0.001; 1.672; 0.014;  -3.693; 0.138;  -2.252; 0.116;   0.264; 0.081; 0.99
 862;23 10 57.54;+60 33 06.92;18.636; 0.038;      ;      ; 1.384; 0.073;18.198; 0.002; 1.732; 0.024;  -5.042; 0.230;  -2.624; 0.190;   0.189; 0.139; 0.16
 863;23 10 57.56;+60 29 15.82;18.555; 0.037;      ;      ; 1.685; 0.052;17.930; 0.001; 2.133; 0.022;  -3.465; 0.186;  -2.201; 0.163;   0.255; 0.121; 1.00
 864;23 10 57.61;+60 34 44.53;14.248; 0.002; 0.044; 0.004; 1.017; 0.003;13.906; 0.000; 1.369; 0.002;  -3.658; 0.041;  -2.115; 0.029;   0.310; 0.021; 0.96
 865;23 10 57.62;+60 38 59.56;18.103; 0.024; 0.367; 0.051; 1.086; 0.029;17.595; 0.001; 1.669; 0.014;  -4.996; 0.152;  -2.366; 0.136;   0.417; 0.093; 0.02
 866;23 10 57.64;+60 36 25.85;17.325; 0.013; 0.965; 0.046; 1.524; 0.018;16.687; 0.001; 1.943; 0.006;  -3.254; 0.090;  -2.437; 0.075;   0.164; 0.055; 0.93
 867;23 10 57.71;+60 35 37.24;17.315; 0.013; 0.860; 0.034; 1.152; 0.016;16.973; 0.001; 1.525; 0.007;  -3.797; 0.102;  -2.117; 0.089;   0.351; 0.063; 0.98
 868;23 10 57.71;+60 36 08.29;13.873; 0.002;-0.120; 0.003; 0.805; 0.002;13.621; 0.000; 1.174; 0.002;  -3.885; 0.025;  -2.147; 0.022;   0.327; 0.015; 0.84
 869;23 10 57.81;+60 29 02.98;16.423; 0.007; 0.662; 0.017; 1.250; 0.009;16.057; 0.001; 1.582; 0.004;   1.770; 0.076;  -1.862; 0.059;   0.577; 0.043; 0.00
 870;23 10 57.82;+60 36 32.00;17.945; 0.021;      ;      ; 1.092; 0.025;17.461; 0.001; 1.628; 0.013;  -3.971; 0.142;  -3.797; 0.118;   0.389; 0.084; 0.00
 871;23 10 57.98;+60 28 55.12;17.204; 0.012; 0.718; 0.030; 1.231; 0.016;16.767; 0.001; 1.703; 0.008;  -3.383; 0.110;  -2.485; 0.089;   0.368; 0.063; 0.98
 872;23 10 58.00;+60 32 37.80;15.103; 0.003; 0.128; 0.006; 0.946; 0.004;14.805; 0.000; 1.341; 0.002;  -3.724; 0.042;  -2.194; 0.031;   0.275; 0.023; 0.91
 873;23 10 58.01;+60 38 49.56;13.142; 0.004; 0.114; 0.002; 0.820; 0.004;12.997; 0.000; 0.996; 0.001;   4.822; 0.025;  -8.520; 0.023;   1.440; 0.016; 0.00
 874;23 10 58.08;+60 39 36.58;18.713; 0.041;      ;      ; 1.241; 0.051;18.106; 0.002; 1.781; 0.018;   5.863; 0.205;  -0.165; 0.175;   0.537; 0.122; 0.00
 875;23 10 58.30;+60 40 36.65;16.052; 0.006; 0.576; 0.012; 1.092; 0.007;15.766; 0.001; 1.441; 0.004;  -1.163; 0.060;   0.861; 0.047;   0.394; 0.032; 0.00
 876;23 10 58.33;+60 37 33.73;17.498; 0.015; 1.058; 0.057; 1.518; 0.020;16.878; 0.001; 1.924; 0.009;   2.200; 0.093; -10.530; 0.080;   0.557; 0.057; 0.00
 877;23 10 58.44;+60 26 12.21;18.416; 0.033; 0.629; 0.096; 1.311; 0.041;17.816; 0.002; 1.986; 0.018;  -2.443; 0.213;  -3.277; 0.173;  -0.125; 0.128; 0.05
 878;23 10 58.46;+60 35 17.19;12.381; 0.003;-0.178; 0.004; 0.880; 0.004;12.119; 0.000; 1.196; 0.002;  -3.576; 0.039;  -2.170; 0.035;   0.296; 0.024; 0.85
 879;23 10 58.46;+60 37 03.82;19.411; 0.075;      ;      ; 2.632; 0.315;18.986; 0.003; 2.088; 0.050;  -2.909; 0.384;  -2.560; 0.361;   0.069; 0.229; 0.90
 880;23 10 58.49;+60 30 37.43;19.404; 0.072;      ;      ; 1.171; 0.087;18.545; 0.002; 1.737; 0.038;  -0.565; 0.278;  -1.444; 0.223;   0.326; 0.171; 0.00
 881;23 10 58.73;+60 43 21.01;18.447; 0.033; 0.556; 0.076; 1.051; 0.040;17.945; 0.001; 1.668; 0.026;  -2.132; 0.191;  -1.679; 0.167;   0.321; 0.119; 0.03
 882;23 10 58.76;+60 27 20.96;17.447; 0.015; 1.699; 0.095; 1.665; 0.021;16.847; 0.001; 1.956; 0.008; -12.184; 0.106;   9.652; 0.086;   1.393; 0.062; 0.00
 883;23 10 58.77;+60 33 31.54;16.299; 0.007; 0.868; 0.050; 1.143; 0.009;15.941; 0.001; 1.457; 0.006;   3.300; 0.070;   1.193; 0.065;   0.735; 0.040; 0.00
 884;23 10 58.82;+60 38 30.24;16.902; 0.010; 0.519; 0.021; 1.189; 0.013;16.517; 0.001; 1.554; 0.004;  -3.493; 0.078;  -6.684; 0.068;   0.689; 0.048; 0.00
 885;23 10 58.85;+60 30 31.94;18.808; 0.044;      ;      ; 1.508; 0.059;18.322; 0.002; 1.718; 0.026;  -5.065; 0.242;  -4.026; 0.195;   0.546; 0.146; 0.00
 886;23 10 58.90;+60 29 30.31;18.380; 0.030; 0.520; 0.087; 1.382; 0.039;17.729; 0.001; 1.986; 0.014;  -3.356; 0.173;  -2.434; 0.138;   0.122; 0.111; 0.99
 887;23 10 58.98;+60 26 17.20;18.848; 0.049;      ;      ; 1.227; 0.060;18.263; 0.002; 1.843; 0.024;  -2.222; 0.244;  -1.049; 0.192;   0.233; 0.143; 0.03
 888;23 10 59.14;+60 37 38.52;16.979; 0.010; 0.611; 0.026; 1.377; 0.014;16.752; 0.001; 1.775; 0.023;  -5.972; 0.107;  -1.391; 0.094;   0.432; 0.063; 0.00
 889;23 10 59.19;+60 33 18.26;11.995; 0.002;-0.151; 0.004; 0.812; 0.003;11.750; 0.000; 1.178; 0.002;  -3.626; 0.046;  -2.173; 0.036;   0.268; 0.027; 0.89
 890;23 10 59.25;+60 33 03.70;18.002; 0.022; 0.629; 0.076; 1.433; 0.030;17.583; 0.001; 1.752; 0.022;  -3.660; 0.161;  -2.073; 0.129;   0.303; 0.098; 0.99
 891;23 10 59.30;+60 35 34.62;15.660; 0.005; 0.716; 0.011; 1.098; 0.006;15.363; 0.001; 1.343; 0.004;  -9.361; 0.047;  -6.683; 0.040;   1.325; 0.027; 0.00
 892;23 10 59.36;+60 42 11.20;15.203; 0.004; 1.182; 0.013; 1.576; 0.005;14.667; 0.000; 1.919; 0.003;  -2.888; 0.035;  -1.808; 0.031;   0.347; 0.023; 0.00
 893;23 10 59.43;+60 26 15.35;17.520; 0.017;      ;      ; 2.327; 0.030;16.184; 0.001; 2.829; 0.011;  -2.328; 0.099;  -1.450; 0.081;   0.045; 0.057; 0.00
 894;23 10 59.46;+60 32 49.88;18.715; 0.040;      ;      ; 1.474; 0.054;18.113; 0.002; 1.774; 0.018;  -0.981; 0.236;   1.740; 0.201;   0.771; 0.149; 0.00
 895;23 10 59.49;+60 32 39.45;19.010; 0.052;      ;      ; 1.637; 0.072;18.283; 0.002; 1.849; 0.019;  -2.159; 0.270;  -3.438; 0.200;   0.681; 0.150; 0.04
 896;23 10 59.64;+60 34 59.28;18.639; 0.038;      ;      ; 1.780; 0.089;17.738; 0.002; 1.957; 0.020;   2.002; 0.220;  -3.366; 0.149;   0.742; 0.116; 0.00
 897;23 10 59.70;+60 26 00.68;17.412; 0.015; 1.660; 0.095; 1.688; 0.021;16.622; 0.001; 2.158; 0.010;  37.025; 0.101;   0.969; 0.083;   2.256; 0.058; 0.00
 898;23 10 59.72;+60 34 51.36;17.845; 0.020;      ;      ; 1.495; 0.026;17.367; 0.001; 1.770; 0.015;  -1.573; 0.145;  -2.848; 0.120;   0.226; 0.087; 0.00
 899;23 10 59.72;+60 44 16.24;16.901; 0.010; 1.169; 0.043; 1.577; 0.014;16.479; 0.001; 1.888; 0.006;   7.630; 0.339;   2.652; 0.305;   0.566; 0.218; 0.00
 900;23 10 59.73;+60 41 20.23;15.061; 0.003; 0.095; 0.005; 0.738; 0.004;14.923; 0.001; 1.078; 0.004;  -3.721; 0.040;  -2.113; 0.033;   0.332; 0.024; 0.94
 901;23 10 59.85;+60 41 06.46;14.179; 0.002;-0.130; 0.003; 0.585; 0.002;14.078; 0.000; 0.919; 0.003;  -3.846; 0.031;  -2.200; 0.026;   0.280; 0.017; 0.94
 902;23 10 59.98;+60 28 28.71;17.808; 0.020; 0.761; 0.081; 1.683; 0.028;17.131; 0.001; 2.113; 0.011;  -3.406; 0.149;  -2.456; 0.114;   0.271; 0.080; 0.99
 903;23 11 00.01;+60 32 53.48;16.507; 0.008; 0.502; 0.018; 1.379; 0.010;15.977; 0.001; 1.921; 0.012;  -4.090; 0.124;  -1.076; 0.105;   0.776; 0.073; 0.00
 904;23 11 00.05;+60 35 12.38;15.246; 0.004; 0.301; 0.022; 0.938; 0.006;14.988; 0.002; 1.338; 0.002;        ;      ;        ;      ;        ;      ; 0.00
 905;23 11 00.17;+60 35 46.19;18.827; 0.044;      ;      ; 1.616; 0.062;18.132; 0.002; 1.904; 0.023;   0.801; 0.202;  -2.755; 0.179;   0.031; 0.126; 0.00
 906;23 11 00.19;+60 34 28.63;17.077; 0.011; 0.692; 0.030; 1.393; 0.015;16.443; 0.001; 1.934; 0.006;  -3.583; 0.084;  -2.044; 0.070;   0.391; 0.051; 0.98
 907;23 11 00.37;+60 33 47.68;18.793; 0.044;      ;      ; 1.282; 0.080;17.953; 0.002; 1.991; 0.038;  -3.462; 0.209;  -2.356; 0.171;   0.251; 0.144; 0.99
 908;23 11 00.40;+60 40 08.59;16.670; 0.009; 0.596; 0.015; 0.902; 0.010;16.472; 0.001; 1.265; 0.005;  -3.689; 0.080;  -2.125; 0.069;   0.285; 0.046; 0.97
 909;23 11 00.45;+60 27 00.89;17.867; 0.021; 0.392; 0.049; 1.238; 0.026;17.496; 0.001; 1.582; 0.013;   2.300; 0.163;  -0.787; 0.130;   0.297; 0.095; 0.00
 910;23 11 00.51;+60 35 01.81;15.856; 0.005; 0.640; 0.016; 1.026; 0.008;15.550; 0.001; 1.392; 0.003;  -3.889; 0.059;  -2.178; 0.044;   0.313; 0.034; 0.89
 911;23 11 00.62;+60 40 52.34;16.500; 0.008; 0.733; 0.019; 1.383; 0.010;15.929; 0.001; 1.939; 0.006;  -1.736; 0.075;  -1.778; 0.059;   0.260; 0.042; 0.00
 912;23 11 00.63;+60 36 11.70;18.208; 0.026; 0.921; 0.102; 1.435; 0.034;17.539; 0.001; 1.943; 0.016;  -3.316; 0.142;  -2.272; 0.125;   0.302; 0.085; 0.99
 913;23 11 00.68;+60 32 57.69;17.043; 0.011; 0.546; 0.033; 1.696; 0.016;16.070; 0.001; 2.383; 0.007;  -3.850; 0.084;  -2.223; 0.068;   0.288; 0.053; 1.00
 914;23 11 00.71;+60 34 18.32;17.198; 0.012; 1.259; 0.113; 1.070; 0.019;16.812; 0.001; 1.467; 0.006;  -3.603; 0.108;  -2.024; 0.090;   0.314; 0.066; 0.99
 915;23 11 00.76;+60 34 48.19;18.802; 0.043;      ;      ; 1.713; 0.062;18.196; 0.002; 1.780; 0.022;  -4.496; 0.220;  -1.868; 0.181;   0.366; 0.131; 0.61
 916;23 11 00.77;+60 41 56.73;17.898; 0.021; 0.242; 0.047; 1.270; 0.027;17.633; 0.001; 1.569; 0.013;  -3.898; 0.162;  -2.206; 0.138;   0.349; 0.104; 0.99
 917;23 11 00.81;+60 34 55.11;16.266; 0.007; 0.549; 0.038; 1.083; 0.011;15.933; 0.001; 1.441; 0.004;  -3.599; 0.071;  -2.193; 0.053;   0.225; 0.039; 0.94
 918;23 11 00.81;+60 28 03.15;17.686; 0.018; 0.718; 0.051; 1.298; 0.022;17.466; 0.007; 1.663; 0.011;  -4.123; 0.930;   7.918; 0.961;   3.030; 0.536; 0.00
 919;23 11 00.94;+60 31 41.13;15.952; 0.005; 0.389; 0.010; 0.969; 0.007;15.724; 0.001; 1.329; 0.004;  -3.990; 0.062;  -2.279; 0.050;   0.377; 0.037; 0.94
 920;23 11 01.14;+60 36 52.41;17.787; 0.018; 0.519; 0.047; 1.258; 0.023;17.419; 0.001; 1.607; 0.011;  -2.657; 0.141;  -1.547; 0.117;   0.321; 0.081; 0.06
 921;23 11 01.18;+60 35 30.95;19.118; 0.055;      ;      ; 1.328; 0.070;18.458; 0.002; 1.851; 0.050;  -3.301; 0.257;  -2.915; 0.227;   0.209; 0.167; 0.76
 922;23 11 01.20;+60 27 36.34;17.276; 0.013; 0.634; 0.030; 1.228; 0.016;16.820; 0.001; 1.697; 0.011;  -3.568; 0.104;  -2.179; 0.094;   0.315; 0.061; 0.98
 923;23 11 01.23;+60 33 42.89;17.119; 0.012;      ;      ; 1.204; 0.020;16.669; 0.001; 1.604; 0.012;  -3.699; 0.099;  -2.158; 0.093;   0.355; 0.062; 0.97
 924;23 11 01.29;+60 36 36.23;16.230; 0.007; 0.422; 0.011; 0.951; 0.008;15.990; 0.001; 1.253; 0.004;  -3.722; 0.059;  -1.947; 0.051;   0.277; 0.036; 0.98
 925;23 11 01.56;+60 34 36.75;18.039; 0.022; 0.830; 0.078; 1.382; 0.029;17.547; 0.001; 1.748; 0.017;  -3.301; 0.178;  -2.145; 0.133;   0.259; 0.100; 1.00
 926;23 11 01.60;+60 33 18.91;18.416; 0.031;      ;      ; 1.555; 0.063;17.708; 0.001; 1.973; 0.028;  -3.545; 0.182;  -2.363; 0.168;   0.103; 0.102; 1.00
 927;23 11 01.66;+60 32 36.34;19.543; 0.081;      ;      ; 1.497; 0.107;18.835; 0.003; 1.673; 0.067;  -2.933; 0.384;  -1.303; 0.306;   0.911; 0.248; 0.64
 928;23 11 01.67;+60 44 12.08;16.433; 0.008; 0.620; 0.014; 0.895; 0.009;16.336; 0.001; 1.233; 0.006;  -3.432; 0.070;  -2.032; 0.062;   0.220; 0.045; 1.00
 929;23 11 01.77;+60 31 46.48;19.349; 0.072;      ;      ; 2.126; 0.211;18.457; 0.002; 1.934; 0.033;  -7.453; 0.265;  -4.514; 0.210;   0.898; 0.157; 0.00
 930;23 11 01.78;+60 34 52.32;16.254; 0.007; 0.540; 0.036; 1.067; 0.010;15.905; 0.001; 1.456; 0.004;  -3.754; 0.069;  -2.197; 0.056;   0.317; 0.038; 0.98
 931;23 11 01.83;+60 37 30.04;18.534; 0.035; 0.488; 0.093; 1.283; 0.044;17.996; 0.001; 1.771; 0.031;   1.344; 0.204;  -1.057; 0.173;   0.305; 0.124; 0.00
 932;23 11 01.87;+60 44 01.71;18.203; 0.028; 0.676; 0.093; 1.442; 0.037;17.451; 0.001; 2.106; 0.017;  -2.327; 0.137;  -1.028; 0.122;   0.060; 0.087; 0.00
 933;23 11 01.88;+60 33 46.53;17.338; 0.014; 0.895; 0.124; 1.302; 0.024;16.739; 0.001; 1.747; 0.012;  -3.502; 0.098;  -2.265; 0.087;   0.297; 0.059; 0.97
 934;23 11 01.91;+60 35 52.05;16.508; 0.008; 0.535; 0.014; 0.928; 0.009;16.215; 0.001; 1.317; 0.005;  -3.497; 0.066;  -2.280; 0.056;   0.320; 0.040; 0.94
 935;23 11 01.93;+60 24 05.24;17.764; 0.020; 0.450; 0.049; 1.316; 0.025;17.347; 0.001; 1.679; 0.013;  -6.211; 0.142;  -1.664; 0.111;   0.421; 0.081; 0.00
 936;23 11 01.95;+60 41 24.50;19.133; 0.062;      ;      ; 1.945; 0.097;18.473; 0.002; 2.087; 0.038;  -2.700; 0.270;  -2.139; 0.234;  -0.301; 0.168; 0.65
 937;23 11 01.95;+60 28 40.77;17.263; 0.013; 0.554; 0.027; 1.148; 0.016;16.935; 0.001; 1.516; 0.010;  -4.006; 0.113;  -1.083; 0.090;   0.440; 0.067; 0.00
 938;23 11 02.13;+60 39 51.33;16.918; 0.010; 0.876; 0.028; 1.290; 0.013;16.533; 0.001; 1.586; 0.006;   1.980; 0.081;   2.718; 0.070;   0.792; 0.048; 0.00
 939;23 11 02.21;+60 35 59.29;17.774; 0.018; 0.566; 0.049; 1.311; 0.023;17.308; 0.001; 1.670; 0.010;  -3.501; 0.132;  -2.529; 0.106;   0.054; 0.079; 0.98
 940;23 11 02.21;+60 36 50.82;16.908; 0.010; 0.696; 0.026; 1.362; 0.013;16.399; 0.001; 1.756; 0.004;  -4.702; 0.105;  -2.814; 0.090;   0.536; 0.063; 0.01
 941;23 11 02.22;+60 34 09.95;18.391; 0.031;      ;      ; 1.470; 0.060;17.819; 0.002; 1.742; 0.025;  -2.552; 0.334;  -1.416; 0.238;   0.611; 0.180; 0.43
 942;23 11 02.23;+60 34 23.57;12.845; 0.004;-0.133; 0.006; 0.903; 0.005;12.550; 0.000; 1.248; 0.002;  -3.914; 0.072;  -2.047; 0.063;   0.329; 0.039; 0.97
 943;23 11 02.24;+60 36 23.31;17.590; 0.016; 0.573; 0.040; 1.211; 0.020;17.181; 0.001; 1.614; 0.011;  -4.590; 0.141;  -1.996; 0.122;   0.406; 0.086; 0.20
 944;23 11 02.25;+60 40 01.34;14.903; 0.003; 0.397; 0.005; 0.859; 0.004;14.728; 0.000; 1.152; 0.002;  -3.452; 0.034;  -2.000; 0.030;   0.657; 0.021; 0.83
 945;23 11 02.54;+60 35 03.04;16.145; 0.006; 0.408; 0.011; 1.056; 0.008;15.801; 0.001; 1.424; 0.004;  -3.679; 0.067;  -2.214; 0.051;   0.174; 0.038; 0.98
 946;23 11 02.58;+60 37 30.49;18.086; 0.023; 0.467; 0.063; 1.348; 0.030;17.545; 0.001; 1.759; 0.020;  -0.939; 0.146;  -2.184; 0.117;   0.447; 0.085; 0.00
 947;23 11 02.58;+60 26 07.73;17.718; 0.018; 0.438; 0.038; 1.058; 0.022;17.373; 0.001; 1.481; 0.010;  -2.805; 0.141;  -1.891; 0.112;   0.312; 0.082; 0.32
 948;23 11 02.68;+60 39 09.99;16.705; 0.010;      ;      ; 2.932; 0.022;14.823; 0.001; 3.439; 0.008;  -4.680; 0.093;  -2.131; 0.083;   0.227; 0.056; 0.01
 949;23 11 02.70;+60 25 14.80;18.815; 0.048;      ;      ; 1.186; 0.058;18.380; 0.002; 1.636; 0.026;  -2.031; 0.303;  -2.005; 0.232;   0.828; 0.174; 0.23
 950;23 11 02.75;+60 43 34.05;17.849; 0.020;      ;      ; 1.454; 0.038;17.569; 0.001; 1.697; 0.013;  -4.303; 0.138;  -2.797; 0.118;   0.269; 0.086; 0.35
 951;23 11 02.83;+60 28 31.52;18.582; 0.037; 0.799; 0.103; 1.097; 0.044;17.926; 0.001; 1.854; 0.024;  -3.486; 0.199;  -2.079; 0.157;   0.223; 0.118; 0.99
 952;23 11 02.83;+60 41 54.37;18.497; 0.036; 0.185; 0.087; 1.456; 0.047;17.988; 0.001; 1.830; 0.026;  -3.309; 0.192;  -3.206; 0.165;   0.114; 0.113; 0.22
 953;23 11 02.83;+60 33 53.39;17.850; 0.020;      ;      ; 1.131; 0.033;17.431; 0.001; 1.636; 0.016;  -3.456; 0.159;  -2.381; 0.126;   0.070; 0.097; 1.00
 954;23 11 02.89;+60 33 32.47;10.783; 0.001;-0.163; 0.002; 0.889; 0.002;10.467; 0.001; 1.304; 0.004;  -3.281; 0.044;  -2.033; 0.037;   0.264; 0.028; 0.89
 955;23 11 02.91;+60 41 26.85;18.077; 0.024; 0.573; 0.062; 1.179; 0.030;17.725; 0.004; 1.668; 0.014;  -1.571; 0.299;  -8.785; 0.252;  -0.539; 0.175; 0.00
 956;23 11 02.93;+60 37 59.58;17.853; 0.020; 0.623; 0.060; 1.351; 0.026;17.286; 0.001; 1.839; 0.011;  -3.876; 0.128;  -2.082; 0.109;   0.394; 0.077; 0.99
 957;23 11 02.96;+60 35 40.82;16.228; 0.006; 0.677; 0.014; 1.068; 0.008;16.215; 0.001; 1.317; 0.005;  -3.497; 0.066;  -2.280; 0.056;   0.320; 0.040; 0.94
 958;23 11 03.04;+60 36 15.75;15.393; 0.004; 0.150; 0.022; 0.886; 0.006;15.133; 0.000; 1.228; 0.003;  -3.422; 0.040;  -2.055; 0.034;   0.246; 0.024; 0.98
 959;23 11 03.09;+60 43 30.89;17.167; 0.013;      ;      ; 1.489; 0.023;16.714; 0.001; 1.875; 0.009;  -3.093; 0.082;  -1.539; 0.073;   0.261; 0.052; 0.04
 960;23 11 03.12;+60 37 38.45;17.217; 0.012; 0.705; 0.029; 1.218; 0.015;16.824; 0.004; 1.722; 0.021;   2.644; 0.410;   1.424; 0.348;   0.564; 0.250; 0.00
 961;23 11 03.27;+60 40 44.39;18.455; 0.034; 0.325; 0.090; 1.401; 0.044;18.152; 0.004; 1.745; 0.022;  -3.487; 0.358;  -0.101; 0.326;  -0.041; 0.214; 0.08
 962;23 11 03.43;+60 33 45.42;18.465; 0.035;      ;      ; 1.573; 0.073;17.820; 0.001; 1.845; 0.023;  -3.304; 0.179;  -2.201; 0.152;   0.371; 0.104; 1.00
 963;23 11 03.43;+60 27 27.18;18.398; 0.031; 0.340; 0.064; 1.096; 0.037;17.875; 0.001; 1.722; 0.019;  -1.830; 0.194;  -0.737; 0.155;   0.347; 0.114; 0.00
 964;23 11 03.43;+60 35 08.16;17.170; 0.012; 0.793; 0.028; 1.096; 0.014;16.824; 0.001; 1.469; 0.009;  -3.764; 0.099;  -2.259; 0.080;   0.333; 0.057; 0.98
 965;23 11 03.50;+60 36 20.29;18.180; 0.025;      ;      ; 1.494; 0.049;17.657; 0.001; 1.774; 0.015;   1.232; 0.147;   3.509; 0.126;   0.452; 0.089; 0.00
 966;23 11 03.56;+60 35 19.41;16.160; 0.006; 0.599; 0.013; 1.128; 0.008;15.827; 0.001; 1.400; 0.004;  -1.849; 0.055;  -1.999; 0.047;   0.891; 0.033; 0.00
 967;23 11 03.57;+60 36 03.24;16.992; 0.010; 1.328; 0.109; 0.989; 0.013;16.532; 0.001; 1.443; 0.006;  -3.324; 0.089;  -2.155; 0.076;   0.305; 0.054; 0.99
 968;23 11 03.58;+60 43 19.13;16.593; 0.008; 0.573; 0.017; 1.108; 0.010;16.291; 0.001; 1.518; 0.005;   1.083; 0.066;   3.485; 0.059;   0.407; 0.042; 0.00
 969;23 11 03.65;+60 38 02.31;16.354; 0.007; 1.228; 0.061; 1.254; 0.009;15.986; 0.001; 1.561; 0.005;   4.413; 0.060;  -2.869; 0.053;   0.725; 0.035; 0.00
 970;23 11 03.82;+60 37 06.59;16.853; 0.010; 1.353; 0.037; 1.388; 0.013;16.410; 0.001; 1.640; 0.006;  -7.199; 0.075;  -1.216; 0.063;   1.231; 0.045; 0.00
 971;23 11 03.95;+60 27 22.60;18.141; 0.026; 0.415; 0.071; 1.435; 0.034;17.665; 0.001; 1.846; 0.014;   0.445; 0.185;   1.878; 0.151;   0.303; 0.109; 0.00
 972;23 11 04.23;+60 33 16.36;17.853; 0.020; 0.364; 0.044; 1.075; 0.024;17.404; 0.001; 1.579; 0.018;  -7.372; 0.150;  -1.762; 0.116;   0.418; 0.089; 0.00
 973;23 11 04.23;+60 35 42.08;17.163; 0.012; 1.013; 0.127; 1.231; 0.015;16.651; 0.001; 1.715; 0.006;  -3.127; 0.139;  -1.787; 0.113;   0.548; 0.082; 0.71
 974;23 11 04.26;+60 38 04.77;18.989; 0.051;      ;      ; 1.571; 0.070;18.181; 0.002; 1.952; 0.026;  -3.663; 0.228;  -0.981; 0.196;   0.221; 0.132; 0.14
 975;23 11 04.29;+60 38 25.84;19.800; 0.103;      ;      ; 2.256; 0.338;      ;      ;      ;      ;        ;      ;        ;      ;        ;      ; 0.00
